time,coupling.w_ref,coupling.w_sim,coupling.w_relerr,coupling.tau_ref,coupling.tau_sim,coupling.tau_relerr,multiSensor.i_ref,multiSensor.i_sim,multiSensor.i_relerr
0.0093,9.2355194e-06,2.467540913,0.0285092,-0.00016418421,-80.88721293,1.27072,0.00024999984,126.3789053,3.41012
0.0093999999,9.3382341e-06,2.520455267,0.0291205,-0.00016429272,-81.67725003,1.28313,0.00024999984,127.5873174,3.44273
0.0094999997,9.4408751e-06,2.573854295,0.0297375,-0.00016440226,-82.46465677,1.2955,0.00024999984,128.7907125,3.4752
0.0096000005,9.5434434e-06,2.627736018,0.03036,-0.00016451282,-83.24945053,1.30783,0.00024999984,129.9891087,3.50754
0.0097000003,9.645938e-06,2.682096783,0.0309881,-0.00016462439,-84.03162434,1.32011,0.00024999984,131.1824871,3.53974
0.0098000001,9.7483571e-06,2.736934553,0.0316217,-0.00016473698,-84.81119475,1.33236,0.00024999984,132.3708648,3.57181
0.0098999999,9.8507007e-06,2.792246755,0.0322607,-0.00016485057,-85.58817043,1.34457,0.00024999984,133.5542467,3.60374
0.0099999998,9.9529689e-06,2.848030871,0.0329052,-0.00016496517,-86.36256079,1.35673,0.00024999984,134.7326394,3.63554
0.0101,1.0055161e-05,2.904284441,0.0335552,-0.00016508075,-87.13437596,1.36886,0.00024999984,135.9060503,3.6672
0.0102,1.0157274e-05,2.961004612,0.0342105,-0.00016519734,-87.90362068,1.38094,0.00024999984,137.0744788,3.69873
0.0103,1.0259309e-05,3.018188922,0.0348712,-0.00016531491,-88.67030502,1.39299,0.00024999984,138.2379326,3.73012
0.0104,1.0361267e-05,3.075834798,0.0355372,-0.00016543346,-89.43443752,1.40499,0.00024999984,139.396417,3.76138
0.0105,1.0463144e-05,3.133939666,0.0362085,-0.00016555301,-90.19602667,1.41696,0.00024999984,140.5499372,3.79251
0.0106,1.0564942e-05,3.192500955,0.0368851,-0.00016567351,-90.95508094,1.42888,0.00024999984,141.6984988,3.8235
0.0107,1.0666659e-05,3.251516093,0.037567,-0.00016579501,-91.71160876,1.44077,0.00024999984,142.842107,3.85436
0.0108,1.0768294e-05,3.310982506,0.038254,-0.00016591744,-92.46561854,1.45261,0.00024999984,143.9807675,3.88508
0.0109,1.0869849e-05,3.370897624,0.0389463,-0.00016604086,-93.21711866,1.46442,0.00024999984,145.1144857,3.91567
0.011,1.097132e-05,3.431258875,0.0396437,-0.00016616523,-93.96611748,1.47618,0.00024999984,146.2432672,3.94613
0.0111,1.1072708e-05,3.49206369,0.0403462,-0.00016629056,-94.71262333,1.48791,0.00024999984,147.3671176,3.97646
0.0112,1.1174012e-05,3.553309497,0.0410538,-0.00016641684,-95.45664449,1.4996,0.00024999984,148.4860424,4.00665
