time,opAmp.outp.v,resistor.i,resistor1.i,opAmp.x,opAmp.v_source,opAmp.v_in,opAmp.q_fr3,opAmp.q_fr1,opAmp.q_fr2,opAmp.q_fp1
0.0001681751101,-14.82574065,0.0008432243463,0.0008421100699,-15.00009196,-15.00009196,-2.017460746,-2.016046078,-2.015495844,-2.016085367,-15.00009196
0.0001812831114,-14.82463019,0.0008582857756,0.0008570267743,-15.00009192,-15.00009192,-2.316905296,-2.315701227,-2.315232888,-2.315734665,-15.00009192
0.0001957823238,-14.82361446,0.0008720610401,0.0008706708769,-15.00009188,-15.00009188,-2.59080308,-2.589841408,-2.589467332,-2.589868113,-15.00009188
0.0002115881482,-14.82277106,0.0008834971687,0.0008819998582,-15.00009184,-15.00009184,-2.8182261,-2.817537684,-2.817269871,-2.817556798,-15.00009183
0.0002286025508,-14.82217995,0.0008915095377,0.0008899398237,-15.00009179,-15.00009179,-2.977616523,-2.977229761,-2.977079256,-2.977240495,-15.00009178
0.0002467207355,-14.82191884,0.0008950437128,0.0008934467298,-15.00009174,-15.00009174,-3.048015757,-3.04795499,-3.047931261,-3.047956669,-15.00009173
0.0002658350281,-14.8220587,0.0008931368794,0.0008915672026,-15.00009168,-15.00009168,-3.010285353,-3.010569272,-3.010679588,-3.010561377,-15.00009168
0.00028585134,-14.82265994,0.0008849695771,0.0008834897663,-15.00009162,-15.00009162,-2.848135385,-2.848775789,-2.84902474,-2.848757992,-15.00009162
0.0003066992621,-14.82377057,0.0008698906495,0.0008685695523,-15.00009156,-15.00009156,-2.548620478,-2.549621343,-2.550010476,-2.549593532,-15.00009156
0.0003282937201,-14.82542189,0.0008474755032,0.0008463859677,-15.0000915,-15.0000915,-2.103297466,-2.104653542,-2.105180818,-2.104615865,-15.0000915
0.0003505638205,-14.82762687,0.0008175484958,0.00081676488,-15.00009144,-15.00009144,-1.508670731,-1.510366956,-1.51102652,-1.510319831,-15.00009143
0.0003734468074,-14.83037849,0.0007802051003,0.0007798005661,-15.00009137,-15.00009137,-0.766632833,-0.7686439723,-0.769426012,-0.7685881008,-15.00009137
0.0003781357503,-14.8309982,0.000771795031,0.0007714755966,-15.00009136,-15.00009136,-0.5995137321,-0.6015845135,-0.6023897492,-0.6015269854,-15.00009135
0.000386663287,-14.83217049,0.0007558861379,0.0007557274629,-15.00009133,-15.00009133,-0.2833787644,-0.2855532957,-0.2863988823,-0.2854928861,-15.00009133
0.0003885864463,-14.83244267,0.0007521925471,0.0007520711587,-15.00009133,-15.00009133,-0.2099805037,-0.2121775838,-0.2130319402,-0.2121165478,-15.00009132
0.0003926582686,-14.83302808,0.000744248265,0.0007442070293,-15.00009132,-15.00009132,-0.05211250805,-0.05435626325,-0.05522877305,-0.05429393097,-15.00009131
0.0003936772583,-14.83317649,0.0007422342918,0.0007422133666,-15.00009131,-15.00009131,-0.0120908455,-0.01434605292,-0.01522301685,-0.01428340257,-15.00009131
0.0003939003862,-14.83320908,0.0007417919286,0.0007417754641,-15.00009131,-15.00009131,-0.003300197845,-0.005557900608,-0.00643583506,-0.005495180948,-15.00009131
0.0003940275222,-14.83322767,0.0007415396563,0.0007415257356,-15.00009131,-15.00009131,0.001712962756,-0.0005461598463,-0.00142464652,-0.0004834007513,-15.00009131
0.0003941024663,-14.83322989,0.0007413906762,0.0007413781129,-15.00008247,-15.00008247,0.004667629985,0.002409026475,0.001530499367,0.002471750375,-14.99959132
0.0003941370322,-14.83321215,0.0007413214281,0.0007413093279,-15.00005944,-15.00005944,0.006025591884,0.003770125078,0.002892436969,0.003832727121,-14.99890559
0.0003942729351,-14.83285043,0.0007410400061,0.0007410286973,-14.99967396,-14.99967396,0.01127648845,0.009065643633,0.008203140278,0.009126804913,-14.99336572
0.000394408838,-14.83170114,0.0007407331768,0.0007407211215,-14.99849298,-14.99849298,0.01627870608,0.01416954927,0.01334431607,0.01422767342,-14.98338671
0.000394617883,-14.82755293,0.00074018326,0.0007401674434,-14.99427214,-14.99427214,0.02320406343,0.0213510845,0.02062257832,0.02140182151,-14.95991029
0.0003948660699,-14.81766679,0.0007393666001,0.0007393430942,-14.98425002,-14.98425002,0.02980490366,0.02837160502,0.02780407758,0.02841047514,-14.92087696
0.0003951610837,-14.7976704,0.0007381221281,0.0007380866617,-14.96400943,-14.96400943,0.0349371687,0.03408628921,0.03374432405,0.03410889265,-14.86252436
0.0003954808744,-14.76562982,0.0007364274038,0.0007363779095,-14.93160039,-14.93160039,0.03707163337,0.03685064882,0.03675446891,0.03685583113,-14.79069225
0.0003958246244,-14.72063404,0.0007342518449,0.0007341886837,-14.88610295,-14.88610295,0.03586036668,0.03620804377,0.03633544554,0.03619765631,-14.71121829
0.0003961877936,-14.6645845,0.0007316658731,0.0007315920955,-14.82943829,-14.82943829,0.03174258628,0.03248857842,0.0327743499,0.03246744993,-14.63239437
0.0003965734139,-14.6003966,0.0007287591742,0.0007286796733,-14.76455055,-14.76455055,0.02580313364,0.02671308342,0.02706633763,0.02668774782,-14.56046352
0.0003969854335,-14.53209077,0.000725657041,0.0007255775519,-14.69549976,-14.69549976,0.01953972908,0.02036372938,0.02068667899,0.02034107286,-14.49963644
0.0003974343558,-14.46312947,0.0007224537667,0.0007223795948,-14.62578141,-14.62578141,0.0145375726,0.01506582747,0.01527555696,0.01505155404,-14.45014317
0.0003979225964,-14.3975425,0.0007192797117,0.0007192141178,-14.55946513,-14.55946513,0.01226014599,0.01239040037,0.01244536329,0.01238718434,-14.40877941
0.0003984108369,-14.3410449,0.0007164068514,0.0007163491332,-14.50232892,-14.50232892,0.01306223179,0.01286670047,0.01279354927,0.01287240207,-14.37061122
0.0003989094624,-14.28906247,0.0007136632704,0.0007136103898,-14.44975122,-14.44975122,0.01585467835,0.01549065214,0.01534997475,0.01550084764,-14.32643811
0.000399427438,-14.2362337,0.0007108525421,0.000710800549,-14.39631549,-14.39631549,0.0192227202,0.0188671696,0.01872802925,0.01887696536,-14.27039148
0.0003999845929,-14.17616347,0.0007077206039,0.0007076660115,-14.33555964,-14.33555964,0.02184323635,0.02163520092,0.02155250425,0.02164081251,-14.19898624
0.0004005898283,-14.10475037,0.0007041108367,0.0007040519033,-14.26333989,-14.26333989,0.02271230113,0.02270239354,0.0226969242,0.02270251779,-14.11394859
0.0004011950636,-14.02799924,0.0007003190725,0.0007002568182,-14.18572849,-14.18572849,0.02186287596,0.02198390556,0.02203024868,0.02198047577,-14.02848785
0.0004018105747,-13.94770723,0.000696383334,0.0006963200324,-14.10453904,-14.10453904,0.02030658236,0.02045155577,0.02050815062,0.02044754864,-13.94628652
0.000402468161,-13.86292701,0.0006922065934,0.0006921444011,-14.0188098,-14.0188098,0.01903899159,0.01911958189,0.01915165127,0.01911741116,-13.86471129
0.0004031909296,-13.77284923,0.0006877142311,0.0006876541828,-13.92771966,-13.92771966,0.01876557011,0.01875112974,0.01874612837,0.01875158826,-13.77906849
0.0004039136982,-13.68519815,0.0006832985427,0.0006832398917,-13.83908012,-13.83908012,0.01940031037,0.01933523689,0.01931008003,0.01933705856,-13.69271693
0.0004046570196,-13.59525582,0.0006787600326,0.0006787014372,-13.74812284,-13.74812284,0.02022707293,0.02017143304,0.02014956415,0.0201729571,-13.60030473
0.0004054815565,-13.49367278,0.0006736600642,0.0006736005892,-13.64539537,-13.64539537,0.02066099595,0.02064949246,0.02064472958,0.02064978499,-13.49418466
0.0004063073557,-13.38989611,0.0006684782242,0.000668418026,-13.54045168,-13.54045168,0.02053558541,0.0205538629,0.0205608792,0.02055334659,-13.38701354
0.000407151832,-13.2829438,0.0006631449107,0.0006630846858,-13.43229723,-13.43229723,0.02025008493,0.02026614815,0.02027248821,0.02026571062,-13.27864348
0.0004081040384,-13.1626634,0.0006571339786,0.0006570742275,-13.31066395,-13.31066395,0.02017885324,0.02017427775,0.02017260856,0.02017441513,-13.15773721
0.0004090562447,-13.04273566,0.0006511270835,0.0006510676604,-13.18938625,-13.18938625,0.02038245339,0.02036723315,0.0203613242,0.02036765689,-13.03644281
0.0004100622655,-12.91555856,0.0006447568326,0.0006446973703,-13.06077755,-13.06077755,0.02061115194,0.02060138202,0.02059753099,0.02060164859,-12.90680517
0.0004112211715,-12.76788179,0.0006373688824,0.0006373092605,-12.9114391,-12.9114391,0.02069657692,0.02069553072,0.02069510398,0.02069555792,-12.75623424
0.0004123800774,-12.61932653,0.0006299402898,0.0006298807077,-12.76121253,-12.76121253,0.02071237241,0.02071055655,0.02070986958,0.02071060878,-12.60539355
0.0004137572376,-12.44219609,0.0006210782646,0.0006210188351,-12.58208897,-12.58208897,0.02081938648,0.02081334789,0.02081100669,0.0208135163,-12.42570389
0.0004151343978,-12.26424238,0.0006121734224,0.0006121140383,-12.40213275,-12.40213275,0.02096161681,0.02095641393,0.02095438163,0.02095655762,-12.24486808
0.0004167887311,-12.04910804,0.0006014107684,0.0006013514091,-12.18457771,-12.18457771,0.02107986148,0.02107619722,0.02107477275,0.02107629906,-12.02626624
