time,dcpm.airGapDC.ia,armatureInverter.idealDcDc.powerMot.product.u1,armatureInverter.iMot,armatureInverter.iDCFilter.u,armatureInverter.gain.u,speedController.integrator.y,slewRateLimiter.y,preFilter.y,dcpm.inertiaRotor.w,dcpm.friction.phi,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.iDCFilter.y,dcpm.inertiaRotor.a,dcpm.la.i,armatureInverter.iMotFilter.y,armatureInverter.vDCFilter.y,armatureInverter.idealDcDc.deadTime.y,loadInertia.w,loadInertia.phi,armatureInverter.idealDcDc.powerController.y
0.2015819774,72.52583073,78.9792384,32.97732722,48.93052318,118.6169781,0.2256013304,0.5035590412,21.83455405,0.1051740797,4.809651847e-05,7.090373921,60.99402684,23.05036564,153.9045928,72.52583073,32.97732722,118.6169781,78.9792384,0.1051740797,4.809651847e-05,48.93052318
0.2018676252,86.27815183,73.4231183,44.61857402,54.26216282,118.1861419,0.2640673262,0.5944835379,25.42197102,0.1533650923,8.482361164e-05,8.149671478,64.75765325,30.23096796,183.0879246,86.27815183,44.61857402,118.1861419,73.4231183,0.1533650923,8.482361164e-05,54.26216282
0.2022210869,101.5445466,65.69219952,59.47887121,57.22644144,117.7231059,0.3101691774,0.7069939027,29.72152339,0.2239310228,0.0001511661488,9.303876352,66.13466267,37.94823545,215.4842205,101.5445466,59.47887121,117.7231059,65.69219952,0.2239310228,0.0001511661488,57.22644144
0.202723549,119.708641,54.20933374,80.11642546,55.62483743,117.2752083,0.3729629,0.8669325698,35.57779363,0.3422591251,0.0002925997919,10.64541205,63.50380035,45.4131948,254.029626,119.708641,80.11642546,117.2752083,54.20933374,0.3422591251,0.0002925997919,55.62483743
0.2031359447,131.5472854,45.09551951,95.70908133,50.72139165,117.1172021,0.422194746,0.9982021682,40.16925568,0.452396146,0.0004561000111,11.497117,58.70146648,48.04663142,279.1520097,131.5472854,95.70908133,117.1172021,45.09551951,0.452396146,0.0004561000111,50.72139165
0.2036237548,142.2443235,35.2842497,111.884309,42.73829281,117.152436,0.4778681083,1.153476948,45.36146665,0.5943988657,0.0007109687953,12.24476828,51.36149327,47.45940028,301.8518295,142.2443235,111.884309,117.152436,35.2842497,0.5943988657,0.0007109687953,42.73829281
0.2041185991,149.8826292,26.76784037,125.44407,34.01217571,117.3738542,0.5316366688,1.31099078,50.37603191,0.7480387454,0.001042787241,12.75761221,43.23678997,43.76909625,318.0608176,149.8826292,125.44407,117.3738542,26.76784037,0.7480387454,0.001042787241,34.01217571
0.2046657366,155.2274108,19.20988521,137.0716199,25.1659574,117.7454628,0.5880705384,1.485150054,55.63916933,0.9254446586,0.001500317735,13.09419913,34.4912468,37.57562052,329.4027964,155.2274108,137.0716199,117.7454628,19.20988521,0.9254446586,0.001500317735,25.1659574
0.2052556944,158.1880318,13.19218632,145.9778923,17.54437655,118.1941124,0.6455590994,1.672939472,61.00066941,1.121889587,0.002104056876,13.25511444,26.13111224,30.09812739,335.6854293,158.1880318,145.9778923,118.1941124,13.19218632,1.121889587,0.002104056876,17.54437655
0.205916057,159.0987638,8.766380876,152.2042341,11.69106673,118.6589302,0.7060107952,1.883139419,66.63851747,1.344438486,0.002918323377,13.26868228,18.60228221,22.35116409,337.6180627,159.0987638,152.2042341,118.6589302,8.766380876,1.344438486,0.002918323377,11.69106673
0.2066856384,158.2459563,6.037324153,155.711004,7.993491167,119.077161,0.7716038664,2.128104769,72.75586065,1.603764736,0.004052855857,13.15999411,12.39860929,15.38064943,335.8083489,158.2459563,155.711004,119.077161,6.037324153,1.603764736,0.004052855857,7.993491167
0.2076087056,156.0481884,5.105745234,156.505489,6.661710637,119.3796858,0.843902213,2.421926186,79.49855144,1.911685981,0.00567568872,12.96499736,8.144909676,10.33857079,331.1445407,156.0481884,156.505489,119.3796858,5.105745234,1.911685981,0.00567568872,6.661710637
0.2085317728,153.7194677,5.593609402,155.4082525,7.19123624,119.505118,0.909825684,2.715747602,85.64670838,2.215031112,0.00758065961,12.77882466,6.437419405,8.248033088,326.2028419,153.7194677,155.4082525,119.505118,5.593609402,2.215031112,0.00758065961,7.19123624
0.2095621539,151.6690121,6.780404146,153.5119996,8.606835428,119.5150888,0.9765714908,3.043728109,91.87155802,2.548766486,0.01003530873,12.62521898,6.326327072,8.081852787,321.8516399,151.6690121,153.5119996,119.5150888,6.780404146,2.548766486,0.01003530873,8.606835428
0.2108820888,150.1473391,8.302837377,151.4151324,10.44325928,119.4416318,1.05261554,3.463876423,98.96358067,2.971183923,0.01367876328,12.51968011,7.356027054,9.306136292,318.6225495,150.1473391,151.4151324,119.4416318,8.302837377,2.971183923,0.01367876328,10.44325928
0.2122020236,149.5899314,9.377259128,150.195146,11.7586555,119.3544267,1.119256492,3.884024737,105.1786513,3.390792967,0.01787763009,12.48748473,8.55767524,10.75955468,317.4396936,149.5899314,150.195146,119.3544267,9.377259128,3.390792967,0.01787763009,11.7586555
0.2136738268,149.5596437,10.05557606,149.6920999,12.61209886,119.2818832,1.183895297,4.35251425,111.2069977,3.857857958,0.02321193265,12.49309286,9.539682949,11.96861336,317.3754212,149.5596437,149.6920999,119.2818832,10.05557606,3.857857958,0.02321193265,12.61209886
0.2153256369,149.7421832,10.44700943,149.6756232,13.1224137,119.2339388,1.245964615,4.878301714,116.9957085,4.382407839,0.03001751934,12.51198356,10.17134445,12.76768627,317.7627819,149.7421832,149.6756232,119.2339388,10.44700943,4.382407839,0.03001751934,13.1224137
0.2173163315,149.9107595,10.76774016,149.8370441,13.54337746,119.2010729,1.308345105,5.511959498,122.8134398,5.015376414,0.03937146015,12.52819031,10.59289089,13.31545206,318.1205119,149.9107595,149.8370441,119.2010729,10.76774016,5.015376414,0.03937146015,13.54337746
0.2197080287,149.9694561,11.18304674,149.9480526,14.07501303,119.1692055,1.368587974,6.273260364,128.4318123,5.776421892,0.05227675982,12.53590223,11.00432012,13.84657489,318.2450701,149.9694561,149.9480526,119.1692055,11.18304674,5.776421892,0.05227675982,14.07501303
0.2221984012,149.965608,11.67471614,149.966441,14.69806353,119.1331983,1.417739618,7.065970534,133.0157945,6.568969086,0.06764907595,12.5390752,11.47641109,14.44669437,318.2369041,149.965608,149.966441,119.1331983,11.67471614,6.568969086,0.06764907595,14.69806353
0.2254555637,149.9599734,12.3402109,149.9607205,15.54192085,119.0830196,1.466057003,8.10275758,137.5219721,7.605490978,0.09073334688,12.54304953,12.13613206,15.28300671,318.2249471,149.9599734,149.9607205,119.0830196,12.3402109,7.605490978,0.09073334688,15.54192085
0.2294783614,149.9646461,13.1571033,149.9633147,16.57994808,119.0206663,1.507620896,9.383253859,141.3983053,8.885662639,0.1239036202,12.54823509,12.95435858,16.32222872,318.2348629,149.9646461,149.9633147,119.0206663,13.1571033,8.885662639,0.1239036202,16.57994808
0.2346366125,149.9706086,14.20183853,149.9695764,17.90918708,118.9409186,1.541443439,11.02517618,144.5526644,10.52723264,0.1739718865,12.55397812,13.99927021,17.65135664,318.2475156,149.9706086,149.9695764,118.9409186,14.20183853,10.52723264,0.1739718865,17.90918708
0.2417567477,149.9767856,15.6444332,149.9759862,19.74749464,118.830652,1.566964653,13.29158558,146.9328247,12.79324636,0.2569943119,12.56040703,15.44182207,19.48913316,318.2606237,149.9767856,149.9759862,118.830652,15.6444332,12.79324636,0.2569943119,19.74749464
0.2508861784,149.9828743,17.49419566,149.9822842,22.10966438,118.6889594,1.58168253,16.19757363,148.3054438,15.69884664,0.3870525166,12.56670798,17.29157719,21.85067712,318.2735444,149.9828743,149.9822842,118.6889594,17.49419566,15.69884664,0.3870525166,22.10966438
