time,Inductor3.i,Inductor2.i,Capacitor2.v,Capacitor1.v,IdealDiode3.i,IdealDiode2.i,IdealDiode1.i,Inductor3.v
0.006418088294,-332.7633376,-0.0764928081,273.8789487,273.8789487,-0.5500901087,-0.3121253528,332.2897402,-5.778693759
0.006751394035,-373.1325197,0.02602160523,272.2178279,272.2178279,-0.5468082395,-0.2592070253,372.5596899,-8.161352152
0.007151962927,-424.220578,0.1487470504,270.8601069,270.8601069,-0.5441438882,-0.1964865817,423.5276872,-6.287276369
0.007630188938,-444.2887868,0.2920220257,269.8801815,269.8801815,-0.5422041075,-0.1238691686,443.454561,2.331621063
0.008128572084,-366.3242433,0.4342884088,268.4539435,268.4539435,-0.53927367,-0.05130973911,365.3506817,17.27785787
0.008508326423,-213.4815988,0.5357357939,265.8678969,265.8678969,-0.5339487395,0.002,212.4119148,31.26475036
0.008508326423,-213.4815988,0.5357357939,265.8678969,265.8678969,-0.5339487395,0.002,212.4119148,31.26475036
0.008508326423,-213.4815988,0.5357357939,265.8678969,265.8678969,-0.5339487395,0.002,212.4119148,31.26475036
0.008508326423,-213.4815988,0.5357357939,265.8678969,265.8678969,-0.5339487395,0.002,212.4119148,31.26475036
0.008800312191,-66.14078773,65.61210876,262.3394823,262.3394823,-0.5267445767,65.08536472,0.002000000002,29.4277688
0.008800312191,-66.14078773,65.61210876,262.3394823,262.3394823,-0.5267445767,65.08536472,0.002000000001,29.4277688
0.008800312191,-66.14078773,65.61210876,262.3394823,262.3394823,-0.5267445767,65.08536472,0.002,29.4277688
0.008800312191,-66.14078773,65.61210876,262.3394823,262.3394823,-0.5267445767,65.08536472,0.002,29.4277688
0.008800505048,-66.08099122,65.66284384,262.336683,262.336683,-0.5267389183,65.13610534,-0.05326299339,11.00590889
0.008800697904,-66.05754196,65.67729023,262.3338838,262.3338838,-0.5267332963,65.15055732,-0.0722080215,4.690050696
0.008800890761,-66.04656163,65.67932624,262.3310844,262.3310844,-0.5267276867,65.15259892,-0.07871339282,2.520750085
0.008801083618,-66.03987141,65.67713069,262.3282851,262.3282851,-0.5267220813,65.15040897,-0.08095792381,1.771732182
0.008801281944,-66.0345325,65.67339286,262.3254063,262.3254063,-0.5267163185,65.14667691,-0.0817555882,1.504981026
0.008801495738,-66.02937719,65.6688329,262.322303,262.322303,-0.5267101067,65.14212315,-0.08205015905,1.405861994
0.008801735174,-66.02385917,65.66355577,262.3188274,262.3188274,-0.52670315,65.13685298,-0.08216712961,1.365833453
0.008802014397,-66.01755728,65.65738263,262.3147743,262.3147743,-0.5266950374,65.13068796,-0.08222745316,1.344517028
0.008802354245,-66.009994,65.64992779,262.309841,262.309841,-0.5266851634,65.12324299,-0.08227673672,1.326621531
0.00880279081,-66.00041783,65.64047841,262.3035037,262.3035037,-0.5266724791,65.11380629,-0.08233379576,1.305721908
0.008803394762,-65.98741821,65.62765187,262.2947363,262.2947363,-0.5266549314,65.1009973,-0.08241156871,1.277206815
0.008804331503,-65.96782281,65.6083247,262.2811374,262.2811374,-0.526627714,65.08169734,-0.08253207988,1.233040978
0.008806106658,-65.93257951,65.57358975,262.2553654,262.2553654,-0.5265761348,65.04701398,-0.08276048798,1.149409917
0.008813925841,-65.80674556,65.44999635,262.1418234,262.1418234,-0.5263489253,64.92364778,-0.08376721894,0.7820150535
0.008871111659,-66.32517084,65.98487251,261.3114272,261.3114272,-0.5246886528,65.46018419,-0.09116225902,-1.855082796
0.009014129748,-78.23838891,77.93970226,259.2595366,259.2595366,-0.520596789,77.41910577,-0.1099162122,-8.038837455
0.009237016207,-124.0796224,123.8469558,256.2665942,256.2665942,-0.5146567514,123.3322993,-0.1399332813,-16.35711941
0.009505512562,-215.2971336,215.1454813,253.272722,253.272722,-0.5087602304,214.6367213,-0.1774465905,-23.94010154
0.009850338085,-370.7444202,370.6983142,250.8490177,250.8490177,-0.5040682738,370.194246,-0.2277959905,-29.30167811
0.01025958326,-573.3522005,573.4319595,250.4540682,250.4540682,-0.5034809831,572.9284784,-0.2903335656,-28.86655493
0.01074271295,-772.7751864,773.0016794,253.328179,253.328179,-0.5094286217,772.4922506,-0.3665746856,-19.06864308
0.01129032652,-856.4090914,856.7954294,259.3474963,259.3474963,-0.5215508782,856.2738782,-0.4525165264,2.291679368
0.01183384055,-711.7018213,712.2355405,264.8595842,264.8595842,-0.5324303359,711.7031096,-0.5317191685,30.39143094
0.01183384055,-711.7018213,712.2355405,264.8595842,264.8595842,-0.5324303359,711.7031096,-0.5317191685,30.39143094
0.01241546771,-147.7837395,373.4409593,265.8080745,265.8080745,-0.533763397,372.9069703,-0.5338412704,85.80917492
0.01251320511,-0.5345663286,307.1331377,265.2831643,265.2831643,-0.5325663286,306.6002648,-0.5328723923,94.96846163
0.01251320511,-0.5345663286,307.1331377,265.2831643,265.2831643,-0.5325663286,306.6002648,-0.5328723923,94.96846163
0.01251320511,-0.5345663286,307.1331377,265.2831643,265.2831643,-0.5325663286,306.6002648,-0.5328723923,94.96846163
0.01251320511,-0.5345663286,307.1331377,265.2831643,265.2831643,-0.5325663286,306.6002648,-0.5328723923,94.96846163
0.01251340857,-0.3416410367,307.0567493,265.2818455,265.2818455,-0.4361023638,306.5238791,-0.5328698713,30.68015343
0.01251361203,-0.2792988791,307.0456724,265.2805269,265.2805269,-0.4049299664,306.5128048,-0.5328672852,9.919600579
0.01251381548,-0.2591257897,307.0557001,265.2792084,265.2792084,-0.3948421032,306.5228351,-0.5328646784,3.215418154
0.01251401894,-0.2525703106,307.0725566,265.27789,265.27789,-0.3915630453,306.5396942,-0.5328620651,1.050444059
0.0125142224,-0.2504123509,307.0916318,265.2765717,265.2765717,-0.3904827472,306.5587721,-0.5328594498,0.351311546
0.01251442586,-0.2496744765,307.1114371,265.2752536,265.2752536,-0.3901124919,306.57858,-0.5328568342,0.1255416515
0.01251462932,-0.2493951881,307.1314917,265.2739357,265.2739357,-0.3899715297,306.5986372,-0.5328542186,0.05263422976
0.01251483278,-0.2492639897,307.1516403,265.2726178,265.2726178,-0.3899046127,306.6187885,-0.5328516032,0.0290905191
0.01251503624,-0.2491806131,307.1718329,265.2713001,265.2713001,-0.3898616067,306.6389836,-0.5328489881,0.02148777763
0.01251525146,-0.2491089535,307.1932233,265.2699064,265.2699064,-0.3898243831,306.6603768,-0.532846222,0.01895874718
0.01251548875,-0.2490359023,307.2168354,265.2683699,265.2683699,-0.3897863211,306.683992,-0.5328431728,0.01815571044
0.01251576215,-0.2489538212,307.2440757,265.2665999,265.2665999,-0.3897435105,306.7112358,-0.5328396601,0.01792684979
0.01251609105,-0.2488557438,307.2768928,265.2644709,265.2644709,-0.3896923428,306.7440571,-0.532835435,0.01787340254
0.01251650829,-0.248731492,307.3186012,265.2617705,265.2617705,-0.3896275165,306.7857709,-0.5328300761,0.01786469601
0.01251707634,-0.2485623599,307.3755193,265.2580951,265.2580951,-0.389539275,306.8426963,-0.5328227823,0.01786455795
0.01251793663,-0.2483062087,307.4620143,265.2525309,265.2525309,-0.3894056352,306.9292023,-0.5328117406,0.01786578095
0.01251949826,-0.2478411823,307.6199349,265.2424368,265.2424368,-0.389163028,307.0871429,-0.5327917109,0.01786807485
0.01252390447,-0.2465287692,308.0718259,265.2140007,265.2140007,-0.3884783852,307.5390904,-0.5327352919,0.01787452455
0.01254244063,-0.2410025378,310.0740213,265.0951265,265.0951265,-0.3855963954,309.5415215,-0.5324995515,0.01790128197
0.0125894877,-0.2269400096,315.8711122,264.7994232,264.7994232,-0.378269428,315.339198,-0.5319139567,0.01796646786
0.01266988877,-0.2027947934,328.020788,264.3177772,264.3177772,-0.3657151739,327.489825,-0.5309628395,0.0180687748
0.0127806077,-0.1693362579,348.9222798,263.7150123,263.7150123,-0.3483831413,348.3925014,-0.5297782458,0.01819078068
0.01292673278,-0.1248712594,382.699752,263.0520551,263.0520551,-0.3254876848,382.1712657,-0.5284861546,0.0183180938
0.01311597201,-0.0669096404,434.1015949,262.4620077,262.4620077,-0.2959168279,433.5742373,-0.5273575208,0.01842558239
0.01336036375,0.00826477316,506.9391767,262.2087177,262.2087177,-0.2580763311,506.4122529,-0.5269238539,0.01846804024
0.01369868332,0.1121571798,603.8025445,262.8322809,262.8322809,-0.206753691,603.2742767,-0.5282679462,0.01834730687
0.01407155877,0.2251488953,679.2503602,264.6247995,264.6247995,-0.1520503519,678.7184319,-0.5319285406,0.01797450494
0.01445332214,0.3376241379,693.1700436,267.0617077,267.0617077,-0.09824963875,692.6332276,-0.5368163843,0.01733763338
0.01485361509,0.4503218286,611.7900726,269.2026682,269.2026682,-0.04404175387,611.2490561,-0.5410170338,0.0164025476
0.0152041349,0.5432238259,444.8223595,269.6119129,269.6119129,0.002,444.2806914,-0.5416686478,0.01535393634
0.0152041349,0.5432238259,444.8223595,269.6119129,269.6119129,0.002,444.2806914,-0.5416686478,0.01535393634
0.01561454292,121.0195436,67.80428009,267.1015995,267.1015995,120.4832199,67.26800963,-0.5363914845,35.01187617
0.01566776497,154.0491878,0.5370326894,266.5163447,266.5163447,153.5140016,0.002000000003,-0.5351867384,39.45628588
0.01566776497,154.0491878,0.5370326894,266.5163447,266.5163447,153.5140016,0.002000000001,-0.5351867384,39.45628589
0.01566776497,154.0491878,0.5370326894,266.5163447,266.5163447,153.5140016,0.002000000001,-0.5351867384,39.45628589
0.01566776497,154.0491878,0.5370326894,266.5163447,266.5163447,153.5140016,0.002000000001,-0.5351867384,39.45628589
0.01566795792,154.1275025,0.3827390848,266.5141128,266.5141128,153.5923207,-0.07514457044,-0.5351821987,13.75759713
0.01566815086,154.1551245,0.3298792606,266.511881,266.511881,153.6199472,-0.1015722507,-0.5351777098,4.964554504
0.01566834381,154.1654077,0.3117454593,266.5096491,266.5096491,153.6302348,-0.1106369195,-0.5351732383,1.95918733
0.01566853675,154.1697708,0.3055001692,266.5074173,266.5074173,153.6346024,-0.1137573327,-0.5351687727,0.9352398191
0.0156687297,154.1721231,0.3033249299,266.5051855,266.5051855,153.6369591,-0.1148427205,-0.5351643093,0.5896339602
0.01566892334,154.1738083,0.3025414266,266.5029457,266.5029457,153.6386488,-0.1152322324,-0.5351598305,0.4760442468
0.01566912908,154.1753676,0.3022249735,266.5005659,266.5005659,153.6402128,-0.1153880791,-0.5351550721,0.441357605
0.01566935574,154.177019,0.3020727117,266.4979441,266.4979441,153.6418695,-0.1154615882,-0.5351498301,0.4358710423
