time,armatureInverter.iMot,armatureInverter.gain.u,armatureInverter.idealDcDc.pin_nBat.i,dcpm.friction.phi,dcpm.inertiaRotor.w,dcpm.flange.tau,armatureInverter.idealDcDc.powerMot.currentSensor.i,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.idealDcDc.deadTime.y,armatureInverter.iDCFilter.y,armatureInverter.vDCFilter.y,armatureInverter.iMotFilter.y,loadInertia.w,dcpm.la.i,armatureInverter.idealDcDc.powerController.y,loadInertia.phi
0.2013595396,17.63650981,119.5068059,-19.52991521,2.157392564e-05,0.05376091002,-13.55104216,42.57184153,4.275207965,38.2952223,54.5129696,8.219901974,119.5068059,17.63650981,0.05376091002,42.57184153,19.52991521,2.157392564e-05
0.2016162576,24.31771488,119.3326074,-22.27944236,3.855787731e-05,0.07934335299,-16.31383219,51.25138708,4.951793112,41.6340536,51.58415922,11.12320974,119.3326074,24.31771488,0.07934335299,51.25138708,22.27944236,3.855787731e-05
0.2019274559,32.90348126,119.1343992,-24.3366869,6.885557836e-05,0.116438253,-19.39401341,60.92802918,5.692627209,43.71167194,47.34882524,14.42668017,119.1343992,32.90348126,0.116438253,60.92802918,24.3366869,6.885557836e-05
0.2023420834,44.51678145,118.9209563,-25.07700741,0.0001289629895,0.1751522385,-22.98815166,72.21927061,6.539550386,43.83093834,41.14565502,17.98406117,118.9209563,44.51678145,0.1751522385,72.21927061,25.07700741,0.0001289629895
0.2027587191,55.72925297,118.7853882,-23.97144315,0.0002158476542,0.2433156171,-25.99226142,81.65683166,7.231374641,41.75744296,34.80530779,20.2435306,118.7853882,55.72925297,0.2433156171,81.65683166,23.97144315,0.0002158476542
0.2032017425,66.60605099,118.7326584,-21.44020205,0.0003412375959,0.3240019574,-28.53850427,89.65588395,7.803255619,38.02133692,28.38895359,21.12236065,118.7326584,66.60605099,0.3240019574,89.65588395,21.44020205,0.0003412375959
0.203670517,76.57967855,118.7663757,-17.99836657,0.0005145602782,0.4165248112,-30.56638106,96.02633909,8.244936375,33.16068791,22.28930114,20.56040454,118.7663757,76.57967855,0.4165248112,96.02633909,17.99836657,0.0005145602782
0.2041715539,85.3201591,118.8762096,-14.17636894,0.0007492967932,0.5213178803,-32.07724696,100.7724229,8.560306522,27.66102262,16.76151866,18.72983938,118.8762096,85.3201591,0.5213178803,100.7724229,14.17636894,0.0007492967932
0.2047110174,92.54299777,119.0418447,-10.47845668,0.001062017093,0.6386594154,-33.08465486,103.936677,8.756055664,21.99923235,12.03445056,15.96925441,119.0418447,92.54299777,0.6386594154,103.936677,10.47845668,0.001062017093
0.2052978378,98.0710871,119.2365568,-7.309025486,0.001475025071,0.7693040257,-33.62609253,105.6368275,8.844189182,16.60943223,8.272429851,12.72405264,119.2365568,98.0710871,0.7693040257,105.6368275,7.309025486,0.001475025071
0.2059497048,101.8541858,119.4328477,-4.925258179,0.002024245519,0.9158591207,-33.76002223,106.0564711,8.841030917,11.84159459,5.559045212,9.452538273,119.4328477,101.8541858,0.9158591207,106.0564711,4.925258179,0.002024245519
0.2067099477,103.9310758,119.6072739,-3.446004822,0.002785467022,1.086533884,-33.54990137,105.3948222,8.763336127,7.943481439,3.916766151,6.54543579,119.6072739,103.9310758,1.086533884,105.3948222,3.446004822,0.002785467022
0.2076188381,104.3154526,119.731576,-2.951633871,0.003864976498,1.288432676,-33.0816602,103.9216458,8.634172144,5.304386462,3.403268656,4.473733623,119.731576,104.3154526,1.288432676,103.9216458,2.951633871,0.003864976498
0.2085277285,103.5496852,119.7820911,-3.214440379,0.005126643863,1.487357176,-32.59911287,102.4031991,8.513319855,4.264755762,3.760755678,3.631815624,119.7820911,103.5496852,1.487357176,102.4031991,3.214440379,0.005126643863
0.2095437714,102.298406,119.7845508,-3.839064808,0.00674948864,1.706605305,-32.17735519,101.0750635,8.414090058,4.228179058,4.549135686,3.590820005,119.7845508,102.298406,1.706605305,101.0750635,3.839064808,0.00674948864
0.2108421962,100.9319255,119.7521033,-4.635166842,0.009145464631,1.983531156,-31.86575087,100.0915407,8.346019481,4.912439657,5.544240742,4.131611056,119.7521033,100.9319255,1.983531156,100.0915407,4.635166842,0.009145464631
0.2121406211,100.1332311,119.7141685,-5.206114576,0.01189965119,2.258651824,-31.75153477,99.72747908,8.325018194,5.70068672,6.248106466,4.763858295,119.7141685,100.1332311,2.258651824,99.72747908,5.206114576,0.01189965119
0.213583626,99.79802649,119.6825461,-5.578718355,0.01537911108,2.56385546,-31.74631093,99.70445831,8.328475886,6.346961921,6.695578864,5.290897755,119.6825461,99.79802649,2.56385546,99.70445831,5.578718355,0.01537911108
0.2151993343,99.78059334,119.6614468,-5.802953759,0.01979772929,2.905783069,-31.78658903,99.82259709,8.340791584,6.767160056,6.95568052,5.642553486,119.6614468,99.78059334,2.905783069,99.82259709,5.802953759,0.01979772929
0.2171343291,99.88494998,119.6470383,-5.984515622,0.02581698191,3.315753493,-31.82627806,99.93582971,8.351645433,7.046560573,7.164528439,5.882695793,119.6470383,99.88494998,3.315753493,99.93582971,5.984515622,0.02581698191
0.2194883257,99.96286622,119.6332115,-6.213055597,0.03420963151,3.814821779,-31.84511954,99.9790412,8.357065341,7.316031019,7.434064573,6.113141553,119.6332115,99.96286622,3.814821779,99.9790412,6.213055597,0.03420963151
0.2219002542,99.9777324,119.6179672,-6.477257473,0.04402739019,4.326163544,-31.8506468,99.97771163,8.359195022,7.618014844,7.749264387,6.36721266,119.6179672,99.9777324,4.326163544,99.97771163,6.477257473,0.04402739019
0.225016576,99.97409707,119.5968873,-6.832494204,0.05853831687,4.986656172,-31.85804695,99.97333744,8.361687924,8.037248003,8.173163639,6.718545616,119.5968873,99.97409707,4.986656172,99.97333744,6.832494204,0.05853831687
0.2289813476,99.97520899,119.5698353,-7.282788979,0.07997463567,5.8266847,-31.87190232,99.97607412,8.365109291,8.574570953,8.709608331,7.169410925,119.5698353,99.97520899,5.8266847,99.97607412,7.282788979,0.07997463567
0.2337732884,99.97922121,119.5372767,-7.825267667,0.110327468,6.841507616,-31.89151195,99.97994741,8.368737063,9.220689464,9.355457439,7.712055503,119.5372767,99.97922121,6.841507616,99.97994741,7.825267667,0.110327468
0.2407062161,99.98355657,119.4901777,-8.610259601,0.1628457696,8.30865428,-31.92461012,99.98411154,8.373016439,10.1547892,10.28946556,8.497038751,119.4901777,99.98355657,8.30865428,99.98411154,8.610259601,0.1628457696
0.2521540649,99.98886234,119.412434,-9.905907439,0.2718131319,10.72770613,-31.99206912,99.98924424,8.378215687,11.69507719,11.82948621,9.792767245,119.412434,99.98886234,10.72770613,99.98924424,9.905907439,0.2718131319
0.2704590981,99.99412702,119.2882977,-11.97459065,0.5035017246,14.58368413,-32.13320308,99.99433762,8.383246857,14.15045057,14.28428425,11.86170536,119.2882977,99.99412702,14.58368413,99.99433762,11.97459065,0.5035017246
0.2968796428,99.99788452,119.1098105,-14.94874194,0.9619687815,20.11364128,-32.40863275,99.99797564,8.386535791,17.6720846,17.80477296,14.83649199,119.1098105,99.99788452,20.11364128,99.99797564,14.94874194,0.9619687815
0.3341553627,99.9999287,118.8602293,-19.10701332,1.855714685,27.81776126,-32.93710911,99.99995938,8.387666821,22.57891044,22.70937958,18.99617841,118.8602293,99.9999287,27.81776126,99.99995938,19.10701332,1.855714685
0.3819327535,100.0007978,118.5460882,-24.34004447,3.416427346,37.46710915,-33.83785855,100.0008085,8.386966225,28.72568881,28.85235856,24.23186299,118.5460882,100.0007978,37.46710915,100.0008085,24.34004447,3.416427346
0.4404393533,100.0012304,118.1737073,-30.54198558,5.943757199,48.83634086,-35.24055778,100.0012359,8.384941625,35.96951053,36.09024998,30.43821129,118.1737073,100.0012304,48.83634086,100.0012359,30.54198558,5.943757199
0.5098056955,100.0015325,117.7550437,-37.51312042,9.776938878,61.52910469,-37.24306098,100.0015359,8.381722861,44.05846599,44.17072644,37.41593776,117.7550437,100.0015325,61.52910469,100.0015359,37.51312042,9.776938878
0.5901201706,100.0017458,117.3078203,-44.95788909,15.2683112,74.98310778,-39.86847259,100.0017476,8.377307035,52.63468777,52.73581888,44.86966249,117.3078203,100.0017458,74.98310778,100.0017476,44.95788909,15.2683112
0.6816215312,100.0018403,116.853652,-52.51623922,22.76415387,88.53556735,-43.03623669,100.0018404,8.371803362,61.27589452,61.36358478,52.43913277,116.853652,100.0018403,88.53556735,100.0018404,52.51623922,22.76415387
0.785058535,100.0017925,116.4145854,-59.8213248,32.61515941,101.5317195,-46.56712195,100.0017912,8.365503961,69.56449045,69.63718771,59.7569096,116.4145854,100.0017925,101.5317195,100.0017912,59.8213248,32.61515941
0.9018068467,100.0016077,116.0108791,-66.53640991,45.18862119,113.3896903,-50.21001474,100.0016055,8.358859255,77.12897687,77.18619578,66.48534855,116.0108791,100.0016077,113.3896903,100.0016055,66.53640991,45.18862119
1.033996308,100.0013216,115.6588619,-72.39040031,60.8900023,123.6579419,-53.68925203,100.0013192,8.352395723,83.68072477,83.72315308,72.35230117,115.6588619,100.0013216,123.6579419,100.0013192,72.39040031,60.8900023
1.184741776,100.0009896,115.3691056,-77.20808012,80.20292055,132.0601729,-56.7604252,100.0009874,8.346605363,89.04279614,89.07216324,77.1815728,115.3691056,100.0009896,132.0601729,100.0009874,77.20808012,80.20292055
1.358761301,100.0006687,115.1452289,-80.92983169,103.7881023,138.5212434,-59.259318,100.0006671,8.341839769,93.16665687,93.18539325,80.91285153,115.1452289,100.0006687,138.5212434,100.0006671,80.92983169,103.7881023
1.563735153,100.0004011,114.9841279,-83.6076846,132.6995007,143.154007,-61.12454523,100.0004,8.338252625,96.12389017,96.13468972,83.59786854,114.9841279,100.0004011,143.154007,100.0004,83.6076846,132.6995007
1.813655571,100.0002064,114.8775273,-85.3794784,168.9023049,146.2118733,-62.38930254,100.0002058,8.335806219,98.07596198,98.08137894,85.37454502,114.8775273,100.0002064,146.2118733,100.0002058,85.3794784,168.9023049
2,100.0001237,114.834502,-86.09456451,196.2728433,147.4443451,-62.90661941,100.0001234,8.334802353,98.86277587,98.86599106,86.0916333,114.834502,100.0001237,147.4443451,100.0001234,86.09456451,196.2728433
