time,cuboidLeft.Phi.re,cuboidLeft.Phi.im,source.port_p.reference.gamma
0.434,2.077639943e-11,0,136.3451212
0.435,2.082427132e-11,0,136.6592804
0.436,2.08721432e-11,0,136.9734397
0.437,2.092001509e-11,0,137.287599
0.438,2.096788698e-11,0,137.6017582
0.439,2.101575887e-11,0,137.9159175
0.44,2.106363076e-11,0,138.2300768
0.441,2.111150264e-11,0,138.544236
0.442,2.115937453e-11,0,138.8583953
0.443,2.120724642e-11,0,139.1725546
0.444,2.125511831e-11,0,139.4867138
0.445,2.13029902e-11,0,139.8008731
0.446,2.135086208e-11,0,140.1150324
0.447,2.139873397e-11,0,140.4291916
0.448,2.144660586e-11,0,140.7433509
0.449,2.149447775e-11,0,141.0575101
0.45,2.154234964e-11,0,141.3716694
0.451,2.159022152e-11,0,141.6858287
0.452,2.163809341e-11,0,141.9999879
0.453,2.16859653e-11,0,142.3141472
0.454,2.173383719e-11,0,142.6283065
0.455,2.178170908e-11,0,142.9424657
0.456,2.182958096e-11,0,143.256625
0.457,2.187745285e-11,0,143.5707843
0.458,2.192532474e-11,0,143.8849435
0.459,2.197319663e-11,0,144.1991028
0.46,2.202106852e-11,0,144.5132621
0.461,2.206894041e-11,0,144.8274213
0.462,2.211681229e-11,0,145.1415806
0.463,2.216468418e-11,0,145.4557399
0.464,2.221255607e-11,0,145.7698991
0.465,2.226042796e-11,0,146.0840584
0.466,2.230829985e-11,0,146.3982177
0.467,2.235617173e-11,0,146.7123769
0.468,2.240404362e-11,0,147.0265362
0.469,2.245191551e-11,0,147.3406955
0.47,2.24997874e-11,0,147.6548547
0.471,2.254765929e-11,0,147.969014
0.472,2.259553117e-11,0,148.2831732
0.473,2.264340306e-11,0,148.5973325
0.474,2.269127495e-11,0,148.9114918
0.475,2.273914684e-11,0,149.225651
0.476,2.278701873e-11,0,149.5398103
0.477,2.283489061e-11,0,149.8539696
0.478,2.28827625e-11,0,150.1681288
0.479,2.293063439e-11,0,150.4822881
0.48,2.297850628e-11,0,150.7964474
0.481,2.302637817e-11,0,151.1106066
0.482,2.307425005e-11,0,151.4247659
0.483,2.312212194e-11,0,151.7389252
0.484,2.316999383e-11,0,152.0530844
0.485,2.321786572e-11,0,152.3672437
0.486,2.326573761e-11,0,152.681403
0.487,2.33136095e-11,0,152.9955622
0.488,2.336148138e-11,0,153.3097215
0.489,2.340935327e-11,0,153.6238808
0.49,2.345722516e-11,0,153.93804
0.491,2.350509705e-11,0,154.2521993
0.492,2.355296894e-11,0,154.5663586
0.493,2.360084082e-11,0,154.8805178
0.494,2.364871271e-11,0,155.1946771
0.495,2.36965846e-11,0,155.5088364
0.496,2.374445649e-11,0,155.8229956
0.497,2.379232838e-11,0,156.1371549
0.498,2.384020026e-11,0,156.4513141
0.499,2.388807215e-11,0,156.7654734
0.5,2.393594404e-11,0,157.0796327
0.501,2.398381593e-11,0,157.3937919
0.502,2.403168782e-11,0,157.7079512
0.503,2.40795597e-11,0,158.0221105
0.504,2.412743159e-11,0,158.3362697
0.505,2.417530348e-11,0,158.650429
0.506,2.422317537e-11,0,158.9645883
0.507,2.427104726e-11,0,159.2787475
0.508,2.431891915e-11,0,159.5929068
0.509,2.436679103e-11,0,159.9070661
0.51,2.441466292e-11,0,160.2212253
0.511,2.446253481e-11,0,160.5353846
0.512,2.45104067e-11,0,160.8495439
0.513,2.455827859e-11,0,161.1637031
0.514,2.460615047e-11,0,161.4778624
0.515,2.465402236e-11,0,161.7920217
0.516,2.470189425e-11,0,162.1061809
0.517,2.474976614e-11,0,162.4203402
0.518,2.479763803e-11,0,162.7344995
0.519,2.484550991e-11,0,163.0486587
0.52,2.48933818e-11,0,163.362818
0.521,2.494125369e-11,0,163.6769773
0.522,2.498912558e-11,0,163.9911365
0.523,2.503699747e-11,0,164.3052958
0.524,2.508486935e-11,0,164.619455
0.525,2.513274124e-11,0,164.9336143
0.526,2.518061313e-11,0,165.2477736
0.527,2.522848502e-11,0,165.5619328
0.528,2.527635691e-11,0,165.8760921
0.529,2.532422879e-11,0,166.1902514
0.53,2.537210068e-11,0,166.5044106
0.531,2.541997257e-11,0,166.8185699
0.532,2.546784446e-11,0,167.1327292
0.533,2.551571635e-11,0,167.4468884
0.534,2.556358824e-11,0,167.7610477
0.535,2.561146012e-11,0,168.075207
0.536,2.565933201e-11,0,168.3893662
0.537,2.57072039e-11,0,168.7035255
0.538,2.575507579e-11,0,169.0176848
0.539,2.580294768e-11,0,169.331844
0.54,2.585081956e-11,0,169.6460033
0.541,2.589869145e-11,0,169.9601626
0.542,2.594656334e-11,0,170.2743218
0.543,2.599443523e-11,0,170.5884811
0.544,2.604230712e-11,0,170.9026404
0.545,2.6090179e-11,0,171.2167996
0.546,2.613805089e-11,0,171.5309589
0.547,2.618592278e-11,0,171.8451182
0.548,2.623379467e-11,0,172.1592774
0.549,2.628166656e-11,0,172.4734367
0.55,2.632953844e-11,0,172.7875959
0.551,2.637741033e-11,0,173.1017552
0.552,2.642528222e-11,0,173.4159145
0.553,2.647315411e-11,0,173.7300737
0.554,2.6521026e-11,0,174.044233
0.555,2.656889788e-11,0,174.3583923
0.556,2.661676977e-11,0,174.6725515
0.557,2.666464166e-11,0,174.9867108
0.558,2.671251355e-11,0,175.3008701
0.559,2.676038544e-11,0,175.6150293
