time,C2.v,C1.v,L.i
18490,0.008933107608,1.320468312,1.249813082
18491,0.003902959561,1.33497788,1.249301352
18492,-0.001012041707,1.348984227,1.248513825
18493,-0.005812597785,1.362501464,1.247457045
18494,-0.01049945342,1.37554371,1.246137561
18495,-0.01507330048,1.388124673,1.244561853
18496,-0.01953480225,1.400257758,1.242736348
18497,-0.02388461217,1.411956145,1.240667437
18498,-0.02812337387,1.42323279,1.238361472
18499,-0.03225172115,1.434100427,1.235824767
18500,-0.03627027797,1.444571566,1.233063599
18501,-0.04017965848,1.454658494,1.230084205
18502,-0.043980467,1.464373275,1.226892785
18503,-0.04767329802,1.473727749,1.223495504
18504,-0.05125873621,1.482733533,1.219898484
18505,-0.05473735641,1.49140202,1.216107812
18506,-0.05810972362,1.499744382,1.212129538
18507,-0.06137637317,1.507771483,1.207969673
18508,-0.06453790258,1.515494264,1.203634197
18509,-0.06759488034,1.522923366,1.199129056
18510,-0.07054784472,1.53006912,1.194460159
18511,-0.07339733632,1.536941688,1.189633384
18512,-0.07614389809,1.543551057,1.184654571
18513,-0.07878807532,1.549907044,1.179529528
18514,-0.08133041566,1.556019292,1.174264026
18515,-0.08377146907,1.561897272,1.168863803
18516,-0.08611178788,1.567550285,1.163334562
18517,-0.08835192676,1.572987458,1.15768197
18518,-0.09049244271,1.578217746,1.151911661
18519,-0.09253389508,1.583249932,1.146029235
18520,-0.09447684558,1.588092627,1.140040253
18521,-0.09632185825,1.592754268,1.133950247
18522,-0.09806949945,1.597243124,1.127764711
18523,-0.09972033793,1.601567288,1.121489105
18524,-0.1012749302,1.605734611,1.115128877
18525,-0.1027338753,1.609752956,1.108689395
18526,-0.104097799,1.613630133,1.10217596
18527,-0.1053672896,1.617373584,1.095593904
18528,-0.1065429457,1.620990612,1.088948516
18529,-0.1076253771,1.624488391,1.082245045
18530,-0.1086152039,1.627873954,1.075488697
18531,-0.1095130571,1.631154203,1.068684639
18532,-0.1103195784,1.634335903,1.061837992
18533,-0.1110354201,1.637425685,1.054953841
18534,-0.1116612455,1.640430044,1.048037225
18535,-0.1121977284,1.64335534,1.041093142
18536,-0.1126455532,1.646207799,1.034126551
18537,-0.1130054153,1.648993512,1.027142366
18538,-0.1132780206,1.651718432,1.020145462
18539,-0.1134640858,1.65438838,1.013140672
18540,-0.1135643383,1.657009042,1.006132785
18541,-0.1135795162,1.659585967,0.9991265512
18542,-0.1135103684,1.662124571,0.9921266783
18543,-0.1133576544,1.664630132,0.9851378321
18544,-0.1131221437,1.667107758,0.9781646645
18545,-0.1128046227,1.669562412,0.9712118014
18546,-0.1124059,1.671999312,0.9642835551
18547,-0.1119267878,1.674423211,0.9573844342
18548,-0.1113681121,1.676838754,0.9505188907
18549,-0.1107307123,1.679250477,0.9436913203
18550,-0.1100154412,1.681662807,0.9369060622
18551,-0.109223165,1.684080059,0.9301673994
18552,-0.1083547635,1.686506442,0.9234795584
18553,-0.10741113,1.688946055,0.9168467093
18554,-0.1063931711,1.691402887,0.9102729657
18555,-0.1053018069,1.693880817,0.9037623851
18556,-0.104137971,1.696383617,0.8973189685
18557,-0.1029026106,1.698914948,0.8909466602
18558,-0.1015966861,1.701478362,0.8846493486
18559,-0.1002211716,1.704077302,0.8784308655
18560,-0.09877705458,1.706715103,0.8722949861
18561,-0.09726533588,1.709394989,0.8662454295
18562,-0.09568702993,1.712120075,0.8602858584
18563,-0.0940431646,1.714893366,0.854419879
18564,-0.09233478122,1.717717761,0.848651041
18565,-0.09056293456,1.720596046,0.842982838
18566,-0.08872869288,1.7235309,0.837418707
18567,-0.0868331379,1.726524891,0.8319620287
18568,-0.08487744578,1.729580228,0.8266162822
18569,-0.0828626243,1.732699632,0.8213844908
18570,-0.08078974047,1.735885558,0.8162697247
18571,-0.07865994458,1.739140139,0.8112751332
18572,-0.07647439599,1.742465418,0.8064037932
18573,-0.0742342632,1.745863351,0.8016587092
18574,-0.07194072375,1.74933581,0.7970428129
18575,-0.0695949643,1.752884576,0.7925589634
18576,-0.06719818061,1.756511348,0.7882099474
18577,-0.0647515775,1.760217734,0.7839984788
18578,-0.06225636892,1.764005259,0.7799271993
18579,-0.05971377788,1.767875357,0.7759986776
18580,-0.05712503651,1.771829379,0.7722154101
18581,-0.054491386,1.775868588,0.7685798205
18582,-0.05181407666,1.779994159,0.7650942601
18583,-0.04909436787,1.784207181,0.7617610073
18584,-0.04633352813,1.788508658,0.7585822683
18585,-0.04353283501,1.792899504,0.7555601765
18586,-0.04069357517,1.797380549,0.7526967928
18587,-0.03781704438,1.801952534,0.7499941055
18588,-0.03490454749,1.806616116,0.7474540303
18589,-0.03195739844,1.811371862,0.7450784104
18590,-0.02897692026,1.816220255,0.7428690165
18591,-0.02596444509,1.821161689,0.7408275464
18592,-0.02292131415,1.826196472,0.7389556257
18593,-0.01984887774,1.831324827,0.7372548072
18594,-0.01674849527,1.836546887,0.7357265713
18595,-0.01362153524,1.841862702,0.7343723257
18596,-0.01046937523,1.847272231,0.7331934054
18597,-0.007293563941,1.852774953,0.7321910485
18598,-0.00409514808,1.858371514,0.7313664155
18599,-0.000875539157,1.864061608,0.7307205912
18600,0.002363850641,1.869844865,0.7302545829
18601,0.005621610623,1.875720853,0.72996932
18602,0.008896331598,1.881689082,0.7298656545
18603,0.01218660587,1.887748999,0.7299443608
18604,0.01549102723,1.893899992,0.7302061355
18605,0.01880819099,1.900141389,0.7306515977
18606,0.02213669395,1.906472455,0.731281289
18607,0.02547513438,1.912892397,0.7320956731
18608,0.02882211209,1.919400363,0.7330951363
18609,0.03217622836,1.925995436,0.7342799872
18610,0.03553608597,1.932676642,0.7356504567
18611,0.03890028921,1.939442946,0.7372066984
18612,0.04226744385,1.946293252,0.7389487879
18613,0.04563615717,1.953226404,0.7408767233
18614,0.04900503794,1.960241186,0.7429904253
18615,0.05237269644,1.967336321,0.7452897366
18616,0.05573774442,1.974510471,0.7477744227
18617,0.05909879516,1.981762238,0.7504441711
18618,0.06245446341,1.989090165,0.7532985918
18619,0.06580336544,1.996492733,0.7563372175
18620,0.06914411899,2.003968363,0.7595595028
18621,0.07247534333,2.011515414,0.7629648249
18622,0.0757956592,2.019132189,0.7665524834
18623,0.07910368884,2.026816926,0.7703217003
18624,0.08239805601,2.034567804,0.77427162
18625,0.08567729946,2.042382694,0.7784011648
18626,0.08894013775,2.050259899,0.7827094329
18627,0.0921854018,2.058197981,0.7871956257
18628,0.09541172642,2.066194878,0.7918585436
18629,0.09861776018,2.074248499,0.796696923
18630,0.1018021654,2.082356728,0.8017094367
18631,0.1049636181,2.090517417,0.806894693
18632,0.1081008082,2.098728392,0.8122512367
18633,0.1112124391,2.106987452,0.8177775483
18634,0.1142972282,2.115292365,0.8234720445
18635,0.1173539066,2.123640874,0.829333078
18636,0.120381219,2.132030691,0.8353589374
18637,0.123377924,2.140459503,0.8415478474
18638,0.1263427938,2.148924966,0.8478979689
18639,0.1292746146,2.15742471,0.8544073985
18640,0.1321721861,2.165956336,0.8610741691
18641,0.1350343218,2.174517417,0.8678962495
18642,0.137859849,2.183105498,0.8748715445
18643,0.1406476088,2.191718097,0.8819978949
18644,0.143396456,2.200352702,0.8892730777
18645,0.1461052589,2.209006774,0.8966948057
18646,0.1487729,2.217677747,0.9042607279
18647,0.1513982753,2.226363024,0.9119684293
18648,0.1539802945,2.235059982,0.9198154309
18649,0.1565178811,2.243765971,0.9277991895
18650,0.1590099723,2.25247831,0.9359170984
18651,0.1614555193,2.261194292,0.9441664865
18652,0.1638534868,2.269911182,0.9525446189
18653,0.1662028532,2.278626216,0.9610486967
18654,0.1685024648,2.287335899,0.969675107
18655,0.1707515931,2.296038584,0.9784221073
18656,0.1729493242,2.304731688,0.9872869556
18657,0.1750947024,2.313412334,0.9962665596
18658,0.1771867953,2.322077653,1.005357797
18659,0.1792246943,2.330724788,1.014557513
18660,0.1812075144,2.339350887,1.023862527
18661,0.1831343943,2.347953112,1.033269622
18662,0.1850044964,2.35652863,1.042775554
18663,0.1868170066,2.36507462,1.05237705
18664,0.1885711345,2.373588271,1.062070802
18665,0.1902661136,2.382066779,1.071853476
18666,0.1919012007,2.390507352,1.081721705
18667,0.1934756763,2.398907204,1.091672092
18668,0.1949888449,2.407263561,1.10170121
18669,0.1964400342,2.415573659,1.111805601
18670,0.1978285959,2.423834741,1.121981777
18671,0.199153905,2.43204406,1.13222622
18672,0.2004153606,2.44019888,1.14253538
18673,0.2016123851,2.448296472,1.152905678
18674,0.2027444247,2.456334119,1.163333504
