time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.044,296.8082827,296.8130399,1.48671e-05,293.836771,293.886927,0.00016144,293.2235361,293.1965963,8.81027e-05
0.0445,296.8433657,296.8483586,1.56033e-05,293.8499558,293.9016073,0.000166254,293.2257608,293.197983,9.08433e-05
0.045,296.8783419,296.8835745,1.63526e-05,293.8632138,293.9163903,0.000171162,293.2280249,293.1993925,9.36383e-05
0.0455,296.9132124,296.9186888,1.71144e-05,293.8765436,293.9312749,0.000176167,293.2303286,293.2008247,9.64884e-05
0.046,296.9479654,296.9537024,1.7929e-05,293.8899603,293.9462602,0.000181216,293.2326662,293.2022797,9.93746e-05
0.0465,296.9826119,296.9886163,1.87643e-05,293.9034498,293.9613452,0.000186351,293.2350423,293.2037574,0.000102313
0.047,297.0171533,297.0234314,1.96199e-05,293.9170106,293.9765288,0.000191575,293.2374572,293.205258,0.000105303
0.0475,297.0515905,297.0581488,2.04957e-05,293.9306416,293.9918102,0.000196887,293.2399111,293.2067813,0.000108346
0.048,297.0859244,297.0927694,2.13915e-05,293.9443415,294.0071884,0.000202289,293.242404,293.2083275,0.000111442
0.0485,297.1201562,297.1272942,2.23073e-05,293.9581091,294.0226624,0.000207781,293.2449362,293.2098965,0.000114592
0.049,297.1542868,297.1617242,2.32429e-05,293.9719433,294.0382312,0.000213364,293.2475076,293.2114882,0.000117796
0.0495,297.1883171,297.1960601,2.41981e-05,293.9858427,294.0538939,0.00021904,293.2501185,293.2131028,0.000121054
0.05,297.2222483,297.2303031,2.51727e-05,293.9998063,294.0696496,0.000224808,293.2527689,293.2147402,0.000124367
0.0505,297.2560812,297.2644541,2.61665e-05,294.0138328,294.0854973,0.000230671,293.255459,293.2164004,0.000127735
0.051,297.2898169,297.2985138,2.71793e-05,294.027921,294.1014362,0.000236628,293.2581889,293.2180835,0.000131159
0.0515,297.3234563,297.3324834,2.82108e-05,294.0420696,294.1174653,0.00024268,293.2609587,293.2197893,0.000134639
0.052,297.3570006,297.3663635,2.92606e-05,294.0562776,294.1335838,0.00024883,293.2637686,293.2215179,0.000138175
0.0525,297.3904432,297.4001553,3.03517e-05,294.070553,294.1497906,0.000255046,293.2666154,293.2232693,0.000141757
