time,m4.v,m4.s,m3.v,m3.s,m2.v,m2.s,m1.v,m1.s,sd2.s_rel,sd1.s_rel,sd2.v_rel,sd1.v_rel
3.058973625,0,12.5,0,4.5,-1.531380093,2.901856786,2.026058005,0.5104314686,4,0.8914253171,0,-3.557438098
3.089510703,0,12.5,0,4.5,-0.9325432036,2.86373225,0.3636835738,0.5506022881,4,0.8131299623,0,-1.296226777
3.113024542,0,12.5,0,4.5,-0.4233234741,2.84786914,-1.278293249,0.5392424582,4,0.8086266815,0,0.8549697746
3.136765887,0,12.5,0,4.5,-0.001083832723,2.843095758,-2.161909756,0.496091532,4,0.8470042256,0,2.160825923
3.162287969,0,12.5,0,4.5,0.295438338,2.847183408,-1.667191378,0.4440363224,4,0.9031470855,0,1.962629716
3.188718816,0,12.5,0,4.5,0.4867253472,2.857650585,0.02688223376,0.4208619016,4,0.9367886834,0,0.4598431135
3.215149664,0,12.5,0,4.5,0.6847962866,2.87298506,1.696958318,0.4452281807,4,0.9277568794,0,-1.012162032
3.241580512,0,12.5,0,4.5,0.9762622645,2.894710268,2.161249316,0.4996510713,4,0.8950591966,0,-1.184987052
3.271144704,0,12.5,0,4.5,1.373329106,2.929434225,0.9503962613,0.5493277412,4,0.8801064837,0,0.4229328451
3.296096394,0,12.5,0,4.5,1.6342379,2.967253576,-0.6686425955,0.5527200188,4,0.9145335575,0,2.302880495
3.321048084,0,12.5,0,4.5,1.70111762,3.009351786,-1.708578467,0.5209018697,4,0.9884499161,0,3.409696088
3.347250778,0,12.5,0,4.5,1.517252664,3.052052791,-1.47165345,0.4761010994,4,1.075951691,0,2.988906113
3.374812582,0,12.5,0,4.5,1.122630366,3.088731174,-0.0181612164,0.453840662,4,1.134890512,0,1.140791583
3.396048411,0,12.5,0,4.5,0.7827667559,3.108932058,1.208601183,0.4670100568,4,1.141922001,0,-0.4258344267
3.419049585,0,12.5,0,4.5,0.4682313757,3.123160192,1.882170554,0.5043785384,4,1.118781654,0,-1.413939179
3.44344471,0,12.5,0,4.5,0.2296678064,3.131487199,1.466191502,0.5475716181,4,1.083915581,0,-1.236523695
3.470679053,0,12.5,0,4.5,0.02938437094,3.13497161,-0.0102755615,0.5687671665,4,1.066204444,0,0.03965993244
3.491574587,0,12.5,0,4.5,-0.1457281504,3.133841028,-1.179249175,0.5557775675,4,1.07806346,0,1.033521025
3.514177654,0,12.5,0,4.5,-0.4059760974,3.127762184,-1.806364618,0.5203568453,4,1.107405339,0,1.40038852
3.538859231,0,12.5,0,4.5,-0.7698209582,3.113370688,-1.407004761,0.478431009,4,1.134939679,0,0.6371838031
3.565914318,0,12.5,0,4.5,-1.173276267,3.086940738,-0.05350085311,0.4575297592,4,1.129410979,0,-1.119775414
3.587496534,0,12.5,0,4.5,-1.403095201,3.058918966,1.015689504,0.4685662421,4,1.090352724,0,-2.418784705
3.610315413,0,12.5,0,4.5,-1.490418756,3.025572234,1.495437691,0.4988800817,4,1.026692153,0,-2.985856447
3.63515444,0,12.5,0,4.5,-1.395958554,2.989358168,0.9929212356,0.5318686072,4,0.9574895608,0,-2.38887979
3.66127719,0,12.5,0,4.5,-1.156300832,2.95583335,-0.2838060368,0.5418984468,4,0.9139349027,0,-0.8724947952
3.682311096,0,12.5,0,4.5,-0.9389822283,2.933819823,-1.242476119,0.5252038384,4,0.9086159847,0,0.3034938909
3.706066862,0,12.5,0,4.5,-0.7326495268,2.91408005,-1.638209946,0.4891592655,4,0.9249207844,0,0.905560419
3.731196372,0,12.5,0,4.5,-0.5722877369,2.897776512,-1.045806776,0.4534418766,4,0.9443346353,0,0.473519039
