time,inertia4.w,inertia4.phi,inertia3.w,inertia3.phi,inertia2.w,inertia2.phi,inertia1.w,inertia1.phi
1.031986404,-1.024671913e-17,33.34402612,49.21292716,70.90138297,35.62985045,64.37014955,0.01502385862,50.00485484
1.039506773,-4.830360502e-18,33.34402612,49.03146201,71.27079919,35.36290583,64.63709417,0.007082330677,50.00493426
1.047538982,-2.163443112e-18,33.34402612,48.83911846,71.66385663,35.08000129,64.91999871,0.003172065422,50.00497336
1.056226103,-9.075469314e-19,33.34402612,48.6327835,72.08723047,34.77657692,65.22342308,0.001330655853,50.00499177
1.065817652,-3.4778772e-19,33.34402612,48.40698248,72.55260962,34.44461026,65.55538974,0.000509930395,50.00499998
1.076657064,-1.176429856e-19,33.34402612,48.15431522,73.07594111,34.07326712,65.92673288,0.000172489512,50.00500336
1.089233723,-3.344809478e-20,33.34402612,47.86443843,73.67973497,33.64742275,66.35257725,4.90419851e-05,50.00500459
1.104273078,-7.434008405e-21,33.34402612,47.52234867,74.39700671,33.14517343,66.85482657,1.089982948e-05,50.00500497
1.122947934,-1.148569348e-21,33.34402612,47.10431061,75.28056484,32.53193596,67.46806404,1.684045719e-06,50.00500506
1.147342271,-1.000500769e-22,33.34402612,46.56919406,76.4230915,31.74794234,68.25205766,1.46694585e-07,50.00500508
1.181651035,-3.154124225e-24,33.34402612,45.83684436,78.0081936,30.67718292,69.32281708,4.624613577e-09,50.00500508
1.235931543,7.455726529e-27,33.34402612,44.72408793,80.46579293,29.05639633,70.94360367,-1.093167284e-11,50.00500508
1.342027885,-3.396761552e-28,33.34402612,42.69803941,85.10171612,26.13152136,73.86847864,4.980371245e-13,50.00500508
1.504746241,2.926527665e-29,33.34402612,39.92420345,91.81874156,22.20736398,77.79263602,-4.290908858e-14,50.00500508
1.699790057,-2.968340269e-30,33.34402612,37.03991629,99.31739961,18.27218812,81.72781188,4.352214983e-15,50.00500508
1.950893743,3.471659298e-31,33.34402612,33.88803671,108.210806,14.21469721,85.78530279,-5.090187191e-16,50.00500508
2.250702589,-4.268264572e-32,33.34402612,30.76257802,117.8871106,10.53251985,89.46748015,6.258179096e-17,50.00500508
2.611372681,5.328439543e-33,33.34402612,27.69029824,128.4087862,7.34336741,92.65663259,-7.812619953e-18,50.00500508
3.032542817,-6.572165571e-34,33.34402612,24.7982438,139.4397018,4.819293737,95.18070626,9.636185503e-19,50.00500508
3.518319581,7.878723202e-35,33.34402612,22.13211587,150.8139956,2.964921809,97.03507819,-1.155187548e-19,50.00500508
4.063399042,-9.13227731e-36,33.34402612,19.74957238,162.2037739,1.719049069,98.28095093,1.338985107e-20,50.00500508
4.660937091,1.024147533e-36,33.34402612,17.66491294,173.3589103,0.9457598013,99.0542402,-1.501617009e-21,50.00500508
5,-1.27688982e-37,33.34402612,16.66666048,179.1759107,0.6737948729,99.32620513,1.872190686e-22,50.00500508
