time,cActuator.x_ref,cActuator.x_sim,cActuator.x_relerr,pmActuator.x_ref,pmActuator.x_sim,pmActuator.x_relerr
0.00233,-0.003918478585,-0.003918478582,6.45875e-10,-0.003892614506,-0.003892614496,2.47379e-09
0.00234,-0.003917527558,-0.003917527555,6.41651e-10,-0.003891398171,-0.003891398161,2.48503e-09
0.00235,-0.003916569957,-0.003916569955,6.42216e-10,-0.003890173992,-0.003890173982,2.50481e-09
0.00236,-0.003915605772,-0.003915605769,6.56478e-10,-0.003888941962,-0.003888941951,2.55453e-09
0.00237,-0.00391463499,-0.003914634987,6.7757e-10,-0.003887702074,-0.003887702063,2.61761e-09
0.00238,-0.003913657601,-0.003913657599,7.02974e-10,-0.003886454321,-0.00388645431,2.68843e-09
0.00239,-0.003912673595,-0.003912673592,7.29545e-10,-0.003885198696,-0.003885198685,2.7603e-09
0.0024,-0.003911682959,-0.003911682956,7.52935e-10,-0.003883935192,-0.003883935181,2.82406e-09
0.00241,-0.003910685684,-0.003910685681,7.67465e-10,-0.003882663804,-0.003882663792,2.86795e-09
0.00242,-0.003909681759,-0.003909681756,7.15759e-10,-0.003881384524,-0.003881384512,2.78441e-09
0.00243,-0.003908671173,-0.003908671171,6.91983e-10,-0.003880097345,-0.003880097334,2.75405e-09
0.00244,-0.003907653916,-0.003907653914,6.918e-10,-0.003878802263,-0.003878802251,2.76809e-09
0.00245,-0.003906629978,-0.003906629975,7.10719e-10,-0.00387749927,-0.003877499258,2.82013e-09
0.00246,-0.003905599348,-0.003905599345,7.43401e-10,-0.003876188361,-0.003876188349,2.90087e-09
0.00247,-0.003904562016,-0.003904562013,7.80423e-10,-0.003874869529,-0.003874869517,2.99033e-09
0.00248,-0.003903517972,-0.003903517968,8.17054e-10,-0.003873542769,-0.003873542757,3.07932e-09
0.00249,-0.003902467206,-0.003902467202,8.49633e-10,-0.003872208076,-0.003872208063,3.16063e-09
0.0025,-0.003901409708,-0.003901409704,8.75453e-10,-0.003870865443,-0.00387086543,3.22888e-09
0.00251,-0.003900345468,-0.003900345464,8.92643e-10,-0.003869514866,-0.003869514853,3.2802e-09
0.00252,-0.003899274476,-0.003899274473,9.00044e-10,-0.003868156338,-0.003868156325,3.31205e-09
0.00253,-0.003898196724,-0.00389819672,8.97099e-10,-0.003866789855,-0.003866789842,3.32299e-09
0.00254,-0.003897112201,-0.003897112197,8.84633e-10,-0.003865415412,-0.003865415399,3.31464e-09
0.00255,-0.003896020897,-0.003896020894,8.71523e-10,-0.003864033003,-0.00386403299,3.30806e-09
0.00256,-0.003894922804,-0.003894922801,8.53296e-10,-0.003862642624,-0.003862642611,3.29146e-09
0.00257,-0.003893817912,-0.003893817909,8.31552e-10,-0.00386124427,-0.003861244256,3.26778e-09
0.00258,-0.003892706212,-0.003892706209,8.07998e-10,-0.003859837935,-0.003859837922,3.24014e-09
