time,feedbackA.i1_2,firstOrder2B.y,firstOrder2A.c.v,firstOrder2A.r2.i,firstOrder2A.c.n.v,feedbackA.i1,firstOrder1B.y,firstOrder1A.c.v,firstOrder1A.r2.i,firstOrder1A.c.n.v,addA.i1,addA.i1_2,addA.i2,PIB.x,PIA.c.v,PIA.c.n.i,PIA.i2,addB.y,addA.opAmp.v_out
0.4996479901,0.005,9.999999973,9.999999573,0.009999999573,-0.0006666221967,0.004999332995,9.999999991,10.00333319,0.01000333319,-0.0006668444231,0.01000199964,-6.667110809e-07,0.009999999591,19.99999998,-10.00466697,2.74234872e-11,0.0100033332,9.999999991,-10.00066621
0.4999574224,0.005,9.999999973,9.999999573,0.009999999573,-0.0006666221967,0.004999332995,9.999999992,10.00333319,0.01000333319,-0.0006668444231,0.01000199964,-6.667110809e-07,0.009999999591,19.99999998,-10.00466697,2.685246351e-11,0.0100033332,9.999999992,-10.00066621
0.4999932407,0.005,9.999999973,9.999999573,0.009999999573,-0.0006666221967,0.004999332995,9.999999992,10.00333319,0.01000333319,-0.0006668444231,0.01000199964,-6.667110809e-07,0.009999999592,19.99999998,-10.00466697,2.678666701e-11,0.0100033332,9.999999992,-10.00066621
0.5000016203,0.005,10.00024627,10.00024582,0.01000024582,-0.0006666386123,0.004999579213,9.999999976,10.00333318,0.01000333318,-0.0006668444221,0.01000193297,0.0009992666356,0.0109997996,19.99999995,-10.00466695,-2.461657308e-07,0.0100032101,10.99999998,-11.00046624
0.5000056353,0.005,10.00064759,10.00064706,0.01000064706,-0.0006666653599,0.004999980399,9.999999887,10.00333309,0.01000333309,-0.0006668444161,0.01000193288,0.0009992666356,0.01099979948,19.99999977,-10.00466686,-6.473123245e-07,0.01000300945,10.99999989,-11.00046615
0.5000457853,0.005,10.00465194,10.00465061,0.01000465061,-0.0006669322451,0.005003983411,9.999994564,10.00332777,0.01000332777,-0.0006668440615,0.01000192756,0.0009992666359,0.0109997939,19.99998913,-10.00466154,-4.64992331e-06,0.01000100296,10.99999456,-11.00046083
0.5004472852,0.005,10.0438162,10.04380698,0.01004380698,-0.0006695424958,0.005043134561,9.999505402,10.00283885,0.01000283885,-0.0006668114692,0.01000143871,0.0009992666685,0.0109993025,19.9990108,-10.00417259,-4.379712617e-05,0.009980941779,10.9995054,-10.99997204
0.5020958748,0.005,10.18845795,10.18841899,0.01018841899,-0.000679182654,0.005187727295,9.989757449,9.993095874,0.009993095874,-0.0006661619808,0.00999169703,0.0009992673179,0.01098955248,19.9795149,-9.994428924,-0.0001883747532,0.009898915413,10.98975745,-10.99023167
0.5046218008,0.005,10.36361119,10.36353667,0.01036353667,-0.0006908563876,0.005362821627,9.95433555,9.95769246,0.00995769246,-0.0006638019105,0.009956298335,0.0009992696775,0.01095414683,19.9086711,-9.959022759,-0.0003634492172,0.009775982572,10.95433555,-10.95483769
0.5075963467,0.005,10.50720916,10.50711055,0.01050711055,-0.0007004273416,0.005506376368,9.888807378,9.892198989,0.009892198989,-0.0006594359702,0.009890813596,0.0009992740426,0.01088866125,19.77761476,-9.893523693,-0.0005069852379,0.009638729012,10.88880738,-10.88936168
