time,addA.opAmp.v_out_ref,addA.opAmp.v_out_sim,addA.opAmp.v_out_relerr,addB.y_ref,addB.y_sim,addB.y_relerr
0.1755,-10.18587807,-10.18587868,5.56524e-08,10.18487572,10.18487633,5.57323e-08
0.176,-10.17795678,-10.17795759,7.3047e-08,10.17694478,10.17694559,7.31768e-08
0.1765,-10.17020584,-10.17020652,6.16288e-08,10.1691849,10.16918558,6.1755e-08
0.177,-10.16262638,-10.16262705,6.08084e-08,10.16159722,10.16159789,6.09396e-08
0.1775,-10.1552193,-10.15522016,7.83434e-08,10.1541826,10.15418346,7.85118e-08
0.178,-10.14798518,-10.1479863,1.01653e-07,10.1469416,10.14694272,1.01871e-07
0.1785,-10.14092442,-10.14092575,1.209e-07,10.13987461,10.13987594,1.21157e-07
0.179,-10.13403717,-10.1340386,1.30441e-07,10.13298175,10.13298319,1.30726e-07
0.1795,-10.12732336,-10.12732477,1.2893e-07,10.12626295,10.12626437,1.29217e-07
0.18,-10.12078268,-10.12078401,1.20927e-07,10.11971788,10.11971921,1.21203e-07
0.1805,-10.11441468,-10.11441587,1.08077e-07,10.11334606,10.11334726,1.08337e-07
