time,feedback.opAmp.v_in,feedback.r3.i,feedback.r4.i
0.198,0.0004902704336,0.002971699535,0.0025
0.199,0.0004745167149,0.002684448014,0.0025
0.2,0.0004572535966,0.002399148918,0.0025
0.201,0.0004384229128,0.002116650636,0.0025
0.202,0.0004179796407,0.001837775383,0.0025
0.203,0.0003958919005,0.001563319195,0.0025
0.204,0.0003721409555,0.001294051929,0.0025
0.205,0.0003467212124,0.001030717267,0.0025
0.206,0.0003196402207,0.0007740327104,0.0025
0.207,0.0002909186733,0.0005246895855,0.0025
0.208,0.0002605904059,0.0002833530396,0.0025
0.209,0.0002287023977,5.066204291e-05,0.0025
0.21,0.0001953147708,-0.0001727706124,0.0025
0.211,0.0001605007904,-0.0003863583115,0.0025
0.212,0.000124346865,-0.0005895406174,0.0025
0.213,8.695254598e-05,-0.0007817832705,0.0025
0.214,4.843052807e-05,-0.0009625781892,0.0025
0.215,8.906648998e-06,-0.001131443469,0.0025
0.216,-3.148011034e-05,-0.001287923384,0.0025
0.217,-7.257762593e-05,-0.001431588385,0.0025
0.218,-0.0001142206306,-0.0015620351,0.0025
0.219,-0.0001562307142,-0.001678886337,0.0025
0.22,-0.0001984163232,-0.001781791079,0.0025
0.221,-0.0002405727612,-0.001870424487,0.0025
0.222,-0.0002824821886,-0.001944487902,0.0025
0.223,-0.0003239136225,-0.002003708839,0.0025
0.224,-0.0003646229371,-0.002047840995,0.0025
0.225,-0.0004043528634,-0.00207666424,0.0025
0.226,-0.0004428329892,-0.002089984625,0.0025
0.227,-0.0004797797594,-0.002087634378,0.0025
0.228,-0.0005148964755,-0.002069471903,0.0025
0.229,-0.000547873296,-0.002035381783,0.0025
0.23,-0.0005783872363,-0.001985274779,0.0025
0.231,-0.0006061021686,-0.001919087828,0.0025
0.232,-0.0006306688221,-0.001836784048,0.0025
0.233,-0.0006517247827,-0.00173835273,0.0025
0.234,-0.0006688944934,-0.001623809346,0.0025
0.235,-0.0006817892539,-0.001493195544,0.0025
0.236,-0.0006900072208,-0.001346579152,0.0025
0.237,-0.0006931334076,-0.001184054172,0.0025
0.238,-0.0006907396847,-0.001005740786,0.0025
0.239,-0.0006823847793,-0.0008117853538,0.0025
0.24,-0.0006676142757,-0.000602360412,0.0025
0.241,-0.0006459606147,-0.0003776646749,0.0025
0.242,-0.0006169430942,-0.0001379230347,0.0025
0.243,-0.0005800678691,0.0001166134387,0.0025
0.244,-0.000534827951,0.0003856674981,0.0025
0.245,-0.0004807032082,0.0006689357184,0.0025
0.246,-0.0004171603664,0.0009660884969,0.0025
0.247,-0.0003436530076,0.001276770053,0.0025
0.248,-0.0002596215711,0.001600598429,0.0025
0.249,-0.0001644933528,0.00193716549,0.0025
0.25,-5.76825056e-05,0.002286036922,0.0025
0.251,6.140996068e-05,0.002646752233,0.0025
0.252,0.0001933961794,0.003018824757,0.0025
0.253,0.0003389014271,0.003401741646,0.0025
0.254,0.0004163103161,0.003754408428,0.0025
0.255,0.0004365980779,0.004070784774,0.0025
0.256,0.0004564139829,0.004375392067,0.0025
0.257,0.0004756845125,0.004667677927,0.0025
0.258,0.0004943397855,0.004947119929,0.0025
0.259,0.0005123135583,0.005213225606,0.0025
0.26,0.0005295432247,0.005465532444,0.0025
0.261,0.0005459698159,0.005703607888,0.0025
0.262,0.0005615380007,0.005927049334,0.0025
0.263,0.0005761960855,0.006135484139,0.0025
0.264,0.0005898960141,0.006328569612,0.0025
0.265,0.0006025933675,0.00650599302,0.0025
0.266,0.0006142473648,0.006667471583,0.0025
0.267,0.000624820862,0.006812752478,0.0025
0.268,0.0006342803529,0.00694161284,0.0025
0.269,0.0006425959687,0.007053859756,0.0025
0.27,0.0006497414783,0.007149330271,0.0025
0.271,0.0006556942877,0.007227891384,0.0025
0.272,0.0006604354406,0.007289440052,0.0025
0.273,0.0006639496184,0.007333903186,0.0025
0.274,0.0006662251396,0.007361237652,0.0025
0.275,0.0006672539604,0.007371430275,0.0025
0.276,0.0006670316745,0.007364497831,0.0025
0.277,0.000665557513,0.007340487056,0.0025
0.278,0.0006628343447,0.007299474639,0.0025
0.279,0.0006588686755,0.007241567225,0.0025
0.28,0.0006536706492,0.007166901416,0.0025
0.281,0.0006472540469,0.00707564377,0.0025
0.282,0.0006396362872,0.006967990797,0.0025
0.283,0.0006308384261,0.006844168967,0.0025
0.284,0.0006208851573,0.006704434704,0.0025
0.285,0.0006098048118,0.006549074387,0.0025
0.286,0.0005976293583,0.006378404352,0.0025
0.287,0.0005843944027,0.00619277089,0.0025
0.288,0.0005701391887,0.005992550247,0.0025
0.289,0.0005549065973,0.005778148627,0.0025
0.29,0.000538743147,0.005550002186,0.0025
0.291,0.0005216989938,0.00530857704,0.0025
0.292,0.0005038279313,0.005054369257,0.0025
0.293,0.0004851873904,0.004787904862,0.0025
0.294,0.0004658384397,0.004509739838,0.0025
0.295,0.0004458457852,0.004220460119,0.0025
0.296,0.0004252777703,0.003920681599,0.0025
0.297,0.000404206376,0.003611050126,0.0025
0.298,0.0003827072207,0.003292241502,0.0025
0.299,0.0003608595605,0.002964961489,0.0025
0.3,0.0003387462887,0.002629945799,0.0025
0.301,0.0003164539364,0.002287960105,0.0025
0.302,0.0002940726718,0.001939800033,0.0025
0.303,0.000271696301,0.001586291165,0.0025
0.304,0.0002503151667,0.001254977816,0.0025
0.305,0.000230104177,0.0009517927593,0.0025
0.306,0.0002103723321,0.000655795354,0.0025
0.307,0.0001911840704,0.0003679522405,0.0025
0.308,0.0001726017063,8.91981959e-05,0.0025
0.309,0.0001546854299,-0.000179563866,0.0025
0.31,0.0001374933074,-0.0004374628951,0.0025
0.311,0.0001210812809,-0.0006836597047,0.0025
0.312,0.0001055031683,-0.0009173469716,0.0025
0.313,9.081066355e-05,-0.001137749236,0.0025
0.314,7.705333631e-05,-0.001344122902,0.0025
