time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.2865,-8.749388763,-15,0.625144
0.287,-8.643690645,-15,0.635716
0.2875,-8.534395986,-15,0.646647
0.288,-8.421612648,-15,0.657926
0.2885,-8.305451933,-15,0.669544
0.289,-8.186028478,-15,0.681488
0.2895,-8.06346014,-15,0.693746
0.29,-7.937867879,-15,0.706307
0.2905,-7.809375639,-15,0.719158
0.291,-7.678110227,-15,0.732287
0.2915,-7.544201185,-15,0.745679
0.292,-7.407780666,-15,0.759323
0.2925,-7.268983301,-15,0.773205
0.293,-7.127946065,-15,0.78731
0.2935,-6.984808145,-15,0.801626
0.294,-6.839710802,-15,0.816138
0.2945,-6.692797228,-15,0.830831
0.295,-6.54421241,-15,0.845692
0.2955,-6.394102983,-15,0.860704
0.296,-6.242617087,-15,0.875855
0.2965,-6.08990422,-15,0.891128
0.297,-5.936115091,-15,0.906509
0.2975,-5.781401472,-15,0.921983
0.298,-5.625916046,-15,0.937533
0.2985,-5.469812258,-15,0.953146
0.299,-5.313244165,-15,0.968805
0.2995,-5.15636628,-15,0.984495
0.3,-4.999333422,-15,1.0002
0.3005,-4.842300565,-15,1.01591
0.301,-4.685422679,-15,1.0316
0.3015,-4.528854586,-15,1.04725
0.302,-4.372750799,-15,1.06287
0.3025,-4.217265373,-15,1.07842
0.303,-4.062551754,-15,1.09389
0.3035,-3.908762625,-15,1.10927
0.304,-3.756049758,-15,1.12454
0.3045,-3.604563861,-15,1.1397
0.305,-3.454454434,-15,1.15471
0.3055,-3.305869616,-15,1.16957
0.306,-3.158956042,-15,1.18426
0.3065,-3.013858699,-15,1.19877
0.307,-2.870720779,-15,1.21309
0.3075,-2.729683543,-15,1.2272
0.308,-2.590886178,-15,1.24108
0.3085,-2.454465659,-15,1.25472
0.309,-2.320556618,-15,1.26811
0.3095,-2.189291205,-15,1.28124
0.31,-2.060798965,-15,1.29409
0.3105,-1.935206704,-15,1.30665
0.311,-1.812638366,-15,1.31891
0.3115,-1.693214911,-15,1.33086
0.312,-1.577054196,-15,1.34247
0.3125,-1.464270858,-15,1.35375
0.313,-1.354976199,-15,1.36468
0.3135,-1.249278081,-15,1.37526
0.314,-1.147280815,-15,1.38546
0.3145,-1.04908506,-15,1.39528
0.315,-0.9547877231,-15,1.40471
0.3155,-0.8644818644,-15,1.41374
0.316,-0.7782566049,-15,1.42236
0.3165,-0.6961970387,-15,1.43057
0.317,-0.6183841486,-15,1.43835
0.3175,-0.5448947264,-15,1.4457
0.318,-0.4758012975,-15,1.45261
0.3185,-0.4111720486,-15,1.45908
0.319,-0.3510707611,-15,1.46509
0.3195,-0.2955567477,-15,1.47064
0.32,-0.2446847939,-15,1.47573
0.3205,-0.1985051043,-15,1.48035
0.321,-0.1570632526,-15,1.48449
0.3215,-0.120400137,-15,1.48816
0.322,-0.08855193943,-15,1.49134
0.3225,-0.06155009034,-15,1.49404
0.323,-0.03942123726,-15,1.49626
0.3235,-0.02218721869,-15,1.49798
0.324,-0.009865042523,-15,1.49921
0.3245,-0.002466869256,-15,1.49995
0.325,0,-15,1.5002
0.3255,-0.002466869256,-15,1.49995
0.326,-0.009865042523,-15,1.49921
0.3265,-0.02218721869,-15,1.49798
0.327,-0.03942123726,-15,1.49626
0.3275,-0.06155009034,-15,1.49404
0.328,-0.08855193943,-15,1.49134
0.3285,-0.120400137,-15,1.48816
0.329,-0.1570632526,-15,1.48449
0.3295,-0.1985051043,-15,1.48035
0.33,-0.2446847939,-15,1.47573
0.3305,-0.2955567477,-15,1.47064
0.331,-0.3510707611,-15,1.46509
