time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0.0148,9.730237142,9.730237142,9.299114255,9.299114255,9.299114255
0.0149,9.798897577,9.798897577,9.361946108,9.361946108,9.361946108
0.015,9.867596801,9.867596801,9.424777961,9.424777961,9.424777961
0.0151,9.936334803,9.936334803,9.487609814,9.487609814,9.487609814
0.0152,10.00511158,10.00511158,9.550441667,9.550441667,9.550441667
0.0153,10.07392711,10.07392711,9.61327352,9.61327352,9.61327352
0.0154,10.14278139,10.14278139,9.676105373,9.676105373,9.676105373
0.0155,10.21167441,10.21167441,9.738937226,9.738937226,9.738937226
0.0156,10.28060617,10.28060617,9.801769079,9.801769079,9.801769079
0.0157,10.34957665,10.34957665,9.864600932,9.864600932,9.864600932
0.0158,10.41858583,10.41858583,9.927432785,9.927432785,9.927432785
0.0159,10.48763373,10.48763373,9.990264638,9.990264638,9.990264638
0.016,10.55672031,10.55672031,10.05309649,10.05309649,10.05309649
0.0161,10.62584558,10.62584558,10.11592834,10.11592834,10.11592834
0.0162,10.69500952,10.69500952,10.1787602,10.1787602,10.1787602
0.0163,10.76421212,10.76421212,10.24159205,10.24159205,10.24159205
0.0164,10.83345337,10.83345337,10.3044239,10.3044239,10.3044239
0.0165,10.90273327,10.90273327,10.36725576,10.36725576,10.36725576
0.0166,10.9720518,10.9720518,10.43008761,10.43008761,10.43008761
0.0167,11.04140895,11.04140895,10.49291946,10.49291946,10.49291946
0.0168,11.11080471,11.11080471,10.55575132,10.55575132,10.55575132
0.0169,11.18023908,11.18023908,10.61858317,10.61858317,10.61858317
0.017,11.24971203,11.24971203,10.68141502,10.68141502,10.68141502
0.0171,11.31922357,11.31922357,10.74424688,10.74424688,10.74424688
0.0172,11.38877368,11.38877368,10.80707873,10.80707873,10.80707873
0.0173,11.45836234,11.45836234,10.86991058,10.86991058,10.86991058
0.0174,11.52798955,11.52798955,10.93274243,10.93274243,10.93274243
0.0175,11.59765531,11.59765531,10.99557429,10.99557429,10.99557429
0.0176,11.66735959,11.66735959,11.05840614,11.05840614,11.05840614
0.0177,11.73710238,11.73710238,11.12123799,11.12123799,11.12123799
0.0178,11.80688368,11.80688368,11.18406985,11.18406985,11.18406985
0.0179,11.87670348,11.87670348,11.2469017,11.2469017,11.2469017
0.018,11.94656176,11.94656176,11.30973355,11.30973355,11.30973355
0.0181,12.01645851,12.01645851,11.37256541,11.37256541,11.37256541
0.0182,12.08639372,12.08639372,11.43539726,11.43539726,11.43539726
0.0183,12.15636738,12.15636738,11.49822911,11.49822911,11.49822911
0.0184,12.22637948,12.22637948,11.56106097,11.56106097,11.56106097
0.0185,12.29643001,12.29643001,11.62389282,11.62389282,11.62389282
0.0186,12.36651895,12.36651895,11.68672467,11.68672467,11.68672467
0.0187,12.4366463,12.4366463,11.74955652,11.74955652,11.74955652
0.0188,12.50681204,12.50681204,11.81238838,11.81238838,11.81238838
0.0189,12.57701617,12.57701617,11.87522023,11.87522023,11.87522023
0.019,12.64725866,12.64725866,11.93805208,11.93805208,11.93805208
0.0191,12.71753951,12.71753951,12.00088394,12.00088394,12.00088394
0.0192,12.78785871,12.78785871,12.06371579,12.06371579,12.06371579
0.0193,12.85821624,12.85821624,12.12654764,12.12654764,12.12654764
0.0194,12.92861209,12.92861209,12.1893795,12.1893795,12.1893795
0.0195,12.99904626,12.99904626,12.25221135,12.25221135,12.25221135
0.0196,13.06951872,13.06951872,12.3150432,12.3150432,12.3150432
0.0197,13.14002947,13.14002947,12.37787506,12.37787506,12.37787506
0.0198,13.2105785,13.2105785,12.44070691,12.44070691,12.44070691
0.0199,13.28116579,13.28116579,12.50353876,12.50353876,12.50353876
0.02,13.35179132,13.35179132,12.56637061,12.56637061,12.56637061
0.0201,13.4224551,13.4224551,12.62920247,12.62920247,12.62920247
0.0202,13.4931571,13.4931571,12.69203432,12.69203432,12.69203432
0.0203,13.56389732,13.56389732,12.75486617,12.75486617,12.75486617
0.0204,13.63467573,13.63467573,12.81769803,12.81769803,12.81769803
0.0205,13.70549234,13.70549234,12.88052988,12.88052988,12.88052988
0.0206,13.77634711,13.77634711,12.94336173,12.94336173,12.94336173
0.0207,13.84724006,13.84724006,13.00619359,13.00619359,13.00619359
0.0208,13.91817115,13.91817115,13.06902544,13.06902544,13.06902544
0.0209,13.98914038,13.98914038,13.13185729,13.13185729,13.13185729
0.021,14.06014773,14.06014773,13.19468915,13.19468915,13.19468915
0.0211,14.1311932,14.1311932,13.257521,13.257521,13.257521
