time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0113,6.281344731,0.4078052282,0.08022999319,0.2444194329,0.07784887599,0.08022999319
0.0114,6.639153251,0.4470678295,0.08165627625,0.2459012598,0.07914261883,0.08165627625
0.0115,6.97158436,0.4883740924,0.08309512569,0.2474655604,0.08044185265,0.08309512569
0.0116,7.27738034,0.5315495334,0.08454654149,0.2491165717,0.08174710621,0.08454654149
0.0117,7.555416266,0.576419844,0.08601052367,0.2508581094,0.08305890994,0.08601052367
0.0118,7.804705298,0.6228117082,0.08748707222,0.2526935519,0.0843777919,0.08748707222
0.0119,8.024339875,0.6705300844,0.08897618713,0.2546260546,0.08570435166,0.08897618713
0.012,8.213539664,0.7193786899,0.09047786842,0.2566583703,0.08703919443,0.09047786842
0.0121,8.371651555,0.7691600012,0.09199211608,0.2587928494,0.08838293113,0.09199211608
0.0122,8.498149665,0.8196752536,0.09351893011,0.2610314402,0.08973617832,0.09351893011
0.0123,8.592635337,0.8707244415,0.09505831051,0.2633756885,0.09109955824,0.09505831051
0.0124,8.654837139,0.9221063181,0.09661025728,0.2658267379,0.09247369879,0.09661025728
0.0125,8.684610866,0.9736183958,0.09817477042,0.2683853296,0.09385923356,0.09817477042
0.0126,8.681939537,1.025056946,0.09975184994,0.2710518023,0.0952568018,0.09975184994
0.0127,8.646933398,1.076216999,0.1013414958,0.2738260927,0.09666704843,0.1013414958
0.0128,8.579854113,1.126888901,0.1029437081,0.2767076607,0.0980906364,0.1029437081
0.0129,8.481001627,1.176884753,0.1045584867,0.2796958164,0.09952815878,0.1045584867
0.013,8.350860907,1.226010075,0.1061858317,0.2827892891,0.1009802322,0.1061858317
0.0131,8.190073676,1.27406812,0.1078257431,0.2859863096,0.1024474839,0.1078257431
0.0132,7.999383802,1.320869736,0.1094782208,0.2892847716,0.103930518,0.1094782208
0.0133,7.779637301,1.36623336,0.1111432649,0.2926822322,0.1054299158,0.1111432649
0.0134,7.531782334,1.409985022,0.1128208754,0.2961759117,0.1069462357,0.1128208754
0.0135,7.256869209,1.451958344,0.1145110522,0.2997626938,0.1084800131,0.1145110522
0.0136,6.956050381,1.49199454,0.1162137954,0.3034391254,0.1100317607,0.1162137954
0.0137,6.630580449,1.529942415,0.117929105,0.3072014167,0.111601968,0.117929105
0.0138,6.281816161,1.565658364,0.119656981,0.311045441,0.1131911018,0.119656981
0.0139,5.911216409,1.599006377,0.1213974233,0.3149667351,0.1147996059,0.1213974233
0.014,5.520392528,1.629857169,0.123150432,0.3189603361,0.1164279062,0.123150432
0.0141,5.110805175,1.658100024,0.1249160071,0.32302174,0.1180763654,0.1249160071
0.0142,4.68411252,1.683631664,0.1266941485,0.3271457987,0.1197453251,0.1266941485
0.0143,4.242113422,1.706357623,0.1284848563,0.3313268963,0.1214351024,0.1284848563
0.0144,3.786628557,1.726195623,0.1302881305,0.3355593282,0.1231459754,0.1302881305
0.0145,3.319500415,1.743075577,0.1321039711,0.3398373005,0.1248781835,0.1321039711
0.0146,2.8425933,1.756939582,0.133932378,0.3441549306,0.1266319269,0.133932378
0.0147,2.357793332,1.767741929,0.1357733513,0.3485062469,0.1284073671,0.1357733513
0.0148,1.867008447,1.775449094,0.137626891,0.3528851888,0.1302046266,0.137626891
0.0149,1.372168394,1.780039743,0.139492997,0.357285607,0.1320237888,0.139492997
0.015,0.875224737,1.781504731,0.1413716694,0.3617012631,0.1338648985,0.1413716694
0.0151,0.3781508569,1.7798471,0.1432629082,0.3661258296,0.1357279615,0.1432629082
0.0152,-0.1170499422,1.775082535,0.1451667133,0.3705528631,0.1376129434,0.1451667133
0.0153,-0.6083837167,1.767239853,0.1470830849,0.374975923,0.1395197712,0.1470830849
0.0154,-1.094103006,1.756349794,0.1490120227,0.379389367,0.1414483548,0.1490120227
0.0155,-1.572241168,1.742468236,0.150953527,0.3837867964,0.1433985322,0.150953527
0.0156,-2.040900366,1.725660828,0.1529075976,0.3881620149,0.1453701084,0.1529075976
0.0157,-2.498251566,1.706002988,0.1548742346,0.3925090292,0.1473628556,0.1548742346
0.0158,-2.942534538,1.683579905,0.156853438,0.3968220484,0.1493765134,0.156853438
0.0159,-3.372057857,1.658486538,0.1588452078,0.4010954845,0.1514107885,0.1588452078
0.016,-3.785198902,1.630827614,0.1608495439,0.405323952,0.153465355,0.1608495439
0.0161,-4.180403854,1.600717632,0.1628664463,0.4095022682,0.1555398541,0.1628664463
0.0162,-4.556187701,1.56828086,0.1648959152,0.413625453,0.1576338943,0.1648959152
0.0163,-4.911134231,1.533651336,0.1669379504,0.4176887291,0.1597470514,0.1669379504
0.0164,-5.24389604,1.496972868,0.168992552,0.4216875216,0.1618788682,0.168992552
0.0165,-5.553185812,1.45840379,0.17105972,0.4256174157,0.1640288431,0.17105972
0.0166,-5.837913586,1.418085139,0.1731394543,0.4294746684,0.1661965226,0.1731394543
0.0167,-6.097041725,1.376180628,0.175231755,0.4332556549,0.1683813801,0.175231755
0.0168,-6.329618736,1.332865182,0.1773366221,0.4369569978,0.1705828537,0.1773366221
0.0169,-6.534809754,1.288315591,0.1794540556,0.4405756863,0.1728003732,0.1794540556
0.017,-6.711896536,1.242710503,0.1815840554,0.4441090771,0.1750333595,0.1815840554
0.0171,-6.860277466,1.196230425,0.1837266216,0.4475548941,0.1772812256,0.1837266216
0.0172,-6.97946755,1.149057728,0.1858817541,0.4509112282,0.1795433756,0.1858817541
0.0173,-7.06909842,1.10137664,0.1880494531,0.4541765376,0.1818192054,0.1880494531
0.0174,-7.128918332,1.053373251,0.1902297184,0.4573496476,0.1841081022,0.1902297184
0.0175,-7.158792167,1.005235513,0.19242255,0.4604297507,0.1864094451,0.19242255
0.0176,-7.15870143,0.9571532347,0.1946279481,0.4634164067,0.1887226044,0.1946279481
0.0177,-7.128757011,0.9093201907,0.1968459125,0.4663095757,0.1910469363,0.1968459125
0.0178,-7.069180387,0.8619249365,0.1990764433,0.4691095717,0.1933818152,0.1990764433
0.0179,-6.980208609,0.8151336066,0.2013195404,0.4718168292,0.1957266767,0.2013195404
0.018,-6.862340068,0.7691350214,0.203575204,0.4744325365,0.1980808872,0.203575204
0.0181,-6.716166929,0.7241109178,0.2058434338,0.4769581913,0.2004438332,0.2058434338
0.0182,-6.542375132,0.6802359485,0.2081242301,0.4793955999,0.2028149217,0.2081242301
0.0183,-6.341744392,0.6376776823,0.2104175928,0.4817468784,0.2051935797,0.2104175928
0.0184,-6.115148197,0.596596604,0.2127235218,0.4840144516,0.2075792544,0.2127235218
0.0185,-5.863553811,0.5571461145,0.2150420171,0.4862010535,0.2099714134,0.2150420171
0.0186,-5.588022272,0.5194725306,0.2173730789,0.4883097275,0.2123695445,0.2173730789
0.0187,-5.289708394,0.4837150855,0.219716707,0.4903438259,0.2147731556,0.219716707
0.0188,-4.969860765,0.4500059279,0.2220729015,0.4923070103,0.2171817748,0.2220729015
0.0189,-4.629821747,0.4184701231,0.2244416624,0.4942032514,0.2195949508,0.2244416624
0.019,-4.271027476,0.3892256521,0.2268229896,0.4960368289,0.222012252,0.2268229896
0.0191,-3.895067037,0.3623832117,0.2292168832,0.4978124996,0.2244332756,0.2292168832
0.0192,-3.503241394,0.3380330031,0.2316233432,0.4995341895,0.2268576752,0.2316233432
0.0193,-3.097208459,0.316261763,0.2340423695,0.5012069228,0.2292851158,0.2340423695
0.0194,-2.678686189,0.2971459613,0.2364739622,0.502835923,0.2317152952,0.2364739622
0.0195,-2.249404232,0.2807507284,0.2389181213,0.5044264689,0.2341479462,0.2389181213
0.0196,-1.811103928,0.2671298542,0.2413748468,0.5059838952,0.2365828364,0.2413748468
0.0197,-1.365538309,0.2563257891,0.2438441386,0.507513592,0.2390197685,0.2438441386
0.0198,-0.9144720994,0.2483696432,0.2463259968,0.5090210046,0.2414585799,0.2463259968
0.0199,-0.4596817147,0.2432811869,0.2488204213,0.5105116344,0.2438991432,0.2488204213
0.02,-0.002955263163,0.2410688506,0.2513274123,0.5119910379,0.2463413658,0.2513274123
0.0201,0.4539074551,0.2417297244,0.2538469696,0.5134648274,0.24878519,0.2538469696
0.0202,0.9090949479,0.2452495589,0.2563790933,0.5149386705,0.251230593,0.2563790933
0.0203,1.360784031,0.2516027645,0.2589237833,0.5164182905,0.2536775872,0.2589237833
0.0204,1.807093269,0.2607485738,0.2614810397,0.517909603,0.2561262371,0.2614810397
0.0205,2.246402298,0.2726487651,0.2640508625,0.5194177253,0.2585765987,0.2640508625
