time,springPlateB.s,springPlateA.s,spool.s,springPlateB.v,springPlateA.v,spool.v,outerContactB.s_rel,innerContactB.s_rel,innerContactA.s_rel,outerContactB.v_rel,friction.v_rel,outerContactA.v_rel
0.03000852966,-0.06749972967,-0.09305716203,0.01472168934,2.312295944e-06,4.551694786e-06,4.583951313e-06,0.001499729667,0.0009714190047,0.0009711486283,-2.312295944e-06,4.583951313e-06,4.551694786e-06
0.03741876752,-0.06749968773,-0.09305707971,0.01472177242,7.743852351e-06,1.519365459e-05,1.533968896e-05,0.001499687729,0.000971460151,0.0009711478697,-7.743852351e-06,1.533968896e-05,1.519365459e-05
0.04689881247,-0.06749960565,-0.0930569187,0.014721935,9.159251804e-06,1.796682341e-05,1.814250713e-05,0.001499605653,0.0009715406527,0.0009711463038,-9.159251804e-06,1.814250713e-05,1.796682341e-05
0.05961635123,-0.06749948704,-0.09305668604,0.01472216994,9.402422881e-06,1.844326422e-05,1.862404178e-05,0.001499487043,0.0009716569825,0.000971144025,-9.402422881e-06,1.862404178e-05,1.844326422e-05
0.07795219828,-0.06749931434,-0.09305634728,0.01472251202,9.424073708e-06,1.848568431e-05,1.866691545e-05,0.001499314344,0.0009718263599,0.000971140704,-9.424073708e-06,1.866691545e-05,1.848568431e-05
0.1078559053,-0.06749903252,-0.09305579446,0.01472307025,9.424584975e-06,1.848668582e-05,1.866792783e-05,0.001499032516,0.0009721027685,0.0009711352843,-9.424584975e-06,1.866792783e-05,1.848668582e-05
0.1692672418,-0.06749845375,-0.09305465919,0.01472421666,9.424276514e-06,1.84860808e-05,1.866731691e-05,0.001498453748,0.0009726704058,0.0009711241541,-9.424276514e-06,1.866731691e-05,1.84860808e-05
0.3745754041,-0.06749651905,-0.0930508642,0.01472804885,9.422239369e-06,1.848208479e-05,1.866328177e-05,0.00149651905,0.0009745678987,0.0009710869484,-9.422239369e-06,1.866328177e-05,1.848208479e-05
1.32491316,-0.06748757626,-0.09303332258,0.01474576244,9.392395535e-06,1.842354464e-05,1.860416785e-05,0.001487576264,0.0009833387079,0.0009709149716,-9.392395535e-06,1.860416785e-05,1.842354464e-05
2.602034755,-0.06747563388,-0.09300989714,0.01476941755,9.299603474e-06,1.8241529e-05,1.842036798e-05,0.001475633879,0.0009950514305,0.0009706853099,-9.299603474e-06,1.842036798e-05,1.8241529e-05
2.955533168,-0.06747235277,-0.09300346111,0.01477591668,9.263304759e-06,1.817032755e-05,1.834846853e-05,0.001472352766,0.0009982694457,0.0009706222114,-9.263304759e-06,1.834846853e-05,1.817032755e-05
3.105327868,-0.06747096642,-0.09300074173,0.01477866272,9.246545408e-06,1.813745339e-05,1.83152721e-05,0.001470966417,0.000999629134,0.0009705955508,-9.246545408e-06,1.83152721e-05,1.813745339e-05
3.138347991,-0.06747066116,-0.09300014295,0.01477926737,9.242740679e-06,1.81299903e-05,1.830773586e-05,0.001470661157,0.000999928523,0.0009705896804,-9.242740679e-06,1.830773586e-05,1.81299903e-05
3.144875505,-0.06747060083,-0.09300002462,0.01477938686,9.241983906e-06,1.812850574e-05,1.830623676e-05,0.001470600828,0.0009999876924,0.0009705885202,-9.241983906e-06,1.830623676e-05,1.812850574e-05
3.146143061,-0.06747058985,-0.09300000157,0.01477941015,6.337486509e-06,1.856893271e-05,1.881012899e-05,0.001470589845,0.001,0.000970588279,-6.337486509e-06,1.881012899e-05,1.856893271e-05
3.146143061,-0.06747058985,-0.09300000157,0.01477941015,6.337486509e-06,1.856893271e-05,1.881012899e-05,0.001470589845,0.001,0.000970588279,-6.337486509e-06,1.881012899e-05,1.856893271e-05
3.146227216,-0.06747058936,-0.093,0.01477941174,5.042330082e-06,1.874836856e-05,1.901956971e-05,0.001470589358,0.001000001101,0.000970588257,-5.042330082e-06,1.901956971e-05,1.874836856e-05
3.146227216,-0.06747058936,-0.093,0.01477941174,5.042330082e-06,1.874836856e-05,1.901956971e-05,0.001470589358,0.001000001101,0.000970588257,-5.042330082e-06,1.901956971e-05,1.874836856e-05
3.147603223,-0.06747058777,-0.09299997107,0.01477944119,4.564190103e-07,2.337156412e-05,2.381678067e-05,0.001470587765,0.001000028954,0.0009705877416,-4.564190103e-07,2.381678067e-05,2.337156412e-05
3.149002923,-0.06747058709,-0.09299993498,0.01477947797,5.253031058e-07,2.818264466e-05,2.871773776e-05,0.001470587092,0.001000065057,0.0009705870575,-5.253031058e-07,2.871773776e-05,2.818264466e-05
3.151166265,-0.06747058578,-0.09299986608,0.01477954818,6.813149876e-07,3.549652564e-05,3.617625586e-05,0.001470585777,0.001000133958,0.0009705857424,-6.813149876e-07,3.617625586e-05,3.549652564e-05
3.154689194,-0.06747058298,-0.0929997204,0.01477969666,9.086873235e-07,4.715202045e-05,4.806058394e-05,0.001470582976,0.001000279632,0.000970582943,-9.086873235e-07,4.806058394e-05,4.715202045e-05
3.161464035,-0.06747057537,-0.09299932734,0.01478009732,1.332067339e-06,6.869532278e-05,7.0027138e-05,0.001470575373,0.001000672689,0.0009705753414,-1.332067339e-06,7.0027138e-05,6.869532278e-05
3.177851365,-0.06747054571,-0.09299780267,0.01478165165,2.268822453e-06,0.0001163801021,0.0001186487096,0.001470545707,0.001002197359,0.0009705456791,-2.268822453e-06,0.0001186487096,0.0001163801021
3.226628169,-0.06747037855,-0.09298925031,0.01479037117,4.44880234e-06,0.0002273488716,0.0002317975262,0.001470378548,0.001010749713,0.0009703785286,-4.44880234e-06,0.0002317975262,0.0002273488716
3.29646527,-0.06746999228,-0.09296952559,0.01481048215,6.43544828e-06,0.0003284759615,0.0003349113234,0.001469992275,0.001030474426,0.0009699922641,-6.43544828e-06,0.0003349113234,0.0003284759615
3.383452846,-0.06746936683,-0.0929376111,0.01484302207,7.79303645e-06,0.0003975813748,0.000405374367,0.001469366834,0.001062388904,0.000969366828,-7.79303645e-06,0.000405374367,0.0003975813748
3.496093455,-0.06746843625,-0.09289014089,0.01489142286,8.611292376e-06,0.0004392323639,0.0004478436377,0.001468436246,0.001109859109,0.0009684362435,-8.611292376e-06,0.0004478436377,0.0004392323639
3.637215924,-0.06746718905,-0.09282652927,0.01495628168,8.992973215e-06,0.0004586595969,0.0004676525639,0.001467189053,0.001173470728,0.0009671890519,-8.992973215e-06,0.0004676525639,0.0004586595969
3.818074279,-0.06746554781,-0.09274282406,0.01504162813,9.121964318e-06,0.0004652233485,0.0004743453113,0.001465547806,0.00125717594,0.0009655478055,-9.121964318e-06,0.0004743453113,0.0004652233485
4.053420496,-0.06746339842,-0.09263320523,0.01515339635,9.131308792e-06,0.000465695738,0.0004748270465,0.001463398419,0.001366794769,0.0009633984191,-9.131308792e-06,0.0004748270465,0.000465695738
4.37386231,-0.06746047831,-0.0924842804,0.01530524129,9.090731516e-06,0.0004636254244,0.0004727161559,0.001460478314,0.001515719602,0.0009604783144,-9.090731516e-06,0.0004727161559,0.0004636254244
4.841343303,-0.06745624599,-0.09226843278,0.01552532123,9.014565102e-06,0.000459740663,0.0004687552281,0.001456245989,0.001731567221,0.0009562459895,-9.014565102e-06,0.0004687552281,0.000459740663
5.609931694,-0.06744937119,-0.09191781978,0.01588280903,8.871364219e-06,0.000452437077,0.0004613084412,0.00144937119,0.002082180221,0.0009493711897,-8.871364219e-06,0.0004613084412,0.000452437077
6.910557754,-0.06743801466,-0.09133864051,0.01647334483,8.582082683e-06,0.0004376831595,0.0004462652422,0.001438014662,0.002661359492,0.0009380146626,-8.582082683e-06,0.0004462652422,0.0004376831595
8.475983793,-0.06742490129,-0.09066986371,0.01715523501,8.158144931e-06,0.0004160616886,0.0004242198335,0.001424901288,0.003330136294,0.000924901288,-8.158144931e-06,0.0004242198335,0.0004160616886
10.40962632,-0.0674097187,-0.08989555968,0.01794472162,7.526131438e-06,0.0003838282549,0.0003913543863,0.001409718701,0.004104440323,0.0009097187012,-7.526131438e-06,0.0003913543863,0.0003838282549
12.65386024,-0.06739378027,-0.08908271074,0.01877350898,6.654195489e-06,0.0003393587404,0.0003460129358,0.001393780273,0.004917289257,0.0008937802732,-6.654195489e-06,0.0003460129358,0.0003393587404
15.20103695,-0.06737826055,-0.08829121928,0.01958052017,5.505580806e-06,0.0002807786333,0.0002862842141,0.001378260551,0.005708780721,0.0008782605512,-5.505580806e-06,0.0002862842141,0.0002807786333
18.01499157,-0.06736474651,-0.08760202109,0.0202832324,4.074381319e-06,0.0002077868018,0.0002118611832,0.00136474651,0.006397978911,0.0008647465104,-4.074381319e-06,0.0002118611832,0.0002077868018
21.06766244,-0.06735486518,-0.0870980942,0.02079704063,2.379647222e-06,0.0001213548855,0.0001237345328,0.001354865175,0.006901905801,0.0008548651757,-2.379647222e-06,0.0001237345328,0.0001213548855
24.33100173,-0.06735019409,-0.08685989291,0.021039913,4.730940299e-07,2.412045221e-05,2.459354626e-05,0.001350194095,0.007140107091,0.0008501940949,-4.730940299e-07,2.459354626e-05,2.412045221e-05
27.78389013,-0.06735208511,-0.08695636007,0.02094155482,-1.564070632e-06,-7.977484382e-05,-8.133891442e-05,0.001352085108,0.007043639927,0.0008520851086,1.564070632e-06,-8.133891442e-05,-7.977484382e-05
31.41619586,-0.0673615527,-0.08743923308,0.02044921421,-3.626195969e-06,-0.0001849427631,-0.0001885689591,0.001361552701,0.006560766915,0.0008615527014,3.626195969e-06,-0.0001885689591,-0.0001849427631
35.23447687,-0.06737923149,-0.08834087582,0.01952989269,-5.589310503e-06,-0.0002850607298,-0.0002906500403,0.001379231489,0.005659124184,0.0008792314895,5.589310503e-06,-0.0002906500403,-0.0002850607298
39.25393153,-0.06740529063,-0.0896699136,0.01817479577,-7.308064769e-06,-0.0003727159145,-0.0003800239792,0.001405290632,0.004330086401,0.0009052906325,7.308064769e-06,-0.0003800239792,-0.0003727159145
43.5166876,-0.06743944912,-0.09141201296,0.01639853792,-8.622343467e-06,-0.000439742452,-0.0004483647954,0.001439449121,0.002587987037,0.0009394491214,8.622343467e-06,-0.0004483647954,-0.000439742452
46.98887427,-0.06747058597,-0.093,0.01477941403,-9.241749569e-06,-0.0004713306986,-0.0004805724481,0.00147058597,0.001,0.0009705859702,9.241749569e-06,-0.0004805724481,-0.0004713306986
46.98887427,-0.06747058597,-0.093,0.01477941403,-9.241749569e-06,-0.0004713306986,-0.0004805724481,0.00147058597,0.001,0.0009705859702,9.241749569e-06,-0.0004805724481,-0.0004713306986
46.98887427,-0.06747058597,-0.093,0.01477941403,-9.241735521e-06,-0.0004713306984,-0.0004805724492,0.00147058597,0.0009999999999,0.0009705859702,9.241735521e-06,-0.0004805724492,-0.0004713306984
46.98887427,-0.06747058597,-0.093,0.01477941403,-9.241735521e-06,-0.0004713306984,-0.0004805724492,0.00147058597,0.0009999999999,0.0009705859702,9.241735521e-06,-0.0004805724492,-0.0004713306984
46.98891859,-0.06747058741,-0.09300001989,0.01477939282,-7.2213375e-05,-0.0003996150185,-0.0004745023875,0.001470587409,0.0009999802279,0.0009705872879,7.2213375e-05,-0.0004745023875,-0.0003996150185
46.98896791,-0.06747059384,-0.09300003663,0.01477936983,-0.0001868035701,-0.000278193791,-0.0004567706657,0.001470593839,0.000999963667,0.0009705935411,0.0001868035701,-0.0004567706657,-0.000278193791
46.98902109,-0.06747060622,-0.09300004843,0.01477934613,-0.0002658393485,-0.0001760681804,-0.0004347853177,0.001470606217,0.000999952346,0.0009706054361,0.0002658393485,-0.0004347853177,-0.0001760681804
46.98906308,-0.06747061752,-0.09300005529,0.01477932816,-0.0002670962879,-0.0001574620896,-0.0004218392468,0.001470617525,0.0009999456842,0.0009706165476,0.0002670962879,-0.0004218392468,-0.0001574620896
