time,dcse.inertiaRotor.w,dcse.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcse.airGapDC.iaˍt,loadInertia.w,loadInertia.phi,dcse.la.i
0.05303228199,6.903167537,0.1856379255,-0.02345213348,-7.07242399,-31734.79616,6.903167537,0.1856379255,-46.90426695
0.05359616639,6.940162955,0.1895398786,-0.03198402203,-13.09527781,-28628.43234,6.940162955,0.1895398786,-63.96804405
0.0541600508,7.001609233,0.19346944,-0.03951047049,-19.9478256,-24620.8609,7.001609233,0.19346944,-79.02094099
0.0547239352,7.08902987,0.1974409779,-0.04579423815,-26.77463312,-19836.31498,7.08902987,0.1974409779,-91.58847629
0.05528781961,7.200702935,0.2014688046,-0.05063692642,-32.72281402,-14425.41568,7.200702935,0.2014688046,-101.2738528
0.05585170401,7.331874728,0.2055653867,-0.05388577883,-37.0492489,-8560.403786,7.331874728,0.2055653867,-107.7715577
0.05641558842,7.475355346,0.2097397876,-0.05543895358,-39.21431626,-2429.117849,7.475355346,0.2097397876,-110.8779072
0.05690054706,7.601965363,0.2133957372,-0.05538075733,-39.13498789,2907.191977,7.601965363,0.2133957372,-110.7615147
0.05738550571,7.725377782,0.2171125467,-0.05403511537,-37.26310036,8168.995715,7.725377782,0.2171125467,-108.0702307
0.05789810735,7.846207231,0.221104103,-0.05125031564,-33.53272346,13513.02665,7.846207231,0.221104103,-102.5006313
0.05842081838,7.953612213,0.2252342737,-0.04704535209,-28.27252361,18591.04089,7.953612213,0.2252342737,-94.09070417
0.05897445081,8.045385731,0.2296641737,-0.04121699073,-21.72480665,23411.20989,8.045385731,0.2296641737,-82.43398146
0.05956338468,8.115721602,0.2344244767,-0.03366228133,-14.52386273,27752.45545,8.115721602,0.2344244767,-67.32456266
0.06017166211,8.159857872,0.2393758876,-0.02466437445,-7.842723841,31237.00901,8.159857872,0.2393758876,-49.3287489
0.06077993955,8.180085043,0.24434652,-0.01477677543,-2.877849477,33585.9512,8.180085043,0.24434652,-29.55355086
0.06138821698,8.184910899,0.2493242718,-0.004358398497,-0.3396675437,34717.10005,8.184910899,0.2493242718,-8.716796994
0.06192143718,8.184891271,0.253688616,0.004913393036,-0.4051851885,34674.04321,8.184891271,0.253688616,9.826786073
0.06245465738,8.188944245,0.2580536971,0.01404443867,-2.609321351,33663.43533,8.188944245,0.2580536971,28.08887733
0.06301736198,8.205606007,0.2626655714,0.02324616373,-6.978687699,31576.71034,8.205606007,0.2626655714,46.49232746
0.06358006658,8.241788672,0.2672920383,0.03172017767,-12.91012237,28503.43233,8.241788672,0.2672920383,63.44035534
0.06414277117,8.302014115,0.2719454847,0.03920129346,-19.66702621,24536.71131,8.302014115,0.2719454847,78.40258692
0.06470547577,8.387815369,0.2766400187,0.04545470975,-26.40950982,19798.99965,8.387815369,0.2766400187,90.90941949
0.06526818036,8.497543255,0.281389716,0.05028383474,-32.2988263,14438.79264,8.497543255,0.281389716,100.5676695
0.06583088496,8.626570091,0.2862068672,0.05353698702,-36.60235392,8625.952308,8.626570091,0.2862068672,107.073974
0.06639358956,8.76786698,0.2911004484,0.05511260225,-38.78559989,2545.805216,8.76786698,0.2911004484,110.2252045
0.06687472376,8.891977643,0.2953488303,0.0550916616,-38.7594162,-2718.60581,8.891977643,0.2953488303,110.1833232
0.06735585797,9.013158123,0.2996564463,0.05381011536,-36.98561679,-7914.174619,9.013158123,0.2996564463,107.6202307
0.06786570034,9.132391189,0.3042826532,0.0511114893,-33.38367163,-13211.12778,9.132391189,0.3042826532,102.2229786
0.06838486051,9.238587275,0.3090521607,0.0470193196,-28.27359814,-18246.44709,9.238587275,0.3090521607,94.0386392
0.06893452337,9.329755192,0.3141564012,0.04133193449,-21.87819845,-23037.34703,9.329755192,0.3141564012,82.66386899
0.06951886934,9.400148204,0.3196301191,0.03394744031,-14.8021832,-27368.42567,9.400148204,0.3196301191,67.89488061
0.07012689093,9.445166836,0.3253606726,0.02506429021,-8.128972314,-30893.31963,9.445166836,0.3253606726,50.12858042
0.07073491253,9.466175509,0.3311109599,0.01527750627,-3.102593944,-33295.83019,9.466175509,0.3311109599,30.55501253
0.07134293412,9.471411508,0.3368687385,0.004942098232,-0.4419506313,-34491.94716,9.471411508,0.3368687385,9.884196464
0.07187329716,9.471269996,0.3418920006,-0.004228823007,-0.3586589899,-34515.75645,9.471269996,0.3418920006,-8.457646014
0.0724036602,9.474580639,0.3469157742,-0.01327948957,-2.376350298,-33586.79135,9.474580639,0.3469157742,-26.55897914
0.07295883512,9.489453167,0.3521792458,-0.02235274839,-6.493152505,-31619.58756,9.489453167,0.3521792458,-44.70549677
0.07351401003,9.522627065,0.3574557875,-0.03074484225,-12.16762837,-28690.98274,9.522627065,0.3574557875,-61.48968451
0.07406918494,9.578640203,0.362756937,-0.03820019838,-18.71376687,-24887.21876,9.578640203,0.362756937,-76.40039675
0.07462435986,9.65926628,0.3680960024,-0.04449110648,-25.33946673,-20322.41563,9.65926628,0.3680960024,-88.98221296
0.07517953477,9.763297575,0.3734864507,-0.04942507845,-31.24235167,-15135.631,9.763297575,0.3734864507,-98.8501569
0.07573470968,9.886689649,0.3789402758,-0.05285121619,-35.70748403,-9486.658668,9.886689649,0.3789402758,-105.7024324
0.0762898846,10.02305225,0.384466545,-0.0546652494,-38.19475392,-3550.681676,10.02305225,0.384466545,-109.3304988
0.07676738021,10.14466368,0.3892815031,-0.05489320429,-38.516318,1643.826424,10.14466368,0.3892815031,-109.7864086
0.07724487583,10.26453097,0.3941543314,-0.05388376687,-37.12182734,6795.204574,10.26453097,0.3941543314,-107.7675337
