time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.295,3.454224183,3.470416697,0.00161958
0.2955,3.604323605,3.618932662,0.0014612
0.296,3.755799556,3.768621863,0.00128249
0.2965,3.908502093,3.919348144,0.00108482
0.297,4.062280971,4.070975726,0.000869649
0.2975,4.216984278,4.223369203,0.00063862
0.298,4.37245934,4.376393545,0.000393499
0.2985,4.528552723,4.529914101,0.000136165
0.299,4.68511038,4.683796591,0.000131405
0.2995,4.841977809,4.837907114,0.000407151
0.3,4.9990002,4.992112142,0.000688944
0.3005,5.156022591,5.146278525,0.000974601
0.301,5.31289002,5.300273487,0.00126191
0.3015,5.469447816,5.453964627,0.00154863
0.302,5.62554106,5.607219921,0.00183248
0.3025,5.781016122,5.759907721,0.00211126
0.303,5.935719429,5.911896753,0.00238274
0.3035,6.089498307,6.063056119,0.00264475
0.304,6.242200983,6.213255297,0.00289515
