time,r_mAirPar.port_n.Phi,coil.Phi,r_mFe.B,r_mFe.mu_r,r_mFe.H,coil.i,r_mLeak.port_p.Phi
0.0530613754,0.0009560360205,0.001466196469,-1.529657633,645.2349767,-1886.541974,-1.020378667,-0.0005101893333
0.05337378685,0.0009680687645,0.001551839301,-1.548910023,555.1312041,-2220.346151,-1.167580571,-0.0005837902854
0.0537487528,0.000978327491,0.001634742513,-1.565323986,488.3797274,-2550.567066,-1.31285327,-0.000656426635
0.05421619495,0.0009862948879,0.001706231423,-1.578071821,442.208853,-2839.8112,-1.439883129,-0.0007199415644
0.05483286647,0.0009902728775,0.001744467393,-1.584436604,420.852151,-2995.956143,-1.508390093,-0.0007541950466
0.05579905516,0.0009829041426,0.001675011883,-1.572646628,461.2876482,-2712.997903,-1.384211162,-0.0006921055809
0.05698619872,0.0009433529315,0.001386664874,-1.50936469,755.9751162,-1588.827768,-0.888677742,-0.000444338871
0.05767046112,0.0008846434518,0.001133425321,-1.415429523,1548.933266,-727.1862834,-0.502841227,-0.0002514206135
0.05807002708,0.0008110190871,0.0009616548769,-1.297630539,3370.959986,-306.3286354,-0.3048460041,-0.0001524230021
0.05846959304,0.000676086861,0.0007751723779,-1.081738978,6622.230899,-129.9895065,-0.1997988739,-9.989943697e-05
0.05886915901,0.0005026897815,0.0005764819015,-0.8043036505,6779.466158,-94.40927845,-0.147584772,-7.379238602e-05
0.0596702909,0.00013064578,0.000153693402,-0.209033248,3923.615317,-42.39543377,-0.04609525019,-2.30476251e-05
0.06100637404,-0.0004884489287,-0.0005603135331,0.7815182858,6724.481441,92.48482528,0.1437288395,7.186441974e-05
0.0614872172,-0.0006959525766,-0.0007999683401,1.113524123,6362.9563,139.2614218,0.2080323397,0.0001040161698
0.06173880588,-0.0007840127546,-0.0009184475249,1.254420407,4201.024899,237.6172639,0.2693401547,0.0001346700774
0.06189638778,-0.0008252185346,-0.0009897284472,1.320349655,2953.687281,355.7251566,0.3292643796,0.0001646321898
0.06206254288,-0.0008582744384,-0.001062169536,1.373239101,2094.337584,521.7826215,0.4082372951,0.0002041186475
0.06222869798,-0.0008832487769,-0.001131598121,1.413198043,1574.560249,714.2230794,0.4969278794,0.0002484639397
0.06240857388,-0.000904081648,-0.001203125245,1.446530637,1227.378679,937.8625565,0.598259192,0.000299129596
0.06260229844,-0.0009215176703,-0.001275665956,1.474428272,991.4015276,1183.488935,0.7083973283,0.0003541986642
0.06282211599,-0.0009369464881,-0.001351998377,1.499114381,818.79418,1456.968489,0.8301792319,0.0004150896159
0.06307264873,-0.0009505417065,-0.001430807586,1.52086673,691.0906734,1751.242399,0.9605829211,0.0004802914606
0.06336753861,-0.0009626439491,-0.001511782731,1.540230318,594.0780433,2063.157117,1.098314141,0.0005491570705
0.06372077382,-0.0009730815491,-0.00159113537,1.556930479,521.4320513,2376.083144,1.236130347,0.0006180651736
0.06415903498,-0.0009814078467,-0.001661608569,1.570252555,469.9723507,2658.810199,1.360412299,0.0006802061496
0.06473084459,-0.0009861906832,-0.001705257543,1.577905093,442.7829923,2835.829284,1.438135519,0.0007190677594
0.0655847062,-0.000982035899,-0.00166720901,1.571257438,466.3069112,2681.424852,1.370345259,0.0006851726296
