time,currentSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0.402,1.015390404,-0.611560008,2.689174296
0.403,1.020448375,-0.6236189699,2.710732755
0.404,1.025518912,-0.6359714187,2.732647048
0.405,1.030602015,-0.6486778469,2.754936634
0.406,1.035697684,-0.661788331,2.777618445
0.407,1.04080592,-0.6753425322,2.800706875
0.408,1.045926723,-0.6893696956,2.824213788
0.409,1.051060091,-0.7038886505,2.848148515
0.41,1.056206026,-0.7189078106,2.872517853
0.411,1.061364528,-0.7344251738,2.897326066
0.412,1.066535595,-0.7504283221,2.922574887
0.413,1.07171923,-0.7668944219,2.948263513
0.414,1.07691543,-0.7837902238,2.974388612
0.415,1.082124197,-0.8010720624,3.000944315
0.416,1.08734553,-0.8186858568,3.027922224
0.417,1.09257943,-0.8371137353,3.055410062
0.418,1.097825896,-0.8561753295,3.08343374
0.419,1.103084928,-0.8757340085,3.111967434
0.42,1.108356527,-0.8959212096,3.141023194
0.421,1.113640692,-0.9168436205,3.170612614
0.422,1.118937424,-0.9385831784,3.200746835
0.423,1.124246722,-0.9611970707,3.231436544
0.424,1.129568586,-0.9847177346,3.262691972
0.425,1.134903016,-1.009152857,3.294522898
0.426,1.140250013,-1.034485375,3.326938643
0.427,1.145609577,-1.060673476,3.359948077
0.428,1.150981707,-1.087650595,3.393559615
0.429,1.156366403,-1.115325421,3.427781215
0.43,1.161763665,-1.143581889,3.462620384
0.431,1.167173494,-1.173652817,3.498035499
0.432,1.172595889,-1.204512917,3.534194338
0.433,1.178030851,-1.23642695,3.571046766
0.434,1.183478379,-1.26962644,3.608554709
0.435,1.188938473,-1.304287046,3.64669438
0.436,1.194411134,-1.340528556,3.685456287
0.437,1.199896361,-1.378414891,3.724845222
0.438,1.205394154,-1.417954103,3.764880271
0.439,1.210904514,-1.459098375,3.805594809
0.44,1.21642744,-1.501744025,3.8470365
0.441,1.221962933,-1.545731498,3.889267299
0.442,1.227510992,-1.590845373,3.932363449
0.443,1.233071617,-1.638621467,3.975816747
0.444,1.238644808,-1.68817035,4.020204095
0.445,1.244230566,-1.739710231,4.065366939
0.446,1.249828891,-1.793634424,4.111096764
0.447,1.255439782,-1.850222633,4.157260703
0.448,1.261063239,-1.909640954,4.203801538
0.449,1.266699262,-1.971941872,4.250737702
0.45,1.272347852,-2.037064263,4.298163277
0.451,1.278009008,-2.104833395,4.346247992
0.452,1.283682731,-2.174960924,4.395237227
0.453,1.28936902,-2.247858099,4.44475681
0.454,1.295067875,-2.324784214,4.494304793
0.455,1.300779297,-2.405113339,4.544463878
0.456,1.306503285,-2.489388877,4.594561245
0.457,1.31223984,-2.577982896,4.644192506
0.458,1.31798896,-2.671096132,4.6932217
0.459,1.323750648,-2.768757988,4.741781298
0.46,1.329524901,-2.870826532,4.790272202
0.461,1.335311721,-2.976988501,4.83936374
0.462,1.341111108,-3.088381251,4.887153818
0.463,1.34692306,-3.20544105,4.934209247
0.464,1.352747579,-3.328248579,4.979726842
0.465,1.358584665,-3.457110262,5.02276736
0.466,1.364434317,-3.592255856,5.06306715
0.467,1.370296535,-3.733838454,5.101038147
0.468,1.376171319,-3.881934479,5.137767881
0.469,1.38205867,-4.036879898,5.171064198
0.47,1.387958587,-4.199533022,5.200631219
0.471,1.393871071,-4.369489953,5.225066362
0.472,1.399796121,-4.546708697,5.243201895
0.473,1.405733738,-4.731622379,5.255102154
0.474,1.41168392,-4.925139243,5.262063543
0.475,1.417646669,-5.12659238,5.261440483
0.476,1.423621985,-5.336514116,5.252042676
0.477,1.429609867,-5.553385125,5.232119906
0.478,1.435610315,-5.777069365,5.200701266
0.479,1.44162333,-6.00929004,5.158293867
0.48,1.447648911,-6.249160852,5.103333139
0.481,1.453687058,-6.495228279,5.033230041
0.482,1.459737772,-6.745105668,4.947029069
0.483,1.465801052,-6.99905715,4.84364688
0.484,1.471876898,-7.258461861,4.72216644
0.485,1.477965311,-7.519133307,4.58038974
0.486,1.48406629,-7.778159327,4.418402437
0.487,1.490179836,-8.034869257,4.23468555
0.488,1.496305948,-8.289065241,4.027427683
0.489,1.502444626,-8.53586219,3.796718885
0.49,1.508595871,-8.771644215,3.544863297
0.491,1.514759682,-8.995534072,3.268953542
0.492,1.52093606,-9.20474835,2.968865874
0.493,1.527125003,-9.394992537,2.64876371
0.494,1.533326514,-9.56409295,2.310138044
0.495,1.53954059,-9.708701296,1.951244803
0.496,1.545767233,-9.82708172,1.578448014
0.497,1.552006442,-9.916786977,1.193429081
0.498,1.558258218,-9.975936432,0.7994238717
0.499,1.56452256,-10.0041843,0.4004230515
0.5,1.570799468,-9.999895069,-0.0002007105196
0.501,1.577088943,-9.964116397,-0.3983719819
0.502,1.583390984,-9.896965355,-0.7903593765
0.503,1.589705592,-9.800052969,-1.172721463
0.504,1.596032766,-9.674737101,-1.541923803
0.505,1.602372506,-9.523801498,-1.895603818
0.506,1.608724813,-9.349108741,-2.230519148
0.507,1.615089686,-9.154105122,-2.545845252
0.508,1.621467125,-8.941188212,-2.838687634
0.509,1.627857131,-8.713629888,-3.109530351
0.51,1.634259703,-8.474370635,-3.356617331
0.511,1.640674841,-8.226078411,-3.580743642
0.512,1.647102546,-7.971602828,-3.781693395
0.513,1.653542817,-7.713296421,-3.960200361
0.514,1.659995655,-7.453302703,-4.117170212
0.515,1.666461059,-7.193788421,-4.253463597
0.516,1.672939029,-6.936027034,-4.370466736
0.517,1.679429566,-6.682096938,-4.469173908
0.518,1.685932669,-6.432432878,-4.551108937
0.519,1.692448339,-6.188798441,-4.617493672
0.52,1.698976574,-5.951379954,-4.669662067
0.521,1.705517377,-5.721025868,-4.708924808
0.522,1.712070745,-5.498216153,-4.736547401
0.523,1.71863668,-5.282894843,-4.753532351
0.524,1.725215181,-5.07579827,-4.761274883
0.525,1.731806249,-4.876522865,-4.760505417
0.526,1.738409883,-4.685287616,-4.75235488
0.527,1.745026083,-4.502004282,-4.737711193
0.528,1.75165485,-4.326378948,-4.717125906
0.529,1.758296183,-4.158495596,-4.691720601
0.53,1.764950083,-3.997978142,-4.661880714
0.531,1.771616549,-3.844595779,-4.628182155
0.532,1.778295581,-3.698189142,-4.591417147
0.533,1.78498718,-3.558423408,-4.551770344
0.534,1.791691345,-3.425062939,-4.509854043
