time,transformerL.inductor[3].i,transformerL.plug_p.pin[2].i,transformerL.inductor[1].iˍt,transformerL.inductor[2].i
0.758944927,0.6219635135,0.3092656122,5.671877413,0.3092656122
0.7661764925,0.767296301,0.09934050831,12.11553115,0.09934050831
0.7735003783,0.8742672626,-0.1184200341,18.00549765,-0.1184200341
0.7809071097,0.935568945,-0.3322525888,22.99585919,-0.3322525888
0.7885307812,0.9459886175,-0.5335342371,26.83567136,-0.5335342371
0.7965050934,0.8991281929,-0.7113130037,29.21022934,-0.7113130037
0.8051295386,0.7854343033,-0.8533213978,29.72372665,-0.8533213978
0.8149066119,0.5878672584,-0.9386403125,27.68758058,-0.9386403125
0.8246836852,0.3352720456,-0.9360969297,23.05970245,-0.9360969297
0.8344607585,0.05129357677,-0.8459299111,16.27331349,-0.8459299111
0.8430875931,-0.2041527221,-0.7001566946,8.996156477,-0.7001566946
0.8505797991,-0.4145524518,-0.5316051058,2.122892447,-0.5316051058
0.8570932418,-0.5792717722,-0.3608782937,-3.961331755,-0.3608782937
0.8636066845,-0.7198205657,-0.175093703,-9.880350114,-0.175093703
0.8703746292,-0.8339745166,0.02557896844,-15.5906788,0.02557896844
0.8772368137,-0.9113510537,0.2278267848,-20.66249457,0.2278267848
0.8843458181,-0.9469885943,0.4261113091,-24.90536207,0.4261113091
0.8917613519,-0.9340380165,0.6102515623,-28.01038011,0.6102515623
0.899667723,-0.864713388,0.7700535172,-29.65142172,0.7700535172
0.9084491503,-0.7258005187,0.891811291,-29.34017733,0.891811291
0.9177000274,-0.5203579194,0.9470252525,-26.61518122,0.9470252525
0.9269509045,-0.2712726485,0.9228119596,-21.65796902,0.9228119596
0.9362017816,0.0005642672383,0.8212024249,-14.88430308,0.8212024249
0.944517028,0.2455320333,0.670721163,-7.711767602,0.670721163
0.9517421376,0.4454240583,0.5025698853,-1.036333075,0.5025698853
0.9589672471,0.6224655619,0.3086367401,5.692389346,0.3086367401
0.9661923566,0.7675741574,0.09887034281,12.1290981,0.09887034281
0.9735106624,0.8743861165,-0.1187240978,18.01316798,-0.1187240978
0.9809128402,0.9355971027,-0.3324125344,22.99927062,-0.3324125344
0.9885326988,0.9459844032,-0.5335814826,26.83645161,-0.5335814826
0.9965037519,0.8991409294,-0.7112865528,29.20998047,-0.7112865528
1,0.8605954152,-0.7757930702,29.68082077,-0.7757930702
