time,hollowCylinderAxialAir1.Phi.re,hollowCylinderAxialAir1.Phi.im,hollowCylinderAxialAir2.Phi.re,hollowCylinderAxialAir2.Phi.im,constantSource.port_p.reference.gamma
0.51,-0.00303030303,0,-0.00303030303,0,160.2212253
0.511,-0.00303030303,0,-0.00303030303,0,160.5353846
0.512,-0.00303030303,0,-0.00303030303,0,160.8495439
0.513,-0.00303030303,0,-0.00303030303,0,161.1637031
0.514,-0.00303030303,0,-0.00303030303,0,161.4778624
0.515,-0.00303030303,0,-0.00303030303,0,161.7920217
0.516,-0.00303030303,0,-0.00303030303,0,162.1061809
0.517,-0.00303030303,0,-0.00303030303,0,162.4203402
0.518,-0.00303030303,0,-0.00303030303,0,162.7344995
0.519,-0.00303030303,0,-0.00303030303,0,163.0486587
0.52,-0.00303030303,0,-0.00303030303,0,163.362818
0.521,-0.00303030303,0,-0.00303030303,0,163.6769773
0.522,-0.00303030303,0,-0.00303030303,0,163.9911365
0.523,-0.00303030303,0,-0.00303030303,0,164.3052958
0.524,-0.00303030303,0,-0.00303030303,0,164.619455
0.525,-0.00303030303,0,-0.00303030303,0,164.9336143
0.526,-0.00303030303,0,-0.00303030303,0,165.2477736
0.527,-0.00303030303,0,-0.00303030303,0,165.5619328
0.528,-0.00303030303,0,-0.00303030303,0,165.8760921
0.529,-0.00303030303,0,-0.00303030303,0,166.1902514
0.53,-0.00303030303,0,-0.00303030303,0,166.5044106
0.531,-0.00303030303,0,-0.00303030303,0,166.8185699
0.532,-0.00303030303,0,-0.00303030303,0,167.1327292
0.533,-0.00303030303,0,-0.00303030303,0,167.4468884
0.534,-0.00303030303,0,-0.00303030303,0,167.7610477
0.535,-0.00303030303,0,-0.00303030303,0,168.075207
0.536,-0.00303030303,0,-0.00303030303,0,168.3893662
0.537,-0.00303030303,0,-0.00303030303,0,168.7035255
0.538,-0.00303030303,0,-0.00303030303,0,169.0176848
0.539,-0.00303030303,0,-0.00303030303,0,169.331844
0.54,-0.00303030303,0,-0.00303030303,0,169.6460033
0.541,-0.00303030303,0,-0.00303030303,0,169.9601626
0.542,-0.00303030303,0,-0.00303030303,0,170.2743218
0.543,-0.00303030303,0,-0.00303030303,0,170.5884811
0.544,-0.00303030303,0,-0.00303030303,0,170.9026404
0.545,-0.00303030303,0,-0.00303030303,0,171.2167996
0.546,-0.00303030303,0,-0.00303030303,0,171.5309589
0.547,-0.00303030303,0,-0.00303030303,0,171.8451182
0.548,-0.00303030303,0,-0.00303030303,0,172.1592774
0.549,-0.00303030303,0,-0.00303030303,0,172.4734367
0.55,-0.00303030303,0,-0.00303030303,0,172.7875959
0.551,-0.00303030303,0,-0.00303030303,0,173.1017552
0.552,-0.00303030303,0,-0.00303030303,0,173.4159145
0.553,-0.00303030303,0,-0.00303030303,0,173.7300737
