time,energy.y,superCap.capacitor.v
138.45,-133198.8153,41.98781268
138.46,-133198.8153,41.98781181
138.47,-133198.8153,41.98781093
138.48,-133198.8153,41.98781006
138.49,-133198.8153,41.98780918
138.5,-133198.8153,41.98780831
138.51,-133198.8153,41.98780743
138.52,-133198.8153,41.98780656
138.53,-133198.8153,41.98780568
138.54,-133198.8153,41.98780481
138.55,-133198.8153,41.98780393
138.56,-133198.8153,41.98780306
138.57,-133198.8153,41.98780218
138.58,-133198.8153,41.98780131
138.59,-133198.8153,41.98780044
138.6,-133198.8153,41.98779956
138.61,-133198.8153,41.98779869
138.62,-133198.8153,41.98779781
138.63,-133198.8153,41.98779694
138.64,-133198.8153,41.98779606
138.65,-133198.8153,41.98779519
138.66,-133198.8153,41.98779431
138.67,-133198.8153,41.98779344
138.68,-133198.8153,41.98779256
138.69,-133198.8153,41.98779169
138.7,-133198.8153,41.98779081
138.71,-133198.8153,41.98778994
138.72,-133198.8153,41.98778906
138.73,-133198.8153,41.98778819
138.74,-133198.8153,41.98778731
138.75,-133198.8153,41.98778644
138.76,-133198.8153,41.98778556
138.77,-133198.8153,41.98778469
138.78,-133198.8153,41.98778381
138.79,-133198.8153,41.98778294
138.8,-133198.8153,41.98778207
138.81,-133198.8153,41.98778119
138.82,-133198.8153,41.98778032
138.83,-133198.8153,41.98777944
138.84,-133198.8153,41.98777857
138.85,-133198.8153,41.98777769
138.86,-133198.8153,41.98777682
138.87,-133198.8153,41.98777594
138.88,-133198.8153,41.98777507
138.89,-133198.8153,41.98777419
138.9,-133198.8153,41.98777332
138.91,-133198.8153,41.98777244
138.92,-133198.8153,41.98777157
138.93,-133198.8153,41.98777069
138.94,-133198.8153,41.98776982
138.95,-133198.8153,41.98776894
138.96,-133198.8153,41.98776807
138.97,-133198.8153,41.98776719
138.98,-133198.8153,41.98776632
138.99,-133198.8153,41.98776545
139,-133198.8153,41.98776457
139.01,-133198.8153,41.9877637
139.02,-133198.8153,41.98776282
139.03,-133198.8153,41.98776195
139.04,-133198.8153,41.98776107
139.05,-133198.8153,41.9877602
139.06,-133198.8153,41.98775932
139.07,-133198.8153,41.98775845
139.08,-133198.8153,41.98775757
139.09,-133198.8153,41.9877567
139.1,-133198.8153,41.98775582
139.11,-133198.8153,41.98775495
139.12,-133198.8153,41.98775407
139.13,-133198.8153,41.9877532
139.14,-133198.8153,41.98775232
139.15,-133198.8153,41.98775145
139.16,-133198.8153,41.98775057
139.17,-133198.8153,41.9877497
139.18,-133198.8153,41.98774883
139.19,-133198.8153,41.98774795
139.2,-133198.8153,41.98774708
139.21,-133198.8153,41.9877462
139.22,-133198.8153,41.98774533
139.23,-133198.8153,41.98774445
139.24,-133198.8153,41.98774358
139.25,-133198.8153,41.9877427
139.26,-133198.8153,41.98774183
139.27,-133198.8153,41.98774095
139.28,-133198.8153,41.98774008
139.29,-133198.8153,41.9877392
139.3,-133198.8153,41.98773833
139.31,-133198.8153,41.98773745
139.32,-133198.8153,41.98773658
139.33,-133198.8153,41.9877357
139.34,-133198.8153,41.98773483
139.35,-133198.8153,41.98773395
139.36,-133198.8153,41.98773308
139.37,-133198.8153,41.9877322
139.38,-133198.8153,41.98773133
139.39,-133198.8153,41.98773046
139.4,-133198.8153,41.98772958
139.41,-133198.8153,41.98772871
139.42,-133198.8153,41.98772783
139.43,-133198.8153,41.98772696
139.44,-133198.8153,41.98772608
139.45,-133198.8153,41.98772521
139.46,-133198.8153,41.98772433
139.47,-133198.8153,41.98772346
139.48,-133198.8153,41.98772258
139.49,-133198.8153,41.98772171
139.5,-133198.8153,41.98772083
139.51,-133198.8153,41.98771996
139.52,-133198.8153,41.98771908
139.53,-133198.8153,41.98771821
139.54,-133198.8153,41.98771733
139.55,-133198.8153,41.98771646
139.56,-133198.8153,41.98771558
139.57,-133198.8153,41.98771471
139.58,-133198.8153,41.98771384
139.59,-133198.8153,41.98771296
139.6,-133198.8153,41.98771209
139.61,-133198.8153,41.98771121
139.62,-133198.8153,41.98771034
139.63,-133198.8153,41.98770946
139.64,-133198.8153,41.98770859
139.65,-133198.8153,41.98770771
139.66,-133198.8153,41.98770684
139.67,-133198.8153,41.98770596
139.68,-133198.8153,41.98770509
139.69,-133198.8153,41.98770421
139.7,-133198.8153,41.98770334
139.71,-133198.8153,41.98770246
139.72,-133198.8153,41.98770159
139.73,-133198.8153,41.98770071
139.74,-133198.8153,41.98769984
139.75,-133198.8153,41.98769896
139.76,-133198.8153,41.98769809
139.77,-133198.8153,41.98769722
139.78,-133198.8153,41.98769634
139.79,-133198.8153,41.98769547
139.8,-133198.8153,41.98769459
139.81,-133198.8153,41.98769372
139.82,-133198.8153,41.98769284
139.83,-133198.8153,41.98769197
139.84,-133198.8153,41.98769109
139.85,-133198.8153,41.98769022
139.86,-133198.8153,41.98768934
139.87,-133198.8153,41.98768847
139.88,-133198.8153,41.98768759
139.89,-133198.8153,41.98768672
139.9,-133198.8153,41.98768584
139.91,-133198.8153,41.98768497
139.92,-133198.8153,41.98768409
139.93,-133198.8153,41.98768322
139.94,-133198.8153,41.98768234
139.95,-133198.8153,41.98768147
139.96,-133198.8153,41.98768059
139.97,-133198.8153,41.98767972
139.98,-133198.8153,41.98767885
139.99,-133198.8153,41.98767797
140,-133198.8153,41.9876771
140.01,-133198.8153,41.98767622
140.02,-133198.8153,41.98767535
140.03,-133198.8153,41.98767447
140.04,-133198.8153,41.9876736
140.05,-133198.8153,41.98767272
140.06,-133198.8153,41.98767185
140.07,-133198.8153,41.98767097
140.08,-133198.8153,41.9876701
140.09,-133198.8153,41.98766922
140.1,-133198.8153,41.98766835
140.11,-133198.8153,41.98766747
140.12,-133198.8153,41.9876666
140.13,-133198.8153,41.98766572
140.14,-133198.8153,41.98766485
140.15,-133198.8153,41.98766397
140.16,-133198.8153,41.9876631
140.17,-133198.8153,41.98766223
140.18,-133198.8153,41.98766135
140.19,-133198.8153,41.98766048
140.2,-133198.8153,41.9876596
140.21,-133198.8153,41.98765873
140.22,-133198.8153,41.98765785
140.23,-133198.8153,41.98765698
140.24,-133198.8153,41.9876561
140.25,-133198.8153,41.98765523
140.26,-133198.8153,41.98765435
140.27,-133198.8153,41.98765348
140.28,-133198.8153,41.9876526
140.29,-133198.8153,41.98765173
140.3,-133198.8153,41.98765085
140.31,-133198.8153,41.98764998
140.32,-133198.8153,41.9876491
140.33,-133198.8153,41.98764823
140.34,-133198.8153,41.98764735
140.35,-133198.8153,41.98764648
140.36,-133198.8153,41.98764561
140.37,-133198.8153,41.98764473
