time,currentSensor1.i_ref,currentSensor1.i_sim,currentSensor1.i_relerr,currentSensor2.i_ref,currentSensor2.i_sim,currentSensor2.i_relerr,integrator1.y_ref,integrator1.y_sim,integrator1.y_relerr,der1.y_ref,der1.y_sim,der1.y_relerr,integrator2.y_ref,integrator2.y_sim,integrator2.y_relerr,der2.y_ref,der2.y_sim,der2.y_relerr
1.04e-05,9766.0244,324.0564404,0.0944197,0.013154542,1.010619954e-13,1.31545e-07,0.0019842652,6.58661647e-05,4.46325e-05,2.3222497e+10,809123864.6,0.873904,1.0301218e-09,6.574275458e-21,2.40355e-11,164403.81,1.263244488e-06,1.17318e-05
1.05e-05,12059.665,404.9435823,0.116547,0.040135939,3.084074401e-13,4.01359e-07,0.0030760623,0.0001023163599,6.91856e-05,2.265266e+10,808618531,0.851706,3.7030035e-09,2.55238568e-20,8.64009e-11,401273.97,3.083981464e-06,2.86348e-05
1.06e-05,14297.018,485.775997,0.138112,0.09984979,7.67393276e-13,9.98498e-07,0.0043944418,0.00014685324,9.88221e-05,2.2096675e+10,808113282.4,0.830048,1.0989433e-08,7.634062538e-20,2.56413e-10,831868.69,6.394712717e-06,5.93619e-05
1.07e-05,16479.451,566.5563055,0.159129,0.21576867,1.658589266e-12,2.15769e-06,0.0059339618,0.0001994697554,0.000133416,2.1554205e+10,807608351,0.808916,2.8868493e-08,1.943067494e-19,6.73579e-10,1540743.2,1.184656638e-05,0.000109947
1.08e-05,18608.299,647.3012142,0.17961,0.42058617,3.233594058e-12,4.20586e-06,0.0076891007,0.0002601628248,0.000172838,2.1024922e+10,807103559.4,0.788299,6.3689988e-08,4.291485911e-19,1.48606e-09,2627759.8,2.020898844e-05,0.000187516
1.09e-05,20684.863,728.0116972,0.199569,0.75774652,5.826865898e-12,7.57747e-06,0.0096544735,0.0003289294255,0.000216963,2.0508502e+10,806598904.5,0.768183,1.2675841e-07,8.672061493e-19,2.95761e-09,4208063,3.236972132e-05,0.000300286
1.1e-05,22710.418,808.6693577,0.219018,1.2829715,9.867551206e-12,1.28297e-05,0.011824858,0.0004057643099,0.000265671,2.0004639e+10,806094510.2,0.748557,2.329715e-07,1.637439371e-18,5.43584e-09,6412054.5,4.93347825e-05,0.000457563
1.11e-05,24686.199,889.2364292,0.23797,2.0657842,1.589131101e-11,2.06578e-05,0.014195275,0.0004906600058,0.000318844,1.9513022e+10,805590627.2,0.729409,4.0460765e-07,2.911428152e-18,9.44057e-09,9385357,7.22284431e-05,0.000669737
1.12e-05,26613.42,969.7451069,0.256437,3.19103,2.455214524e-11,3.19103e-05,0.016760839,0.0005836078337,0.000376371,1.9033356e+10,805087033.5,0.710726,6.7483779e-07,4.909337092e-18,1.57458e-08,13288779,0.0001022932065,0.000948284
1.13e-05,28493.26,1050.232753,0.27443,4.7603922,3.663421489e-11,4.76039e-05,0.019516679,0.0006846081284,0.000438137,1.8565351e+10,804583474.1,0.692498,1.0763229e-06,7.940121048e-18,2.51135e-08,18298266,0.000140889787,0.00130576
1.14e-05,30326.869,1130.654534,0.291962,6.8939023,5.306366204e-11,6.8939e-05,0.022458252,0.0007936534622,0.000504037,1.8108721e+10,804080202.7,0.674713,1.6707097e-06,1.237568312e-17,3.89821e-08,24604834,0.0001894970883,0.00175579
1.15e-05,32115.373,1211.008422,0.309044,9.7314453,7.492042769e-11,9.73145e-05,0.025580853,0.0009107364061,0.000573962,1.7663193e+10,803577225.7,0.657362,2.5084469e-06,1.870784191e-17,5.85287e-08,32414500,0.0002497121821,0.00231309
1.16e-05,33859.867,1291.307289,0.325686,13.434253,1.034500676e-10,0.000134343,0.028880136,0.001035851682,0.00064781,1.7228495e+10,803074500.9,0.640432,3.6791807e-06,2.755645229e-17,8.58451e-08,41948180,0.0003232502871,0.00299341
1.17e-05,35561.426,1371.578919,0.341899,18.186388,1.400755657e-10,0.000181864,0.032351643,0.001168996164,0.000725479,1.6804363e+10,802571937.7,0.623915,5.2684009e-06,3.966940539e-17,1.22926e-07,53441560,0.000411944747,0.00381358
1.18e-05,37221.086,1451.865997,0.357692,24.196217,1.864091459e-10,0.000241962,0.035991207,0.001310168876,0.000806871,1.6390541e+10,802069396.6,0.607799,7.4076847e-06,5.592262857e-17,1.72841e-07,67144952,0.0005177470097,0.00479145
1.19e-05,38839.867,1532.06648,0.373078,31.697855,2.442640809e-10,0.000316979,0.039794631,0.001459367427,0.000891888,1.598678e+10,801567205.4,0.592076,1.022549e-05,7.730963449e-17,2.38588e-07,83323096,0.0006427266053,0.00594592
1.2e-05,40418.77,1612.195695,0.388066,40.95261,3.156664999e-10,0.000409526,0.043757871,0.001616580747,0.000980437,1.5592833e+10,801065316,0.576736,1.3877374e-05,1.05306416e-16,3.23796e-07,102254920,0.0007890711255,0.00729689
1.21e-05,41958.754,1692.275883,0.402665,52.250374,4.028671934e-10,0.000522504,0.047877021,0.001781804198,0.00107243,1.5208463e+10,800563661.5,0.561768,1.8579512e-05,1.411795088e-16,4.33509e-07,124233240,0.0009590862016,0.00886525
1.22e-05,43460.773,1772.308236,0.416885,65.911003,5.08353416e-10,0.00065911,0.052148253,0.001955033399,0.00116777,1.4833437e+10,800062241,0.547166,2.4530089e-05,1.8650904e-16,5.72352e-07,149564420,0.001155195483,0.0106729
1.23e-05,44925.746,1852.293352,0.430735,82.285652,6.348606874e-10,0.000822857,0.05656784,0.002136263808,0.00126638,1.4467528e+10,799561054,0.532918,3.1963224e-05,2.432346154e-16,7.45787e-07,178567940,0.001379940617,0.0127426
1.24e-05,46354.574,1932.231233,0.444223,101.75806,7.853845909e-10,0.00101758,0.061132096,0.002325490722,0.00136816,1.4110513e+10,799060100.5,0.519018,4.1198033e-05,3.136553198e-16,9.6126e-07,211575860,0.001635981227,0.015098
1.25e-05,47748.137,2012.121289,0.45736,124.74576,9.631925701e-10,0.00124746,0.065837428,0.002522709275,0.00147305,1.3762177e+10,798559380.2,0.505455,5.25797e-05,4.004297162e-16,1.22682e-06,248932220,0.001926094888,0.0177637
1.26e-05,49107.293,2091.962337,0.470153,151.70129,1.171835723e-09,0.00151701,0.070680417,0.002727914441,0.00158095,1.3422309e+10,798058893.3,0.492223,6.6437671e-05,5.065758466e-16,1.55017e-06,290992420,0.00225317711,0.0207651
1.27e-05,50432.875,2171.752596,0.482611,183.11322,1.415160594e-09,0.00183113,0.075657673,0.00294110103,0.00169179,1.3090703e+10,797558640.2,0.479314,8.3170547e-05,6.354712315e-16,1.94059e-06,338122180,0.002620241316,0.0241283
1.28e-05,51725.703,2251.489694,0.494742,219.5072,1.697320965e-09,0.00219507,0.080765799,0.003162263692,0.00180548,1.2767159e+10,797058621.6,0.466718,0.00010335751,7.908528702e-16,2.41161e-06,390696770,0.003030418816,0.02788
1.29e-05,52986.57,2331.170666,0.506554,261.44684,2.022789642e-09,0.00261447,0.08600162,0.003391396915,0.00192197,1.245148e+10,796558838.1,0.454429,0.00012744665,9.768172407e-16,2.97367e-06,449099710,0.003486958792,0.0320476
1.3e-05,54216.254,2410.79195,0.518055,309.53445,2.396370242e-09,0.00309535,0.091361992,0.003628495025,0.00204116,1.2143475e+10,796059290.9,0.442439,0.00015598509,1.197820299e-15,3.63955e-06,513721660,0.003993228272,0.0366591
1.31e-05,55415.512,2490.349392,0.529252,364.41168,2.823208977e-09,0.00364412,0.096843809,0.003873552187,0.002163,1.1842957e+10,795559981.1,0.430741,0.00018968197,1.458677482e-15,4.42578e-06,584958850,0.004552712109,0.0417425
1.32e-05,56585.09,2569.869055,0.540152,426.76004,3.308806434e-09,0.0042676,0.10244404,0.004126562424,0.0022874,1.1549746e+10,795060900.7,0.419329,0.0002292748,1.764661305e-15,5.34959e-06,663211260,0.005169012963,0.0473266
1.33e-05,57725.699,2649.352855,0.550764,497.30118,3.859029354e-09,0.00497301,0.10815979,0.004387523916,0.00241431,1.1263662e+10,794562047.4,0.408193,0.00027547724,2.122699366e-15,6.42762e-06,748881150,0.005845851277,0.05344
1.34e-05,58838.055,2728.786777,0.561093,576.79694,4.480122414e-09,0.00576797,0.11398821,0.004656431849,0.00254366,1.0984533e+10,794063432.9,0.39733,0.00032912137,2.539291659e-15,7.67928e-06,842370500,0.006587065255,0.0601114
