time,basicTransformer.i1,basicTransformer.i2,inductor21.iˍt,idealTransformer.p2.i,basicTransformer.i1ˍt,inductor22.i
2.098486581,1.397547814,-0.3620071057,1.174716626,-0.3876051113,2.310848114,0.3876051113
2.102105506,1.403437624,-0.3653979349,-0.2119002496,-0.3911048141,0.9346943103,0.3911048141
2.105724432,1.404288518,-0.3587978941,-1.587634194,-0.3845644445,-0.4618924029,0.3845644445
2.109343357,1.400156932,-0.3425447112,-2.881637689,-0.3683206344,-1.806997307,0.3683206344
2.11296535,1.391346512,-0.3174484753,-4.0281828,-0.3431849126,-3.032345347,0.3431849126
2.116685354,1.378013012,-0.2838381877,-4.989040304,-0.3094874158,-4.09867148,0.3094874158
2.120525551,1.360573966,-0.2427383164,-5.695861003,-0.2682551996,-4.934407073,0.2682551996
2.124596903,1.33925868,-0.1946903413,-6.084247915,-0.2200310714,-5.473450163,0.2200310714
2.129157852,1.313787305,-0.1391939465,-6.048811846,-0.1643109371,-5.611967244,0.1643109371
2.134314706,1.285727968,-0.07980655469,-5.416275867,-0.1046639966,-5.16550967,0.1046639966
2.13850696,1.265629534,-0.0382641499,-4.481718771,-0.06292717031,-4.361058781,0.06292717031
2.142704611,1.249618239,-0.005839405459,-3.236209181,-0.03034050775,-3.217038279,0.03034050775
2.146902262,1.238985235,0.01516998854,-1.766882705,-0.009216233851,-1.813392027,0.009216233851
2.150597808,1.234794284,0.02304429928,-0.3685934281,-0.001288567159,-0.4396187457,0.001288567159
2.153861652,1.23541055,0.02134646842,0.8852855367,-0.002980770271,0.8197315529,0.002980770271
2.157125496,1.240132203,0.01159709283,2.102076769,-0.01276525296,2.067227838,0.01276525296
2.160515582,1.249247886,-0.006611020901,3.272004058,-0.03105291563,3.294369054,0.03105291563
2.163945056,1.262500796,-0.03257341492,4.304850785,-0.0571384348,4.408719626,0.0571384348
2.167526038,1.280094296,-0.06647710756,5.170185038,-0.09121211132,5.380430242,0.09121211132
2.171275887,1.301776894,-0.1075751389,5.796390276,-0.1325262976,6.1355344,0.1325262976
2.175312441,1.327611251,-0.15563769,6.111916892,-0.1808540752,6.60175356,0.1808540752
2.179970324,1.358693907,-0.2120832055,5.990001988,-0.2376292727,6.656755841,0.2376292727
2.184734427,1.389470405,-0.2661215792,5.338675479,-0.292007208,6.174737928,0.292007208
2.189498529,1.416729692,-0.3116515964,4.212549389,-0.3378536401,5.191193773,0.3378536401
2.194262632,1.43827432,-0.3446195371,2.711776794,-0.371091179,3.793581761,0.371091179
2.198486162,1.451221811,-0.3609484511,1.174875022,-0.387604127,2.307680351,0.387604127
2.202104802,1.457099907,-0.3643408008,-0.211629229,-0.3911051122,0.9316439538,0.3911051122
2.205723443,1.457939894,-0.3577438319,-1.587266184,-0.3845675847,-0.4648361273,0.3845675847
2.209342083,1.453798135,-0.3414950737,-2.881204452,-0.3683279773,-1.809861925,0.3683279773
2.212965113,1.4449741,-0.3163936395,-4.028114123,-0.3431868188,-3.035590862,0.3431868188
