time,spring.w_rel_ref,spring.w_rel_sim,spring.w_rel_relerr
2.4888,-2.529705753e-09,-1.948563533e-11,5.5916e-07
2.4896,-2.357738539e-09,-2.606082017e-11,5.19389e-07
2.4904,-2.185391143e-09,-3.258382453e-11,4.79545e-07
2.4912,-2.012915625e-09,-3.904132573e-11,4.39687e-07
2.492,-1.840564048e-09,-4.541944598e-11,3.99874e-07
2.4928,-1.668588472e-09,-5.170364137e-11,3.60167e-07
2.4936,-1.497240959e-09,-5.787970103e-11,3.20623e-07
2.4944,-1.32677357e-09,-6.393285901e-11,2.81302e-07
2.4952,-1.157438367e-09,-6.984790524e-11,2.42264e-07
2.496,-9.894874123e-10,-7.560962967e-11,2.03569e-07
2.4968,-8.231727662e-10,-8.120193407e-11,1.65276e-07
2.4976,-6.587464906e-10,-8.660938633e-11,1.27445e-07
2.4984,-4.964606469e-10,-9.181533311e-11,9.01361e-08
2.4992,-3.365672966e-10,-9.680334312e-11,5.34082e-08
2.5,-1.793185013e-10,-1.01556652e-10,1.73217e-08
2.5008,-2.496632238e-11,-1.060580512e-10,1.80635e-08
2.5016,1.262371786e-10,-1.102901104e-10,5.26872e-08
2.5024,2.740399402e-10,-1.142349548e-10,8.64895e-08
2.5032,4.181899009e-10,-1.17874599e-10,1.1941e-07
2.504,5.584349993e-10,-1.211908351e-10,1.51389e-07
2.5048,6.945231738e-10,-1.241649006e-10,1.82366e-07
2.5056,8.262023629e-10,-1.267781435e-10,2.1228e-07
2.5064,9.532205052e-10,-1.29010802e-10,2.41071e-07
2.5072,1.075325539e-09,-1.308440023e-10,2.68678e-07
2.508,1.192265403e-09,-1.322574272e-10,2.95042e-07
2.5088,1.303788036e-09,-1.332313149e-10,3.20101e-07
2.5096,1.409641376e-09,-1.337450151e-10,3.43794e-07
2.5104,1.509573362e-09,-1.337779887e-10,3.66062e-07
2.5112,1.603331932e-09,-1.333092525e-10,3.86843e-07
2.512,1.690665025e-09,-1.323172683e-10,4.06075e-07
2.5128,1.771320579e-09,-1.307809416e-10,4.23699e-07
2.5136,1.845046532e-09,-1.286780682e-10,4.39654e-07
2.5144,1.911590824e-09,-1.259864435e-10,4.53877e-07
2.5152,1.970701393e-09,-1.223022794e-10,4.66224e-07
2.516,2.022126177e-09,-1.179102371e-10,4.767e-07
2.5168,2.065613115e-09,-1.135960215e-10,4.85426e-07
2.5176,2.100910145e-09,-1.093581892e-10,4.92345e-07
2.5184,2.127765206e-09,-1.051964071e-10,4.974e-07
2.5192,2.145926237e-09,-1.011097872e-10,5.00535e-07
2.52,2.155141175e-09,-9.709788529e-11,5.01694e-07
2.5208,2.15515796e-09,-9.315992422e-11,5.0082e-07
2.5216,2.145724529e-09,-8.929479378e-11,4.97858e-07
2.5224,2.246881954e-09,-8.550227193e-11,5.19546e-07
2.5232,2.35198094e-09,-8.178135946e-11,5.42129e-07
2.524,2.455972506e-09,-7.813161229e-11,5.6448e-07
2.5248,2.558812249e-09,-7.455192019e-11,5.86591e-07
2.5256,2.66045577e-09,-7.104217215e-11,6.0845e-07
2.5264,2.760858664e-09,-6.760125792e-11,6.30049e-07
2.5272,2.859976532e-09,-6.422862242e-11,6.51376e-07
2.528,2.95776497e-09,-6.092348848e-11,6.72423e-07
2.5288,3.054179577e-09,-5.768518996e-11,6.93178e-07
2.5296,3.149175951e-09,-5.451317175e-11,7.13632e-07
2.5304,3.24270969e-09,-5.140654569e-11,7.33775e-07
2.5312,3.334736392e-09,-4.836497869e-11,7.53597e-07
2.532,3.425211656e-09,-4.538758258e-11,7.73088e-07
2.5328,3.51409108e-09,-4.247369123e-11,7.92237e-07
2.5336,3.601330261e-09,-3.96226385e-11,8.11034e-07
2.5344,3.686884799e-09,-3.683364724e-11,8.29471e-07
2.5352,3.77071029e-09,-3.410649541e-11,8.47536e-07
2.536,3.852762334e-09,-3.143996175e-11,8.65219e-07
2.5368,3.932996527e-09,-2.883371319e-11,8.82511e-07
2.5376,4.01136847e-09,-2.628719464e-11,8.99401e-07
2.5384,4.087833759e-09,-2.379940689e-11,9.1588e-07
2.5392,4.162347993e-09,-2.136990584e-11,9.31937e-07
2.54,4.234866769e-09,-1.89981364e-11,9.47563e-07
2.5408,4.305345687e-09,-1.668343241e-11,9.62746e-07
