time,dcpm.inertiaRotor.w,dcpm.flange.tau,dcpm.friction.phi,dcpm.airGapDC.ia,dcpm.la.i,loadInertia.w,loadInertia.phi
1.52616545,151.9786622,-38.96913029,139.5985053,22.42823926,22.42823926,151.9786622,139.5985053
1.532742885,150.9629877,-42.06276124,140.5947205,32.14716754,32.14716754,150.9629877,140.5947205
1.540842526,149.9042111,-46.05482676,141.813033,44.68861125,44.68861125,149.9042111,141.813033
1.552067162,148.7920222,-51.48183023,143.4890308,61.73804549,61.73804549,148.7920222,143.4890308
1.561059268,148.1830882,-55.44750831,144.8240684,74.19659059,74.19659059,148.1830882,144.8240684
1.571637721,147.7496542,-59.44827599,146.3890748,86.76537295,86.76537295,147.7496542,146.3890748
1.582216173,147.5693485,-62.61492749,147.9508869,96.71370205,96.71370205,147.5693485,147.9508869
1.593368275,147.5871866,-65.03057628,149.5965279,104.3026865,104.3026865,147.5871866,149.5965279
1.604837642,147.7575506,-66.60135702,151.2901219,109.2374398,109.2374398,147.7575506,151.2901219
1.616845664,148.0303569,-67.4067096,153.0659715,111.7675295,111.7675295,148.0303569,153.0659715
1.629412222,148.3542211,-67.54369623,154.9282269,112.1978857,112.1978857,148.3542211,154.9282269
1.642764625,148.6857405,-67.15418798,156.9113644,110.9742095,110.9742095,148.6857405,156.9113644
1.657247148,148.988073,-66.39151478,159.0669878,108.5782009,108.5782009,148.988073,159.0669878
1.673849054,149.2350774,-65.39213419,161.5426778,105.4385542,105.4385542,149.2350774,161.5426778
1.693566605,149.3911876,-64.3486672,164.4869931,102.160406,102.160406,149.3911876,164.4869931
1.709941224,149.4303801,-63.73127926,166.9336298,100.2208246,100.2208246,149.4303801,166.9336298
1.728114621,149.4120338,-63.33366105,169.6491935,98.9716701,98.9716701,149.4120338,169.6491935
1.746288019,149.3615089,-63.18773079,172.3640852,98.51321668,98.51321668,149.3615089,172.3640852
1.765626673,149.3009542,-63.21615111,175.251944,98.60250175,98.60250175,149.3009542,175.251944
1.786497014,149.2478223,-63.3494946,178.3673188,99.02141267,99.02141267,149.2478223,178.3673188
1.811562669,149.2112634,-63.52843607,182.1077921,99.58357387,99.58357387,149.2112634,182.1077921
1.836628325,149.2007651,-63.654188,185.8476947,99.97863523,99.97863523,149.2007651,185.8476947
1.86169398,149.2054104,-63.71084745,189.5875483,100.1566362,100.1566362,149.2054104,189.5875483
1.888386362,149.2155347,-63.71608958,193.5703294,100.1731048,100.1731048,149.2155347,193.5703294
1.917746315,149.2244807,-63.6931969,197.951433,100.1011853,100.1011853,149.2244807,197.951433
1.956504243,149.2288937,-63.66361173,203.7351751,100.0082408,100.0082408,149.2288937,203.7351751
1.99526217,149.2280677,-63.65302808,209.5189704,99.97499123,99.97499123,149.2280677,209.5189704
2,149.2278438,-63.6528279,210.225987,99.97436236,99.97436236,149.2278438,210.225987
