time,currentToVoltageAdaptor2a.f,inductor1.i,capacitor2.v,capacitor1.v,inductor2.i
0.4835594615,-0.94317808,0.3323093113,0.3323093113,-0.94317808,-0.94317808
0.4889731649,-0.9795483154,-0.2012373905,-0.2012373905,-0.9795483154,-0.9795483154
0.4944760187,-0.7297076664,-0.6837626724,-0.6837626724,-0.7297076664,-0.7297076664
0.4999788726,-0.2644217543,-0.9644064956,-0.9644064956,-0.2644217543,-0.2644217543
0.5054817265,0.2789339058,-0.960309255,-0.960309255,0.2789339058,0.2789339058
0.5109845804,0.7399339551,-0.6726809843,-0.6726809843,0.7399339551,0.7399339551
0.5172559481,0.9938847141,-0.1104659469,-0.1104659469,0.9938847141,0.9938847141
0.5235273158,0.869585791,0.4937898868,0.4937898868,0.869585791,0.869585791
0.5297986836,0.4143421347,0.9101204981,0.9101204981,0.4143421347,0.4143421347
0.5360700513,-0.1985909467,0.9800797859,0.9800797859,-0.1985909467,-0.1985909467
0.542341419,-0.7359448737,0.6770427401,0.6770427401,-0.7359448737,-0.7359448737
0.5493454577,-0.9990691703,0.04332497968,0.04332497968,-0.9990691703,-0.9990691703
0.5550091312,-0.8663150011,-0.4995072603,-0.4995072603,-0.8663150011,-0.8663150011
0.5608206351,-0.4498680205,-0.8930950355,-0.8930950355,-0.4498680205,-0.4498680205
0.5666321391,0.1142864475,-0.9934459197,-0.9934459197,0.1142864475,0.1142864475
0.5724436431,0.6409157479,-0.7676114624,-0.7676114624,0.6409157479,0.6409157479
0.5796281043,0.9877617642,-0.1560263651,-0.1560263651,0.9877617642,0.9877617642
0.5850233017,0.9276078267,0.3735705603,0.3735705603,0.9276078267,0.9276078267
0.5906577223,0.584693186,0.81125615,0.81125615,0.584693186,0.584693186
0.5962921429,0.06101751927,0.998135435,0.998135435,0.06101751927,0.06101751927
0.6019265635,-0.4815213189,0.8764338957,0.8764338957,-0.4815213189,-0.4815213189
0.6088625605,-0.9305835671,0.3660966477,0.3660966477,-0.9305835671,-0.9305835671
0.6143612702,-0.9847213583,-0.1741683528,-0.1741683528,-0.9847213583,-0.9847213583
0.6198632241,-0.7483322378,-0.6633275496,-0.6633275496,-0.7483322378,-0.7483322378
0.6253651779,-0.2910692961,-0.9567012679,-0.9567012679,-0.2910692961,-0.2910692961
0.6308671318,0.2521037504,-0.9676989709,-0.9676989709,0.2521037504,0.2521037504
0.6363690857,0.7208665556,-0.6930749167,-0.6930749167,0.7208665556,0.7208665556
0.6427386364,0.9917225329,-0.1284380221,-0.1284380221,0.9917225329,0.9917225329
0.6480300916,0.9209274752,0.3897427487,0.3897427487,0.9209274752,0.9209274752
0.6534175064,0.5905212869,0.8070229106,0.8070229106,0.5905212869,0.5905212869
0.6588049212,0.09282667171,0.9956810956,0.9956810956,0.09282667171,0.09282667171
0.6641923361,-0.4311644487,0.9022725246,0.9022725246,-0.4311644487,-0.4311644487
0.6705057421,-0.8806012146,0.4738646158,0.4738646158,-0.8806012146,-0.8806012146
0.6768191482,-0.9905447487,-0.1372297523,-0.1372297523,-0.9905447487,-0.9905447487
0.6831325543,-0.718608375,-0.6954185365,-0.6954185365,-0.718608375,-0.718608375
0.6894459604,-0.1696300856,-0.9855058014,-0.9855058014,-0.1696300856,-0.1696300856
0.6957593664,0.4447450816,-0.8956554245,-0.8956554245,0.4447450816,0.4447450816
0.7025996717,0.9106819358,-0.4131206196,-0.4131206196,0.9106819358,0.9106819358
0.709439977,0.9668724455,0.2552910431,0.2552910431,0.9668724455,0.9668724455
0.7162802823,0.5880335301,0.808838314,0.808838314,0.5880335301,0.5880335301
0.7231205875,-0.05538245233,0.9984609115,0.9984609115,-0.05538245233,-0.05538245233
0.7299608928,-0.6738800948,0.7388408398,0.7388408398,-0.6738800948,-0.6738800948
0.7369601895,-0.9913847387,0.1310462434,0.1310462434,-0.9913847387,-0.9913847387
0.7426125628,-0.9073746584,-0.4203349324,-0.4203349324,-0.9073746584,-0.9073746584
0.7483224121,-0.5362585684,-0.8440537708,-0.8440537708,-0.5362585684,-0.5362585684
0.7540322614,0.00499132589,-0.9999848812,-0.9999848812,0.00499132589,0.00499132589
0.7597421106,0.5446567128,-0.8386577307,-0.8386577307,0.5446567128,0.5446567128
0.7676065846,0.9783807857,-0.2068740991,-0.2068740991,0.9783807857,0.9783807857
0.772870306,0.9498721967,0.3126649003,0.3126649003,0.9498721967,0.9498721967
0.7785511276,0.6324569565,0.7745989736,0.7745989736,0.6324569565,0.6324569565
0.7842319491,0.1163683561,0.9932054036,0.9932054036,0.1163683561,0.1163683561
0.7899127707,-0.4362738874,0.8998137918,0.8998137918,-0.4362738874,-0.4362738874
0.7964013648,-0.8913534331,0.4533193114,0.4533193114,-0.8913534331,-0.8913534331
0.802889959,-0.9841408625,-0.1774272733,-0.1774272733,-0.9841408625,-0.9841408625
0.8093785532,-0.6769221742,-0.7360577995,-0.7360577995,-0.6769221742,-0.6769221742
0.8158671473,-0.09456691219,-0.995515658,-0.995515658,-0.09456691219,-0.09456691219
0.8223557415,0.5262252591,-0.8503436039,-0.8503436039,0.5262252591,0.5262252591
0.8301285445,0.9715003743,-0.2370894768,-0.2370894768,0.9715003743,0.9715003743
0.8359978936,0.9402122538,0.3406131311,0.3406131311,0.9402122538,0.9402122538
