time,dcpm1.flange.tau,dcpm2.friction.phi,dcpm2.inertiaRotor.w,dcpm2.brush.n.i,dcpm2.airGapDC.ia,dcpm1.friction.phi,dcpm1.inertiaRotor.w,dcpm2.flange.tau,dcpm1.airGapDC.ia,dcpm1.la.i,dcpm2.la.i,loadInertia1.w,loadInertia2.w,loadInertia2.phi,loadInertia1.phi
1.175494802,-62.65674735,80.64373954,148.4007711,-96.739314,94.61926023,81.40357356,149.1744543,-60.25771,96.91368567,96.91368567,94.61926023,149.1744543,148.4007711,80.64373954,81.40357356
1.193563858,-63.25001614,83.32436229,148.3211893,-98.73045751,96.61263341,84.09822974,149.100711,-60.85326942,98.8762678,98.8762678,96.61263341,149.100711,148.3211893,83.32436229,84.09822974
1.211632914,-63.65384839,86.00418289,148.3072015,-100.058228,97.94189074,86.79218033,149.0914202,-61.26625114,100.157385,100.157385,97.94189074,149.0914202,148.3072015,86.00418289,86.79218033
1.22994054,-63.86703614,88.71951597,148.3310437,-100.7404437,98.62487038,89.52190104,149.1182855,-61.49104751,100.791158,100.791158,98.62487038,149.1182855,148.3310437,88.71951597,89.52190104
1.249005366,-63.92798805,91.54779223,148.3707336,-100.9169917,98.80161608,92.36520133,149.1593134,-61.56286287,100.9276901,100.9276901,98.80161608,149.1593134,148.3707336,91.54779223,92.36520133
1.269395924,-63.88599241,94.57357551,148.4105154,-100.7575964,98.64204229,95.40706538,149.1990087,-61.52880665,100.7425734,100.7425734,98.64204229,149.1990087,148.4105154,94.57357551,95.40706538
1.292598401,-63.79004212,98.01745282,148.4407182,-100.4266458,98.31072105,98.86922617,149.2281214,-61.43676471,100.4021228,100.4021228,98.31072105,149.2281214,148.4407182,98.01745282,98.86922617
1.321616608,-63.68694106,102.325197,148.4549425,-100.0792887,97.96297501,103.199796,149.2407875,-61.33304036,100.0612449,100.0612449,97.96297501,149.2407875,148.4549425,102.325197,103.199796
1.345240566,-63.64307421,105.8322944,148.4540924,-99.93353686,97.81705996,106.7254473,149.2390988,-61.28673891,99.9256966,99.9256966,97.81705996,149.2390988,148.4540924,105.8322944,106.7254473
1.373123115,-63.63055086,109.9714922,148.4480072,-99.89308361,97.77656141,110.8865265,149.2326427,-61.27150536,99.8950065,99.8950065,97.77656141,149.2326427,148.4480072,109.9714922,110.8865265
1.402090704,-63.64004502,114.2715846,148.4423182,-99.92576075,97.80927514,115.2093484,149.2270368,-61.27949132,99.93234657,99.93234657,97.80927514,149.2270368,148.4423182,114.2715846,115.2093484
