time,pump.flowPort_a.h,pump.flowPort_b.h,ambient2.flowPort.h,pipe.flowPort_b.H_flow,pump.h,heatCapacitor.T,pipe.T
0.209,293.15,293.15,297.9006356,-284.9937725,293.15,304.6191866,297.9006356
0.21,293.15,293.15,297.922465,-283.8863048,293.15,304.6520104,297.922465
0.211,293.15,293.15,297.9443573,-282.74051,293.15,304.6847278,297.9443573
0.212,293.15,293.15,297.9663172,-281.5572105,293.15,304.7173405,297.9663172
0.213,293.15,293.15,297.9883494,-280.3373052,293.15,304.7498496,297.9883494
0.214,293.15,293.15,298.0104586,-279.081769,293.15,304.7822567,298.0104586
0.215,293.15,293.15,298.0326496,-277.7916533,293.15,304.8145633,298.0326496
0.216,293.15,293.15,298.0549273,-276.4680854,293.15,304.8467707,298.0549273
0.217,293.15,293.15,298.0772966,-275.1122689,293.15,304.8788804,298.0772966
0.218,293.15,293.15,298.0997623,-273.7254838,293.15,304.9108939,298.0997623
0.219,293.15,293.15,298.1223294,-272.309086,293.15,304.9428126,298.1223294
0.22,293.15,293.15,298.145003,-270.8645078,293.15,304.9746379,298.145003
0.221,293.15,293.15,298.167788,-269.3932577,293.15,305.0063714,298.167788
0.222,293.15,293.15,298.1906895,-267.8969205,293.15,305.0380145,298.1906895
0.223,293.15,293.15,298.2137127,-266.3771569,293.15,305.0695686,298.2137127
0.224,293.15,293.15,298.2368627,-264.835704,293.15,305.1010353,298.2368627
0.225,293.15,293.15,298.2601447,-263.2743753,293.15,305.132416,298.2601447
0.226,293.15,293.15,298.2835639,-261.6950602,293.15,305.1637122,298.2835639
0.227,293.15,293.15,298.3071257,-260.0997244,293.15,305.1949254,298.3071257
0.228,293.15,293.15,298.3308352,-258.4904099,293.15,305.2260571,298.3308352
0.229,293.15,293.15,298.354698,-256.8692349,293.15,305.2571088,298.354698
0.23,293.15,293.15,298.3787194,-255.2383937,293.15,305.288082,298.3787194
0.231,293.15,293.15,298.4029047,-253.6001569,293.15,305.3189781,298.4029047
0.232,293.15,293.15,298.4272596,-251.9568712,293.15,305.3497988,298.4272596
0.233,293.15,293.15,298.4517895,-250.3109596,293.15,305.3805455,298.4517895
0.234,293.15,293.15,298.4765,-248.6649215,293.15,305.4112198,298.4765
0.235,293.15,293.15,298.5013967,-247.0213321,293.15,305.4418231,298.5013967
0.236,293.15,293.15,298.5264852,-245.382843,293.15,305.472357,298.5264852
0.237,293.15,293.15,298.5517712,-243.7521822,293.15,305.502823,298.5517712
0.238,293.15,293.15,298.5772604,-242.1321537,293.15,305.5332227,298.5772604
0.239,293.15,293.15,298.6029585,-240.5256376,293.15,305.5635575,298.6029585
0.24,293.15,293.15,298.6288715,-238.9355905,293.15,305.5938291,298.6288715
0.241,293.15,293.15,298.6548013,-237.4350988,293.15,305.6241293,298.6548013
0.242,293.15,293.15,298.6807902,-235.9602019,293.15,305.6544134,298.6807902
0.243,293.15,293.15,298.7068912,-234.4855933,293.15,305.6846559,298.7068912
0.244,293.15,293.15,298.7331044,-233.0112201,293.15,305.7148581,298.7331044
0.245,293.15,293.15,298.7594303,-231.5370318,293.15,305.7450215,298.7594303
0.246,293.15,293.15,298.7858693,-230.0629803,293.15,305.7751476,298.7858693
0.247,293.15,293.15,298.8124216,-228.5890204,293.15,305.8052377,298.8124216
0.248,293.15,293.15,298.8390878,-227.1151092,293.15,305.8352933,298.8390878
0.249,293.15,293.15,298.8658682,-225.6412062,293.15,305.8653158,298.8658682
0.25,293.15,293.15,298.8927633,-224.1672738,293.15,305.8953066,298.8927633
0.251,293.15,293.15,298.9197735,-222.6932766,293.15,305.9252672,298.9197735
0.252,293.15,293.15,298.9468992,-221.2191819,293.15,305.955199,298.9468992
0.253,293.15,293.15,298.9741409,-219.7449595,293.15,305.9851034,298.9741409
0.254,293.15,293.15,299.0014992,-218.2705817,293.15,306.0149818,299.0014992
0.255,293.15,293.15,299.0289746,-216.7960235,293.15,306.0448355,299.0289746
0.256,293.15,293.15,299.0565675,-215.3212621,293.15,306.0746661,299.0565675
0.257,293.15,293.15,299.0842785,-213.8462777,293.15,306.1044748,299.0842785
0.258,293.15,293.15,299.1121082,-212.3710526,293.15,306.1342631,299.1121082
0.259,293.15,293.15,299.1400571,-210.8955718,293.15,306.1640323,299.1400571
0.26,293.15,293.15,299.1681258,-209.4198229,293.15,306.1937839,299.1681258
0.261,293.15,293.15,299.1963149,-207.943796,293.15,306.2235192,299.1963149
0.262,293.15,293.15,299.2246251,-206.4674837,293.15,306.2532395,299.2246251
0.263,293.15,293.15,299.253057,-204.9908811,293.15,306.2829463,299.253057
0.264,293.15,293.15,299.2816112,-203.5139859,293.15,306.3126408,299.2816112
0.265,293.15,293.15,299.3102884,-202.0367984,293.15,306.3423245,299.3102884
0.266,293.15,293.15,299.3390892,-200.5593213,293.15,306.3719988,299.3390892
0.267,293.15,293.15,299.3680144,-199.0815598,293.15,306.4016648,299.3680144
0.268,293.15,293.15,299.3970648,-197.6035219,293.15,306.4313241,299.3970648
0.269,293.15,293.15,299.4262409,-196.1252178,293.15,306.4609779,299.4262409
0.27,293.15,293.15,299.4555436,-194.6466605,293.15,306.4906276,299.4555436
0.271,293.15,293.15,299.4849736,-193.1678654,293.15,306.5202745,299.4849736
0.272,293.15,293.15,299.5145318,-191.6888504,293.15,306.5499199,299.5145318
0.273,293.15,293.15,299.5442188,-190.2096361,293.15,306.5795652,299.5442188
0.274,293.15,293.15,299.5740355,-188.7302455,293.15,306.6092116,299.5740355
0.275,293.15,293.15,299.6039828,-187.2507041,293.15,306.6388605,299.6039828
0.276,293.15,293.15,299.6340614,-185.77104,293.15,306.6685132,299.6340614
