time,Transistor1.Tr.vbcˍt,Transistor1.Tr.vbeˍt,Transistor2.Tr.vbcˍt,Gnd4.p.i,R1.i,R2.i,R4.i,Transistor1.Tr.C.i,Transistor1.Tr.vcs,Transistor1.ct.v,Transistor2.Tr.vcs,Transistor2.ct.v,Transistor2.Tr.vbe,Transistor1.b.i,Transistor2.Tr.C.i,Transistor2.b.i,C4.v,C3.v,C2.v,C1.v,Transistor2.Tr.C.v,C5.v,Transistor1.Tr.C.v
4.103597382e-10,-377621234.7,867490836.5,-594288022.9,6.768868194e-06,0.04363303708,0.06032155674,0.06032610631,0.0007819859318,0.1231622003,0.09711809001,0.122697678,3.390508705e-07,0.1331916442,0.02195591108,0.0008776362827,-6.767479674e-06,-0.1227854416,6.768868194e-10,0.1232403989,0.09821588556,0.122697678,-0.1331913052,0.1231622003
4.920463746e-10,-507060314.6,982882663,-709854714,-8.236496102e-06,0.040825742,0.07204098369,0.07204622824,0.000957907376,0.1765014585,0.1143327936,0.1759685916,-4.12763738e-07,0.1915671519,0.02056171211,0.001042032926,8.238801767e-06,-0.1760727949,-8.236496102e-10,0.1765972492,0.1153608792,0.1759685916,-0.1915675647,0.1765014585
5.786205234e-10,-645563194.6,1102766328,-831354041.4,-3.281883592e-05,0.03739701825,0.08435910812,0.08436497625,0.001140967694,0.2432829431,0.1312297765,0.2426890356,-1.644393315e-06,0.2649678725,0.01886043469,0.001211911125,3.282222862e-05,-0.2428102267,-3.281883592e-09,0.2433970399,0.1321727983,0.2426890356,-0.2649695169,0.2432829431
6.689248752e-10,-791274514.4,1225371103,-957020478.6,-6.899734892e-05,0.03336887298,0.09709651383,0.09710290297,0.001327682534,0.3240889769,0.1471681684,0.3234443965,-3.456999051e-06,0.3541661088,0.01686399199,0.001384349668,6.900198633e-05,-0.3235828314,-6.899734892e-09,0.3242217451,0.148011368,0.3234443965,-0.3541695658,0.3240889769
7.618306876e-10,-942239242.9,1348933731,-1085177560,-0.0001183979156,0.02881249433,0.1100830971,0.1100898784,0.001517483999,0.4189988572,0.1615584101,0.4183167948,-5.93203574e-06,0.4593813476,0.01461513391,0.001556825637,0.000118403919,-0.4184724773,-1.183979156e-08,0.4191506056,0.1622891668,0.4183167948,-0.4593872797,0.4189988572
8.153126627e-10,-1029459165,1415233834,-1158432274,-0.0001518241181,0.02623994289,0.1175052477,0.1175121136,0.001667039998,0.4789984674,0.1688330708,0.4783131789,-7.606702325e-06,0.5260712446,0.0134590257,0.001653987363,0.0001518303983,-0.4784785777,-1.518241181e-08,0.4791651714,0.1695060221,0.4783131789,-0.5260788513,0.4789984674
8.476494887e-10,-1082099139,1436069813,-1202523464,-0.0001690071863,0.02571712121,0.1219743293,0.1219808542,0.00196308159,0.5171130964,0.1728054489,0.5164856856,-8.467432782e-06,0.568297886,0.01382083337,0.001712224149,0.0001690106413,-0.516656908,-1.690071863e-08,0.5173094046,0.1734964906,0.5164856856,-0.5683063534,0.5171130964
8.728282116e-10,-1121509427,1395376048,-1236705626,-0.0001665244593,0.02863924792,0.1254454803,0.125450529,0.002852008887,0.5475899445,0.1755311775,0.5471944885,-8.34249754e-06,0.6014076866,0.01744669413,0.001757861164,0.0001665169019,-0.5473702746,-1.665244593e-08,0.5478751454,0.1764035122,0.5471944885,-0.6014160291,0.5475899445
8.856653617e-10,-1137730888,1326453846,-1254059541,-0.0001495290084,0.03315464609,0.1272131835,0.127216197,0.003962654597,0.5632658087,0.1767006695,0.5631825588,-7.490420046e-06,0.6177550905,0.02232623538,0.001781637409,0.0001495093429,-0.5633607225,-1.495290084e-08,0.5636620742,0.1778169813,0.5631825588,-0.6177625809,0.5632658087
8.965161115e-10,-1144596818,1232685106,-1268687817,-0.0001210876188,0.03948608888,0.128707048,0.1287069058,0.005556241615,0.5764812505,0.1775267284,0.5768708603,-6.064841495e-06,0.6308440796,0.02896798182,0.001802288011,0.0001210546547,-0.5770510891,-1.210876188e-08,0.5770368747,0.1789751274,0.5768708603,-0.6308501445,0.5764812505
9.057032139e-10,-1141447627,1130188258,-1281052964,-8.542174241e-05,0.04672406964,0.1299722568,0.1299678116,0.007548287436,0.5875676961,0.1781058181,0.5885850182,-4.277408534e-06,0.6411339356,0.03646996001,0.00182032844,8.537732719e-05,-0.5887670511,-8.542174241e-09,0.5883225248,0.1799293161,0.5885850182,-0.641138213,0.5875676961
9.136219035e-10,-1129797921,1030977838,-1291704616,-4.68127996e-05,0.05402703518,0.1310635491,0.1310537153,0.009822317901,0.5969914139,0.178532229,0.5987733851,-2.342688862e-06,0.6492703221,0.04400099845,0.00183635984,4.676015164e-05,-0.598957021,-4.68127996e-09,0.5979736456,0.1807322789,0.5987733851,-0.6492726648,0.5969914139
9.20601443e-10,-1112007398,940609572.7,-1301092998,-8.129894238e-06,0.06087801027,0.1320263559,0.1320101297,0.01227981353,0.6051580712,0.1788723673,0.6078235862,-4.044202167e-07,0.6558125939,0.05105321507,0.001850873115,8.072144546e-06,-0.6080086735,-8.129894238e-10,0.6063860525,0.1814250281,0.6078235862,-0.6558129983,0.6051580712
9.275809825e-10,-1087542428,851777684.9,-1310483567,3.33165324e-05,0.06771019402,0.1329903529,0.1329658871,0.01515660709,0.6131637831,0.1791993852,0.616939459,1.672185618e-06,0.6617407044,0.05808681163,0.00186572409,-3.33770793e-05,-0.6171260315,3.33165324e-09,0.6146794438,0.1821037258,0.616939459,-0.6617390322,0.6131637831
9.338154296e-10,-1060733178,776231681.1,-1318873320,7.138380368e-05,0.07349910928,0.1338526776,0.1338190586,0.01805917644,0.6201577709,0.1794952852,0.625137656,3.579390005e-06,0.6665192122,0.0640558383,0.001879236394,-7.14450325e-05,-0.6253255797,7.138380368e-09,0.6219636886,0.1826980771,0.625137656,-0.6665156328,0.6201577709
9.400498767e-10,-1030290033,705737801,-1327264147,0.0001094116077,0.07877583755,0.1347163638,0.134671707,0.02124511735,0.6269872549,0.1798055437,0.6333881604,5.484544961e-06,0.6708276121,0.0695129551,0.001892933037,-0.000109472076,-0.6335774537,1.094116077e-08,0.6291117666,0.1832811914,0.6333881604,-0.6708221275,0.6269872549
9.462843238e-10,-997134457.6,641006126.2,-1335654815,0.0001466070741,0.08339890503,0.1355815764,0.1355238325,0.0246780434,0.6336394084,0.1801372092,0.6416909351,7.347944954e-06,0.6746928184,0.07431678339,0.001906759555,-0.0001466656849,-0.641881611,1.466070741e-08,0.6361072128,0.1838530484,0.6416909351,-0.6746854705,0.6336394084
9.52518771e-10,-962175094.9,582243862.4,-1344044235,0.0001823905542,0.08729058876,0.1364484562,0.1363754355,0.02831857397,0.6401040903,0.1804941378,0.6500459469,9.140566173e-06,0.6781477326,0.07838968517,0.001920659882,-0.0001824465423,-0.6502380128,1.823905542e-08,0.6429359477,0.184413622,0.6500459469,-0.6781385921,0.6401040903
9.587532181e-10,-926183983,529315361.4,-1352431457,0.0002163755041,0.09042739738,0.1373171189,0.1372265165,0.03212694757,0.6463736845,0.18087747,0.6584531656,1.084305697e-05,0.6812281253,0.0817082347,0.001934580378,-0.0002164283884,-0.6586466236,2.163755041e-08,0.6495863793,0.1849628817,0.6584531656,-0.6812172823,0.6463736845
9.649876652e-10,-889782934.6,481878257.3,-1360815742,0.0002483342576,0.09282692561,0.1381876562,0.1380770757,0.03606497267,0.6524428628,0.1812862899,0.6669125638,1.244402251e-05,0.683970281,0.0842900704,0.001948472845,-0.0002483837816,-0.667107411,2.483342576e-08,0.65604936,0.1855007934,0.6669125638,-0.683957837,0.6524428628
9.712221123e-10,-853449959.9,439483458.6,-1369196542,0.0002781612407,0.09453467281,0.1390601364,0.1389271134,0.04009727792,0.6583083177,0.1817182851,0.6754241161,1.393818189e-05,0.6864093771,0.08618071534,0.001962296254,-0.0002782073154,-0.6756203457,2.781612407e-08,0.6623180455,0.1860273209,0.6754241161,-0.6863954389,0.6583083177
9.774565594e-10,-817539603.4,401642357,-1377573471,0.0003058398339,0.09561274918,0.139934607,0.1397766299,0.04419200236,0.6639684929,0.1821703127,0.6839877988,1.532470843e-05,0.6885784762,0.08744228735,0.001976017406,-0.000305882489,-0.6841854006,3.058398339e-08,0.6683876931,0.1865424271,0.6839877988,-0.6885631515,0.6639684929
9.836910065e-10,-782306980,367868638.1,-1385946268,0.0003314151723,0.09613115782,0.1408110967,0.1406256255,0.04832107017,0.6694233244,0.1826388355,0.6926035892,1.660586742e-05,0.6905079825,0.08814478518,0.001989610816,-0.000331454518,-0.6928025502,3.314151723e-08,0.6742554314,0.1870460748,0.6926035892,-0.6904913766,0.6694233244
9.899254536e-10,-747930524.9,337702157.8,-1394314755,0.0003549730371,0.09616160354,0.1416896178,0.1414741003,0.05246018173,0.6746740043,0.1831202323,0.701271465,1.778595902e-05,0.6922254276,0.08835990121,0.002003058086,-0.0003550092344,-0.7014717708,3.549730371e-08,0.6799200224,0.1875382273,0.701271465,-0.6922076416,0.6746740043
9.961599007e-10,-714531247.8,310720950.4,-1402678819,0.0003766240785,0.09577343442,0.1425701688,0.1423220547,0.05658862623,0.6797227677,0.1836110007,0.7099914048,1.88705283e-05,0.6937554715,0.088156966,0.002016347023,-0.0003766573179,-0.7101930395,3.766240785e-08,0.6853816303,0.188018849,0.7099914048,-0.693736601,0.6797227677
1.002394348e-09,-677666166.4,285905422.2,-1407696120,0.000396553546,0.09499165533,0.1430936325,0.1428103854,0.06068190646,0.6845685593,0.1841098748,0.7187589789,1.986886894e-05,0.6951171757,0.08756069185,0.002024774869,-0.0003965842717,-0.7189614563,3.96553546e-08,0.69063675,0.1884879094,0.7187589789,-0.6950973068,0.6845685593
1.008628795e-09,-635618295.5,262419277.4,-1406844282,0.0004147027401,0.09362492798,0.1430435265,0.1427226408,0.06470301351,0.6891770439,0.1846264098,0.7275334479,2.077797405e-05,0.6963096396,0.08637980509,0.00202476533,-0.0004147300755,-0.7277359244,4.147027401e-08,0.6956473452,0.1889454001,0.7275334479,-0.6962888616,0.6891770439
1.014863242e-09,-596248118.2,241138252,-1405988953,0.0004306587887,0.09180979061,0.1429959322,0.1426349507,0.06863867806,0.6935429163,0.1851537189,0.7363024746,2.157719924e-05,0.6973517118,0.08475124008,0.002024561674,-0.0004306826672,-0.7365049307,4.306587887e-08,0.7004067841,0.1893912809,0.7363024746,-0.6973301346,0.6935429163
1.021097689e-09,-559001281.9,221925357.7,-1405134324,0.0004445875043,0.08969712566,0.1429507902,0.1425473151,0.07247592734,0.6976733847,0.1856842237,0.7450660715,2.227487675e-05,0.6982643514,0.08282574426,0.002024183418,-0.0004446083599,-0.7452684899,4.445875043e-08,0.7049209774,0.1898255109,0.7450660715,-0.6982420766,0.6976733847
1.027332136e-09,-523585828.8,204585628.2,-1404279468,0.0004567680413,0.08738116139,0.1429080349,0.1424597338,0.07620575891,0.7015759334,0.186213182,0.7538242519,2.288499203e-05,0.6990646133,0.08069746905,0.002023640132,-0.0004567863045,-0.7540266159,4.567680413e-08,0.7091965093,0.1902480554,0.7538242519,-0.6990417283,0.7015759334
