time,HeatCapacitor1.T,Capacitor1.v,H_PMOS.D.i,H_NMOS.D.i
3.616355545,299.8460211,4.517954303,0.0001345902233,4.517954303e-07
3.641116723,299.8498801,4.766046517,7.165890872e-05,4.766046517e-07
3.668042763,299.8538967,4.89973498,3.291886863e-05,4.89973498e-07
3.699232965,299.8583952,4.964074703,1.241273161e-05,4.964074703e-07
3.738128406,299.8638074,4.989795685,3.628200433e-06,4.989795685e-07
3.798564697,299.8718093,4.997542404,8.529049147e-07,4.997542404e-07
3.859000988,299.8793418,4.998340348,5.170237684e-07,4.998340348e-07
3.942120805,299.8889853,4.998092621,4.357828012e-07,4.998092621e-07
4.006114434,299.8958825,4.997507766,3.753737518e-07,4.997507766e-07
4.035439955,299.898906,4.995664122,4.745722177e-07,4.411828835e-06
4.053469942,299.9008528,4.969765187,2.794484092e-06,3.11091198e-05
4.08348888,299.9048443,4.772222334,1.226365722e-05,0.0001242045597
4.105344438,299.9086144,4.429319943,1.329169267e-05,0.000220617872
4.129980107,299.9136629,3.751944588,2.211712406e-06,0.0003451767594
4.150420903,299.9181092,2.939106456,2.060893558e-07,0.0004512425542
4.166837407,299.9214661,2.135812492,2.864187508e-07,0.0005162657501
4.178299072,299.9234227,1.558547131,3.441452869e-07,0.0004791402279
4.190783566,299.9250637,1.020874571,3.979125429e-07,0.0003763510853
4.20326806,299.9263194,0.6252722551,4.374727745e-07,0.0002596096222
4.217965516,299.9275373,0.3303748434,4.669625157e-07,0.0001493067449
4.232662972,299.9286382,0.1676261137,4.832373886e-07,7.932873847e-05
4.247360427,299.9296934,0.08341022858,4.916589771e-07,4.031639273e-05
4.262927393,299.9307859,0.03975300989,4.96024699e-07,1.927985927e-05
4.284328663,299.9322573,0.01486061938,4.985139381e-07,7.064369252e-06
4.297804768,299.9331675,0.00839001755,4.991609982e-07,3.887007348e-06
4.313780702,299.9342307,0.004632114429,4.995367886e-07,2.054248693e-06
4.329756636,299.9352771,0.002904634196,4.997095366e-07,1.214431224e-06
4.346340828,299.9363457,0.002097034846,4.997902965e-07,8.099427948e-07
4.355036128,299.936899,0.001885658818,5.401642568e-07,6.927731237e-07
4.361964762,299.9373373,0.001939698644,1.076931546e-06,6.816044113e-07
4.373845806,299.9380903,0.003535542114,3.688805853e-06,1.138000825e-06
4.382704166,299.9386599,0.006906119036,7.279168253e-06,2.05927878e-06
4.393000276,299.9393404,0.01442283886,1.351383691e-05,3.877283143e-06
4.403296386,299.940052,0.02733477667,2.225558562e-05,6.492760471e-06
4.413756578,299.9408201,0.04802122236,3.399735372e-05,9.781745902e-06
4.424362808,299.9416603,0.07954645839,4.912263393e-05,1.330216101e-05
4.435145738,299.9425939,0.1263946056,6.807374025e-05,1.614709665e-05
4.446077132,299.9436382,0.1948570552,9.11775513e-05,1.655878401e-05
4.457131318,299.9448085,0.2943317592,0.0001186899919,1.129763269e-05
4.468252174,299.9461099,0.4371573173,0.0001506815782,1.576886172e-06
4.477125465,299.9472397,0.5830121326,0.0001793357408,5.830121424e-08
4.488296324,299.9487778,0.8052029678,0.0002193291773,8.052029678e-08
4.516053638,299.9530615,1.570681101,0.0003339002265,1.570681101e-07
4.530029649,299.9552796,2.066151947,0.000370312548,2.066151947e-07
4.552125955,299.9583136,2.89018757,0.0003632825164,2.89018757e-07
4.574222262,299.9604929,3.624957024,0.0002954156826,3.624957024e-07
4.597104662,299.9620044,4.19503958,0.0002034135455,4.19503958e-07
4.622715251,299.9632095,4.596487151,0.0001156813814,4.596487151e-07
4.64902923,299.9642346,4.816234275,5.758114833e-05,4.816234275e-07
4.678260396,299.965286,4.927956148,2.411368198e-05,4.927956148e-07
4.712495266,299.9664649,4.976762476,8.136683557e-06,4.976762476e-07
4.75780482,299.9679618,4.994211222,2.059682339e-06,4.994211222e-07
4.811650113,299.9696544,4.99790405,7.155404143e-07,4.99790405e-07
4.874564038,299.97152,4.998346447,4.934888432e-07,4.998346447e-07
4.957378663,299.9738034,4.997985624,4.237574589e-07,4.997985624e-07
5,299.9749069,4.997580779,3.828851802e-07,4.997580779e-07
