time,SaturatingInductance1.i,Inductance1.i,SaturatingInductance1.Psi
4.66,-1.440948684,-1.248284663,-1.248284663
4.67,-1.44203704,-1.248876797,-1.248876797
4.68,-1.442896107,-1.249344045,-1.249344045
4.69,-1.443525688,-1.24968636,-1.24968636
4.7,-1.443925629,-1.249903708,-1.249903708
4.71,-1.444095827,-1.249996068,-1.249996068
4.72,-1.444036222,-1.24996343,-1.24996343
4.73,-1.443746804,-1.249805798,-1.249805798
4.74,-1.443227608,-1.249523187,-1.249523187
4.75,-1.442478716,-1.249115627,-1.249115627
4.76,-1.441500255,-1.248583157,-1.248583157
4.77,-1.440292401,-1.247925831,-1.247925831
4.78,-1.438855377,-1.247143714,-1.247143714
4.79,-1.43718945,-1.246236884,-1.246236884
4.8,-1.435294937,-1.245205432,-1.245205432
4.81,-1.433172198,-1.244049461,-1.244049461
4.82,-1.430821643,-1.242769085,-1.242769085
4.83,-1.428243728,-1.241364433,-1.241364433
4.84,-1.425438953,-1.239835645,-1.239835645
4.85,-1.422407869,-1.238182873,-1.238182873
4.86,-1.41915107,-1.236406283,-1.236406283
4.87,-1.415669198,-1.234506052,-1.234506052
4.88,-1.411962943,-1.23248237,-1.23248237
4.89,-1.408033041,-1.23033544,-1.23033544
4.9,-1.403880272,-1.228065476,-1.228065476
4.91,-1.399505467,-1.225672705,-1.225672705
4.92,-1.3949095,-1.223157368,-1.223157368
4.93,-1.390093295,-1.220519716,-1.220519716
4.94,-1.385057821,-1.217760014,-1.217760014
4.95,-1.379796172,-1.214878559,-1.214878559
4.96,-1.374317469,-1.211875606,-1.211875606
4.97,-1.368625775,-1.20875145,-1.20875145
4.98,-1.362721307,-1.205506409,-1.205506409
4.99,-1.356604405,-1.202140813,-1.202140813
5,-1.350275522,-1.198655002,-1.198655002
5.01,-1.343735233,-1.195049328,-1.195049328
5.02,-1.336984229,-1.191324155,-1.191324155
5.03,-1.33002332,-1.187479858,-1.187479858
5.04,-1.322853434,-1.183516821,-1.183516821
5.05,-1.315475616,-1.179435444,-1.179435444
5.06,-1.30789103,-1.175236134,-1.175236134
5.07,-1.300100957,-1.170919311,-1.170919311
5.08,-1.292106798,-1.166485408,-1.166485408
5.09,-1.283910071,-1.161934866,-1.161934866
5.1,-1.27551241,-1.157268139,-1.157268139
5.11,-1.266915571,-1.152485694,-1.152485694
5.12,-1.258121425,-1.147588006,-1.147588006
5.13,-1.249131962,-1.142575564,-1.142575564
5.14,-1.23994929,-1.137448867,-1.137448867
